Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Education (000's)"
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Medium (SSP2)"
" "
"Area","Year","Age","Sex","Education","Population"
"Brazil",2005,"15--19","Male","Total",8955.5
"Brazil",2010,"15--19","Male","Total",8524.3
"Brazil",2015,"15--19","Male","Total",8844.8
"Brazil",2005,"20--24","Male","Total",9132.2
"Brazil",2010,"20--24","Male","Total",8861.9
"Brazil",2015,"20--24","Male","Total",8715.4
"Brazil",2005,"25--29","Male","Total",8302.6
"Brazil",2010,"25--29","Male","Total",9011.8
"Brazil",2015,"25--29","Male","Total",8797.9
"Brazil",2005,"30--34","Male","Total",7258.5
"Brazil",2010,"30--34","Male","Total",8184.2
"Brazil",2015,"30--34","Male","Total",8828.1
"Brazil",2005,"35--39","Male","Total",6678.7
"Brazil",2010,"35--39","Male","Total",7135.6
"Brazil",2015,"35--39","Male","Total",7952
"Brazil",2005,"40--44","Male","Total",6302.5
"Brazil",2010,"40--44","Male","Total",6534.3
"Brazil",2015,"40--44","Male","Total",6927.5
"Brazil",2005,"45--49","Male","Total",5242
"Brazil",2010,"45--49","Male","Total",6118.3
"Brazil",2015,"45--49","Male","Total",6355
"Brazil",2005,"50--54","Male","Total",4296.6
"Brazil",2010,"50--54","Male","Total",5033
"Brazil",2015,"50--54","Male","Total",5754.6
"Brazil",2005,"55--59","Male","Total",3277.1
"Brazil",2010,"55--59","Male","Total",4056.3
"Brazil",2015,"55--59","Male","Total",4698.2
"Brazil",2005,"60--64","Male","Total",2415.7
"Brazil",2010,"60--64","Male","Total",3020
"Brazil",2015,"60--64","Male","Total",3737.4
"Brazil",2005,"15--19","Female","Total",8687
"Brazil",2010,"15--19","Female","Total",8240.9
"Brazil",2015,"15--19","Female","Total",8542.6
"Brazil",2005,"20--24","Female","Total",8981.4
"Brazil",2010,"20--24","Female","Total",8665.9
"Brazil",2015,"20--24","Female","Total",8496
"Brazil",2005,"25--29","Female","Total",8308.4
"Brazil",2010,"25--29","Female","Total",8952.3
"Brazil",2015,"25--29","Female","Total",8683.1
"Brazil",2005,"30--34","Female","Total",7429.9
"Brazil",2010,"30--34","Female","Total",8272.2
"Brazil",2015,"30--34","Female","Total",8863.1
"Brazil",2005,"35--39","Female","Total",6983
"Brazil",2010,"35--39","Female","Total",7384.3
"Brazil",2015,"35--39","Female","Total",8116.7
"Brazil",2005,"40--44","Female","Total",6665.3
"Brazil",2010,"40--44","Female","Total",6918.8
"Brazil",2015,"40--44","Female","Total",7246.5
"Brazil",2005,"45--49","Female","Total",5593.1
"Brazil",2010,"45--49","Female","Total",6572.1
"Brazil",2015,"45--49","Female","Total",6813.4
"Brazil",2005,"50--54","Female","Total",4652.7
"Brazil",2010,"50--54","Female","Total",5476.9
"Brazil",2015,"50--54","Female","Total",6285.2
"Brazil",2005,"55--59","Female","Total",3635.7
"Brazil",2010,"55--59","Female","Total",4509.9
"Brazil",2015,"55--59","Female","Total",5238
"Brazil",2005,"60--64","Female","Total",2774.2
"Brazil",2010,"60--64","Female","Total",3470.1
"Brazil",2015,"60--64","Female","Total",4291.1
"Brazil",2005,"15--19","Male","Under 15",0
"Brazil",2010,"15--19","Male","Under 15",0
"Brazil",2015,"15--19","Male","Under 15",0
"Brazil",2005,"20--24","Male","Under 15",0
"Brazil",2010,"20--24","Male","Under 15",0
"Brazil",2015,"20--24","Male","Under 15",0
"Brazil",2005,"25--29","Male","Under 15",0
"Brazil",2010,"25--29","Male","Under 15",0
"Brazil",2015,"25--29","Male","Under 15",0
"Brazil",2005,"30--34","Male","Under 15",0
"Brazil",2010,"30--34","Male","Under 15",0
"Brazil",2015,"30--34","Male","Under 15",0
"Brazil",2005,"35--39","Male","Under 15",0
"Brazil",2010,"35--39","Male","Under 15",0
"Brazil",2015,"35--39","Male","Under 15",0
"Brazil",2005,"40--44","Male","Under 15",0
"Brazil",2010,"40--44","Male","Under 15",0
"Brazil",2015,"40--44","Male","Under 15",0
"Brazil",2005,"45--49","Male","Under 15",0
"Brazil",2010,"45--49","Male","Under 15",0
"Brazil",2015,"45--49","Male","Under 15",0
"Brazil",2005,"50--54","Male","Under 15",0
"Brazil",2010,"50--54","Male","Under 15",0
"Brazil",2015,"50--54","Male","Under 15",0
"Brazil",2005,"55--59","Male","Under 15",0
"Brazil",2010,"55--59","Male","Under 15",0
"Brazil",2015,"55--59","Male","Under 15",0
"Brazil",2005,"60--64","Male","Under 15",0
"Brazil",2010,"60--64","Male","Under 15",0
"Brazil",2015,"60--64","Male","Under 15",0
"Brazil",2005,"15--19","Female","Under 15",0
"Brazil",2010,"15--19","Female","Under 15",0
"Brazil",2015,"15--19","Female","Under 15",0
"Brazil",2005,"20--24","Female","Under 15",0
"Brazil",2010,"20--24","Female","Under 15",0
"Brazil",2015,"20--24","Female","Under 15",0
"Brazil",2005,"25--29","Female","Under 15",0
"Brazil",2010,"25--29","Female","Under 15",0
"Brazil",2015,"25--29","Female","Under 15",0
"Brazil",2005,"30--34","Female","Under 15",0
"Brazil",2010,"30--34","Female","Under 15",0
"Brazil",2015,"30--34","Female","Under 15",0
"Brazil",2005,"35--39","Female","Under 15",0
"Brazil",2010,"35--39","Female","Under 15",0
"Brazil",2015,"35--39","Female","Under 15",0
"Brazil",2005,"40--44","Female","Under 15",0
"Brazil",2010,"40--44","Female","Under 15",0
"Brazil",2015,"40--44","Female","Under 15",0
"Brazil",2005,"45--49","Female","Under 15",0
"Brazil",2010,"45--49","Female","Under 15",0
"Brazil",2015,"45--49","Female","Under 15",0
"Brazil",2005,"50--54","Female","Under 15",0
"Brazil",2010,"50--54","Female","Under 15",0
"Brazil",2015,"50--54","Female","Under 15",0
"Brazil",2005,"55--59","Female","Under 15",0
"Brazil",2010,"55--59","Female","Under 15",0
"Brazil",2015,"55--59","Female","Under 15",0
"Brazil",2005,"60--64","Female","Under 15",0
"Brazil",2010,"60--64","Female","Under 15",0
"Brazil",2015,"60--64","Female","Under 15",0
"Brazil",2005,"15--19","Male","No Education",306.1
"Brazil",2010,"15--19","Male","No Education",285.3
"Brazil",2015,"15--19","Male","No Education",230.2
"Brazil",2005,"20--24","Male","No Education",401.1
"Brazil",2010,"20--24","Male","No Education",301.8
"Brazil",2015,"20--24","Male","No Education",244
"Brazil",2005,"25--29","Male","No Education",500.9
"Brazil",2010,"25--29","Male","No Education",393.9
"Brazil",2015,"25--29","Male","No Education",299.1
"Brazil",2005,"30--34","Male","No Education",547
"Brazil",2010,"30--34","Male","No Education",491.4
"Brazil",2015,"30--34","Male","No Education",388.4
"Brazil",2005,"35--39","Male","No Education",595.8
"Brazil",2010,"35--39","Male","No Education",535
"Brazil",2015,"35--39","Male","No Education",474.7
"Brazil",2005,"40--44","Male","No Education",613.1
