Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.181,26087.77581,27190.50118,27151.9241,26954.40451,28417.38421,26966.05479,25508.30252,25469.28741,27005.52953,26979.88536,27046.22396,27427.57826,27365.93096,24463.69225,23512.6026,24233.00108,23781.2573,24635.76495,24697.49403,24452.60657,24277.40679,24485.08328,,
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3035529,343.0808897,333.2166845,357.2347199,365.284495,405.5489791,412.0142867,488.300251,543.3030419,528.7366481,576.1901255,587.5650902,583.6561928,574.1841143,571.0737745,571.5425058,563.8256627,
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3179.538458,2934.397724,2831.972152,2847.501756,2912.66515,2909.528915,2890.015007,2904.129541,2976.636004,2877.338297,2685.778574,2623.713998,2390.807767,1759.353108,1726.315687,1922.416193,2113.750766,2195.718859,2225.684357,2201.52946,2195.630582,2213.681162,2433.804393,2423.293995,2597.456995,2883.978211,3102.650928,3409.503462,3652.153498,3549.577857,3587.883798,3579.960081,3748.449445,3796.882622,3843.198241,3748.320623,3530.309423,3409.929285,3229.61974,
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1992.297666,2064.989606,2081.42362,2060.25966,1992.116629,1986.327631,2058.126533,2001.538418,1936.23778,2070.295474,1838.672777,1331.809147,1243.609404,1370.830016,1493.790201,1703.286747,1869.871255,1676.131932,1835.651965,2085.432,2244.631092,2453.631476,2572.728837,2725.179233,2887.378653,3062.682698,3263.911108,3485.332441,3775.592182,3928.461732,4094.362119,4209.886951,4276.62018,4327.392449,4413.309627,4524.386108,4681.840039,4865.209546,5079.40112,
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.89386,42339.33407,41041.86678,40495.69802,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.98946,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49707.17302,48710.0755,43900.42821,41979.36888,39736.35406,38207.59591,38192.43989,39111.07953,40790.19801,41767.52651,42949.66624,43858.07751,44569.78301,
Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4071.553525,4571.649376,4792.023776,4607.491634,4974.030159,5256.907341,5242.028212,4620.518119,4174.802252,4106.25344,3894.636738,3960.37183,3829.310384,3931.57976,3914.734947,4270.824627,4220.582314,4350.855158,4375.096871,4401.186515,4385.393777,4482.483233,4570.547385,4708.925776,4692.573472,4845.324891,4818.203478,4743.816526,4889.326596,5227.39877,5403.21961,5620.686139,5738.300641,5926.964413,5810.858675,5946.258579,6021.781113,6279.462714,6337.464233,6354.798378,6430.297031,6515.610951,6444.249263,6452.473304,
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,103604.9068,103766.654,109318.6357,94683.67932,102668.6318,116232.753,113095.3373,99319.61427,89704.03867,88583.37854,80886.46644,64972.4226,63352.29403,58146.79648,61588.08673,68780.58855,65478.70692,63853.89076,61081.3716,61843.21371,62681.60907,63076.60646,64864.72032,61773.86736,60291.50899,63251.52299,60861.266,59187.20693,60351.14005,60328.32053,56092.92022,53335.03157,47283.90328,42456.79589,36024.05823,33893.30351,34634.86214,35416.89178,36978.83304,38495.04635,40247.74714,41045.11112,40697.81806,40782.44362,
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5642.765138,5853.171906,5711.179338,5323.494309,5772.649967,6286.229347,6151.926026,6255.184022,6460.787452,6980.899178,7084.181478,7368.07758,7368.50577,7453.753557,7740.855928,7617.943151,7350.828567,7743.582315,7285.439556,7910.366622,7908.022618,7380.674984,7210.347021,7403.72721,7399.889119,6904.645044,7214.270703,7294.064256,7104.181201,6497.425545,6245.708577,6721.278239,7157.328311,7644.235692,7988.644614,7666.530004,7994.243371,8543.028534,8772.06321,8381.253998,8224.112827,7776.137872,6854.294081,7380.467087,7962.412309,8577.864994,9174.502458,9901.511881,10201.47594,9502.243585,10385.96443,10883.31536,10649.83729,10784.6307,10398.69401,10568.15781,10239.48135,10404.26351,10043.50855,
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.933384,1601.590624,949.0312917,886.0301513,956.4688466,1043.541195,1121.879504,1172.13568,1267.574059,1317.739791,1404.32009,1548.059613,1761.841234,2019.900532,2244.139398,2571.977128,2934.024882,3366.664939,3629.909091,3137.346098,3218.372707,3370.551103,3603.595848,3705.357396,3819.217787,3923.716502,3917.379676,4198.794749,4406.706434,
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.21257,10561.31569,10586.68234,10565.23192,10202.95531,10535.55194,10416.00578,10117.01136,10271.22452,10360.50915,9921.806108,9640.344462,9717.829056,9850.565034,9589.979837,9048.182522,9271.71201,
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5197.160456,5435.740857,5882.900631,6371.977746,6622.020946,6618.706712,6972.832278,7681.744698,8268.921408,9224.114381,9841.234613,10345.23335,10846.97626,11080.72573,11172.03289,11107.91584,11462.22941,11967.83388,11201.74013,11685.82372,12062.0076,12370.46666,12580.03747,13184.90924,12337.60491,12291.54926,12870.94771,13433.78138,14097.09667,15653.37472,16833.70452,16558.45791,14327.31085,13049.25705,12618.07913,12876.88929,12644.68902,12976.33146,13328.14665,13917.95112,14220.50211,15134.88416,
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19378.37079,19468.81782,19245.62026,20053.36379,21035.91831,21861.95759,21877.57741,22964.70014,23712.90872,24857.54409,26120.64947,26263.48967,26794.02202,27077.1153,27483.68695,27513.86851,27944.23363,28625.19424,28547.98254,29383.07357,29907.78635,30419.53253,30912.22222,29850.19433,30866.25182,32045.31602,32797.09464,33126.79271,34460.03653,35191.11444,35912.20924,35316.53701,35034.53266,36091.38898,37133.6484,38095.12953,39056.18102,40153.61225,41555.94435,43168.29246,44334.39293,44585.19852,45806.69447,46595.90092,47926.74866,48813.88776,49443.22553,51024.24113,51841.27303,51767.37784,52022.1256,52567.77724,53682.04722,54129.93905,54679.42018,55079.89212,55728.68446,56095.18632,56842.30551,
