"country","year","iso","cc","hlo_mean","edu_exp_","tp_","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","region","fit1","lwr1","upr1","fit2","lwr2","upr2","fit3","lwr3","upr3","fit4","lwr4","upr4"
"Afghanistan",1970,4,"Afghanistan",NA,0.0123514,39.24977,1,0,0,0,0,0,0,0,0,0,"Southern Asia",280.253675836266,224.489674526138,336.017677146394,NA,NA,NA,388.675846822459,348.518627187375,428.833066457544,NA,NA,NA
"Afghanistan",1975,4,"Afghanistan",NA,0.0152157,36.5322,0,1,0,0,0,0,0,0,0,0,"Southern Asia",282.439400084534,227.144094450133,337.734705718935,NA,NA,NA,394.718010191249,355.816738312896,433.619282069601,NA,NA,NA
"Afghanistan",1980,4,"Afghanistan",NA,0.0182669,37.87589,0,0,1,0,0,0,0,0,0,0,"Southern Asia",276.454887163429,221.332549813694,331.577224513163,NA,NA,NA,371.22326816651,332.715542786335,409.730993546686,NA,NA,NA
"Afghanistan",1985,4,"Afghanistan",NA,0.0245464,36.40558,0,0,0,1,0,0,0,0,0,0,"Southern Asia",292.757092111288,239.023299130767,346.490885091809,NA,NA,NA,396.374415313344,361.807120669425,430.941709957264,NA,NA,NA
"Afghanistan",1990,4,"Afghanistan",NA,0.0244999,49.26471,0,0,0,0,1,0,0,0,0,0,"Southern Asia",246.049196002894,193.746270652351,298.352121353436,NA,NA,NA,297.886332036209,268.004079876601,327.768584195817,NA,NA,NA
"Afghanistan",1995,4,"Afghanistan",NA,0.0267133,32.64443,0,0,0,0,0,1,0,0,0,0,"Southern Asia",318.139854367163,268.609913660859,367.669795073468,NA,NA,NA,395.806184518777,376.546329353174,415.06603968438,NA,NA,NA
"Afghanistan",2000,4,"Afghanistan",NA,0.033177,31.86219,0,0,0,0,0,0,1,0,0,0,"Southern Asia",307.002367998203,259.947237682607,354.0574983138,NA,NA,NA,385.80265219221,370.105893879202,401.499410505218,NA,NA,NA
"Afghanistan",2005,4,"Afghanistan",NA,0.0284945,42.91563,0,0,0,0,0,0,0,1,0,0,"Southern Asia",290.518474912254,241.052659844032,339.984289980476,NA,NA,NA,330.771540851865,313.078299659769,348.464782043962,NA,NA,NA
"Afghanistan",2010,4,"Afghanistan",NA,0.0287031,44.58134,0,0,0,0,0,0,0,0,1,0,"Southern Asia",289.737738845331,240.027368434805,339.448109255857,NA,NA,NA,320.870149759728,299.821637408911,341.918662110545,NA,NA,NA
"Afghanistan",2015,4,"Afghanistan",NA,0.0287094,46.18569,0,0,0,0,0,0,0,0,0,1,"Southern Asia",294.035261642543,243.039086339455,345.031436945631,NA,NA,NA,318.763459388028,295.393677682252,342.133241093804,NA,NA,NA
"Albania",1970,8,"Albania",NA,0.0213403,24.05337,1,0,0,0,0,0,0,0,0,0,"Southern Europe",440.494488150229,408.50950102557,472.479475274887,358.561570856365,318.210642083689,398.912499629041,461.80105871522,422.770085152756,500.832032277684,398.274591439907,361.726007028662,434.823175851152
"Albania",1975,8,"Albania",NA,0.0250327,19.13892,0,1,0,0,0,0,0,0,0,0,"Southern Europe",447.578593600094,416.331425828977,478.82576137121,363.455298066417,322.824007275801,404.086588857033,478.361593936211,440.567046641006,516.156141231417,411.374260593721,375.055130621606,447.693390565836
"Albania",1980,8,"Albania",NA,0.0305119,17.94964,0,0,1,0,0,0,0,0,0,0,"Southern Europe",447.729961493765,416.357331567163,479.102591420367,357.35354988052,316.656149763682,398.050949997358,467.160124604804,429.915060607582,504.405188602026,413.874645054397,377.41513625022,450.334153858573
"Albania",1985,8,"Albania",NA,0.0269645,17.73649,0,0,0,1,0,0,0,0,0,0,"Southern Europe",458.130138842995,429.520170744311,486.740106941679,372.524159964477,333.386194083787,411.662125845167,485.239878499672,451.734812835926,518.744944163418,414.984256827321,378.594959955944,451.373553698699
"Albania",1990,8,"Albania",NA,0.0344698,15.68515,0,0,0,0,1,0,0,0,0,0,"Southern Europe",445.308032105336,423.457253522233,467.158810688439,355.414306863527,318.176331755102,392.652281971952,458.358454602455,433.804531388432,482.912377816478,419.581195124086,382.820494370906,456.341895877265
