"country","year","iso","cc","hlo_mean","edu_exp_","tp_","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","region","fit1","lwr1","upr1","fit2","lwr2","upr2","fit3","lwr3","upr3","fit4","lwr4","upr4","fit5","lwr5","upr5","hlo"
"Afghanistan",1970,4,"Afghanistan",NA,0.0123514,39.24977,1,0,0,0,0,0,0,0,0,0,"Southern Asia",333.13421476856,297.939234025992,368.329195511128,NA,NA,NA,386.467961516608,348.715409083145,424.220513950071,NA,NA,NA,NA,NA,NA,353.09
"Afghanistan",1975,4,"Afghanistan",NA,0.0152157,36.5322,0,1,0,0,0,0,0,0,0,0,"Southern Asia",336.123947533402,301.267333441041,370.980561625763,NA,NA,NA,393.302747153273,356.368424085076,430.23707022147,NA,NA,NA,NA,NA,NA,362.39001
"Afghanistan",1980,4,"Afghanistan",NA,0.0182669,37.87589,0,0,1,0,0,0,0,0,0,0,"Southern Asia",328.998310857256,294.033265173939,363.963356540574,NA,NA,NA,369.710618730547,333.006938642425,406.41429881867,NA,NA,NA,NA,NA,NA,372
"Afghanistan",1985,4,"Afghanistan",NA,0.0245464,36.40558,0,0,0,1,0,0,0,0,0,0,"Southern Asia",344.874655802115,312.062715348912,377.686596255318,NA,NA,NA,401.993871752385,369.814949864692,434.172793640079,NA,NA,NA,NA,NA,NA,381.91
"Afghanistan",1990,4,"Afghanistan",NA,0.0244999,49.26471,0,0,0,0,1,0,0,0,0,0,"Southern Asia",302.993682788745,270.034031392819,335.953334184671,NA,NA,NA,312.098836028985,283.55170587262,340.64596618535,NA,NA,NA,NA,NA,NA,392.14001
"Afghanistan",1995,4,"Afghanistan",NA,0.0267133,32.64443,0,0,0,0,0,1,0,0,0,0,"Southern Asia",371.631886348059,343.635021040468,399.62875165565,NA,NA,NA,400.625779939365,381.889402400531,419.3621574782,NA,NA,NA,NA,NA,NA,402.70999
"Afghanistan",2000,4,"Afghanistan",NA,0.033177,31.86219,0,0,0,0,0,0,1,0,0,0,"Southern Asia",360.091315968877,333.766117069955,386.416514867799,NA,NA,NA,392.795422636763,377.496221051087,408.09462422244,NA,NA,NA,NA,NA,NA,313.36749
"Afghanistan",2005,4,"Afghanistan",NA,0.0284945,42.91563,0,0,0,0,0,0,0,1,0,0,"Southern Asia",342.354149005168,313.018046945835,371.690251064502,NA,NA,NA,336.171677281316,318.814489498745,353.528865063888,NA,NA,NA,NA,NA,NA,401.54001
"Afghanistan",2010,4,"Afghanistan",NA,0.0287031,44.58134,0,0,0,0,0,0,0,0,1,0,"Southern Asia",340.672028121881,310.144919475898,371.199136767863,NA,NA,NA,326.651062893834,306.306576695998,346.995549091669,NA,NA,NA,NA,NA,NA,398.14999
"Afghanistan",2015,4,"Afghanistan",NA,0.0287094,46.18569,0,0,0,0,0,0,0,0,0,1,"Southern Asia",346.469346407348,314.617636436376,378.32105637832,NA,NA,NA,328.228233044426,305.471959295212,350.984506793639,NA,NA,NA,NA,NA,NA,433.92001
"Albania",1970,8,"Albania",NA,0.0213403,24.05337,1,0,0,0,0,0,0,0,0,0,"Southern Europe",439.884080590848,410.339957906078,469.428203275619,357.916273459915,320.039058314182,395.793488605648,457.053070207123,420.38836200297,493.717778411275,397.991716932172,362.822275491277,433.161158373068,447.779464235119,431.292161045146,464.266767425091,412.34
"Albania",1975,8,"Albania",NA,0.0250327,19.13892,0,1,0,0,0,0,0,0,0,0,"Southern Europe",447.887539032314,418.809371118826,476.965706945802,363.322799999532,325.139179893113,401.506420105952,474.069589764002,438.210721970469,509.928457557535,411.408010369224,376.433691372761,446.382329365687,461.628144221829,446.418206712152,476.838081731506,427.87
"Albania",1980,8,"Albania",NA,0.0305119,17.94964,0,0,1,0,0,0,0,0,0,0,"Southern Europe",446.877730776843,417.689897652906,476.065563900781,359.38414711884,321.345567348592,397.422726889087,462.287043028135,426.969497099275,497.604588956996,413.961986474759,378.866520317446,449.057452632072,465.906094183683,451.3083402424,480.503848124965,480.24084
"Albania",1985,8,"Albania",NA,0.0269645,17.73649,0,0,0,1,0,0,0,0,0,0,"Southern Europe",457.757669236634,431.297116759714,484.218221713554,370.939656365748,334.063369884739,407.815942846756,488.298179346863,457.008465924081,519.587892769645,415.10395117779,380.069737745743,450.138164609837,465.757560989517,450.874261540917,480.640860438117,458.84
"Albania",1990,8,"Albania",NA,0.0344698,15.68515,0,0,0,0,1,0,0,0,0,0,"Southern Europe",450.344701148498,429.567172334327,471.12222996267,359.854229370115,324.387761941093,395.320696799137,467.599733774362,444.097837383697,491.101630165026,419.803098532188,384.449586654169,455.156610410207,472.743286279799,458.507618423204,486.978954136394,457.15601
"Albania",1995,8,"Albania",NA,0.0348151,22.75761,0,0,0,0,0,1,0,0,0,0,"Southern Europe",466.517660391489,447.56092665003,485.474394132948,393.806485355378,359.974211185121,427.638759525634,446.656023947833,428.870579195804,464.441468699862,399.64062882342,364.268309107404,435.012948539437,453.956964730711,438.75440238043,469.159527080992,481.202
"Albania",2000,8,"Albania",400.65,0.0209072,21.93856,0,0,0,0,0,0,1,0,0,0,"Southern Europe",450.424491987458,431.836787831626,469.012196143289,399.717404744081,367.027694265117,432.407115223045,438.024966699423,421.042528945042,455.007404453804,404.070534961126,369.055164039351,439.085905882901,453.330306073378,437.2311043388,469.429507807956,400.65
