cnt,country,year,survey,sex,literacy,agegr,percentage
AF,Afghanistan,2015,2015 DHS,male,illiterate,15-19,31.4
AF,Afghanistan,2015,2015 DHS,male,illiterate,20-24,44.6
AF,Afghanistan,2015,2015 DHS,male,illiterate,25-29,47.2
AF,Afghanistan,2015,2015 DHS,male,illiterate,30-34,49.1
AF,Afghanistan,2015,2015 DHS,male,illiterate,35-39,50.6
AF,Afghanistan,2015,2015 DHS,male,illiterate,40-44,57.6
AF,Afghanistan,2015,2015 DHS,male,illiterate,45-49,56.4
AF,Afghanistan,2015,2015 DHS,female,illiterate,15-19,72.3
AF,Afghanistan,2015,2015 DHS,female,illiterate,20-24,74.9
AF,Afghanistan,2015,2015 DHS,female,illiterate,25-29,84.3
AF,Afghanistan,2015,2015 DHS,female,illiterate,30-34,89.6
AF,Afghanistan,2015,2015 DHS,female,illiterate,35-39,89.9
AF,Afghanistan,2015,2015 DHS,female,illiterate,40-44,91.8
AF,Afghanistan,2015,2015 DHS,female,illiterate,45-49,93.7
AL,Albania,2008,2008-09 DHS,male,illiterate,15-19,2.3
AL,Albania,2008,2008-09 DHS,male,illiterate,20-24,2.6
AL,Albania,2008,2008-09 DHS,male,illiterate,25-29,1.2
AL,Albania,2008,2008-09 DHS,male,illiterate,30-34,1.3
AL,Albania,2008,2008-09 DHS,male,illiterate,35-39,2.0
AL,Albania,2008,2008-09 DHS,male,illiterate,40-44,1.5
AL,Albania,2008,2008-09 DHS,male,illiterate,45-49,1.0
AL,Albania,2017,2017-18 DHS,male,illiterate,15-19,1.4
AL,Albania,2017,2017-18 DHS,male,illiterate,20-24,1.4
AL,Albania,2017,2017-18 DHS,male,illiterate,25-29,2.5
AL,Albania,2017,2017-18 DHS,male,illiterate,30-34,1.4
AL,Albania,2017,2017-18 DHS,male,illiterate,35-39,1.3
AL,Albania,2017,2017-18 DHS,male,illiterate,40-44,1.3
AL,Albania,2017,2017-18 DHS,male,illiterate,45-49,0.8
AL,Albania,2008,2008-09 DHS,female,illiterate,15-19,1.0
AL,Albania,2008,2008-09 DHS,female,illiterate,20-24,2.0
AL,Albania,2008,2008-09 DHS,female,illiterate,25-29,1.5
AL,Albania,2008,2008-09 DHS,female,illiterate,30-34,1.2
AL,Albania,2008,2008-09 DHS,female,illiterate,35-39,0.9
AL,Albania,2008,2008-09 DHS,female,illiterate,40-44,1.5
AL,Albania,2008,2008-09 DHS,female,illiterate,45-49,2.5
AL,Albania,2017,2017-18 DHS,female,illiterate,15-19,0.5
AL,Albania,2017,2017-18 DHS,female,illiterate,20-24,0.5
AL,Albania,2017,2017-18 DHS,female,illiterate,25-29,1.8
AL,Albania,2017,2017-18 DHS,female,illiterate,30-34,1.8
AL,Albania,2017,2017-18 DHS,female,illiterate,35-39,1.5
AL,Albania,2017,2017-18 DHS,female,illiterate,40-44,0.7
AL,Albania,2017,2017-18 DHS,female,illiterate,45-49,0.4
AO,Angola,2006,2006-07 MIS,male,illiterate,15-19,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,20-24,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,25-29,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,30-34,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,35-39,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,40-44,NA
AO,Angola,2006,2006-07 MIS,male,illiterate,45-49,NA
AO,Angola,2011,2011 MIS,male,illiterate,15-19,NA
AO,Angola,2011,2011 MIS,male,illiterate,20-24,NA
AO,Angola,2011,2011 MIS,male,illiterate,25-29,NA
AO,Angola,2011,2011 MIS,male,illiterate,30-34,NA
AO,Angola,2011,2011 MIS,male,illiterate,35-39,NA
AO,Angola,2011,2011 MIS,male,illiterate,40-44,NA
AO,Angola,2011,2011 MIS,male,illiterate,45-49,NA
AO,Angola,2015,2015-16 DHS,male,illiterate,15-19,16.2
AO,Angola,2015,2015-16 DHS,male,illiterate,20-24,15.7
