iso3n,year,illit_,age
4,"1970_74",75.87983,"15-19"
4,"1975_79",71.08672,"15-19"
4,"1980_84",65.55415,"15-19"
4,"1985_89",59.06665,"15-19"
4,"1990_94",52.03586,"15-19"
4,"1995_99",44.54561,"15-19"
4,"2000_04",36.87997,"15-19"
4,"2005_09",29.59564,"15-19"
4,"2010_14",32.7038,"15-19"
4,"2015_19",24.05945,"15-19"
4,"2020_25",12.77837,"15-19"
4,"1970_74",80.75001,"20-24"
4,"1975_79",75.88197,"20-24"
4,"1980_84",71.06915,"20-24"
4,"1985_89",65.36738,"20-24"
4,"1990_94",59.07367,"20-24"
4,"1995_99",52.18093,"20-24"
4,"2000_04",44.60581,"20-24"
4,"2005_09",36.97197,"20-24"
4,"2010_14",42.02866,"20-24"
4,"2015_19",31.59811,"20-24"
4,"2020_25",17.05057,"20-24"
4,"1970_74",85.92023,"25-29"
4,"1975_79",80.76018,"25-29"
4,"1980_84",75.88671,"25-29"
4,"1985_89",70.88047,"25-29"
4,"1990_94",65.39328,"25-29"
4,"1995_99",59.26563,"25-29"
4,"2000_04",52.25106,"25-29"
4,"2005_09",44.71434,"25-29"
4,"2010_14",52.50593,"25-29"
4,"2015_19",40.6106,"25-29"
4,"2020_25",22.43227,"25-29"
4,"1970_74",88.90226,"30-34"
4,"1975_79",85.91713,"30-34"
4,"1980_84",80.7454,"30-34"
4,"1985_89",75.74161,"30-34"
4,"1990_94",70.89808,"30-34"
4,"1995_99",65.54783,"30-34"
4,"2000_04",59.29958,"30-34"
4,"2005_09",52.30778,"30-34"
4,"2010_14",63.50245,"30-34"
4,"2015_19",50.72791,"30-34"
4,"2020_25",28.89498,"30-34"
4,"1970_74",90.76256,"35-39"
4,"1975_79",88.89394,"35-39"
4,"1980_84",85.90023,"35-39"
4,"1985_89",80.66527,"35-39"
4,"1990_94",75.75835,"35-39"
4,"1995_99",70.98641,"35-39"
4,"2000_04",65.56989,"35-39"
