age,year,educ,ageing,sex
15,2010,1,1,1
20,2010,1,1.032975581,1
25,2010,1,1.03410005,1
30,2010,1,1.035303915,1
35,2010,1,1.006878078,1
40,2010,1,1.006925713,1
45,2010,1,1.006974014,1
50,2010,1,1.005314529,1
55,2010,1,1.005342924,1
60,2010,1,1.005371624,1
15,2005,1,1,1
20,2005,1,1.032975581,1
25,2005,1,1.069362913,1
30,2005,1,1.071854197,1
35,2005,1,1.013803464,1
40,2005,1,1.013899392,1
45,2005,1,1.013996664,1
50,2005,1,1.010657302,1
55,2005,1,1.010714395,1
60,2005,1,1.010772103,1
15,2000,1,1,1
20,2000,1,1.032975581,1
25,2000,1,1.069362913,1
30,2000,1,1.107115611,1
35,2000,1,1.079226494,1
40,2000,1,1.020824776,1
45,2000,1,1.020970341,1
50,2000,1,1.019385579,1
55,2000,1,1.016057168,1
60,2000,1,1.016143574,1
15,1995,1,1,1
20,1995,1,1.032975581,1
25,1995,1,1.069362913,1
30,1995,1,1.107115611,1
35,1995,1,1.086649497,1
40,1995,1,1.027894716,1
45,1995,1,1.028090601,1
50,1995,1,1.024803133,1
55,1995,1,1.021485884,1
60,1995,1,1.021601915,1
15,1990,1,1,1
20,1990,1,1.032975581,1
25,1990,1,1.069362913,1
30,1990,1,1.107115611,1
35,1990,1,1.086649497,1
40,1990,1,1.03501362,1
45,1990,1,1.035260519,1
50,1990,1,1.030249479,1
55,1990,1,1.026943606,1
60,1990,1,1.027089577,1
15,1985,1,1,1
20,1985,1,1.032975581,1
25,1985,1,1.069362913,1
30,1985,1,1.107115611,1
35,1985,1,1.086649497,1
40,1985,1,1.03501362,1
45,1985,1,1.04248044,1
50,1985,1,1.03572477,1
55,1985,1,1.032430488,1
60,1985,1,1.032606716,1
15,1980,1,1,1
20,1980,1,1.032975581,1
25,1980,1,1.069362913,1
30,1980,1,1.107115611,1
35,1980,1,1.086649497,1
40,1980,1,1.03501362,1
45,1980,1,1.04248044,1
50,1980,1,1.04122916,1
55,1980,1,1.037946686,1
60,1980,1,1.038153492,1
15,1975,1,1,1
20,1975,1,1.032975581,1
25,1975,1,1.069362913,1
30,1975,1,1.107115611,1
35,1975,1,1.086649497,1
40,1975,1,1.03501362,1
45,1975,1,1.04248044,1
50,1975,1,1.04122916,1
55,1975,1,1.043492356,1
60,1975,1,1.043730063,1
15,1970,1,1,1
20,1970,1,1.032975581,1
25,1970,1,1.069362913,1
