PIAAC_Literacy,PIAAC_Numeracy,Age,PISA_year,country,sex,PISA_read_adj,PISA_math_adj
267.6747897,277.0182043,16-19,2009,AUT,Male,250.7767406,259.312339
272.2976247,270.3627709,16-19,2009,AUT,Female,268.4607947,249.4793504
285.5585432,289.1372199,20-24,2006,AUT,Male,258.9404953,264.8983273
281.5466886,277.3931898,20-24,2006,AUT,Female,278.0880779,253.3045551
285.5585432,289.1372199,20-24,2003,AUT,Male,258.4339378,261.2124396
281.5466886,277.3931898,20-24,2003,AUT,Female,278.7067795,257.3302216
284.3189161,291.6222285,25-29,2000,AUT,Male,270.4747844,271.8125429
282.1724442,281.5083744,25-29,2000,AUT,Female,282.8509097,257.9484072
276.4580676,278.457447,16-19,2009,BEL,Male,269.3993947,269.6831325
278.7522865,272.3458763,16-19,2009,BEL,Female,281.0477047,258.530074
290.4703393,292.7650706,20-24,2003,BEL,Male,267.9624562,273.2534482
293.7527739,287.1704556,20-24,2003,BEL,Female,283.8037376,269.403363
290.4703393,292.7650706,20-24,2006,BEL,Male,264.8158621,268.5244613
293.7527739,287.1704556,20-24,2006,BEL,Female,281.8729477,264.9622942
294.3355469,299.3890146,25-29,2000,BEL,Male,269.1578819,268.5559566
291.4009392,290.6352097,25-29,2000,BEL,Female,284.8645442,265.3725089
267.0074914,263.1071113,16-19,2009,CAN,Male,275.6281117,273.1605434
274.1495614,261.8542764,16-19,2009,CAN,Female,290.3728808,267.0772459
281.6269992,280.4142674,20-24,2003,CAN,Male,278.5540094,277.2990263
278.3885691,265.3988792,20-24,2003,CAN,Female,292.0893409,271.5726814
281.6269992,280.4142674,20-24,2006,CAN,Male,277.3282978,273.8671828
278.3885691,265.3988792,20-24,2006,CAN,Female,291.0238762,266.5803636
286.0067725,281.1678275,25-29,2000,CAN,Male,280.9025665,276.3091685
286.5142934,269.6938736,25-29,2000,CAN,Female,295.0636556,271.0467414
277.3927084,270.7041249,16-19,2009,CZE,Male,253.4464482,253.9034546
272.9166571,264.3203524,16-19,2009,CZE,Female,274.2531726,251.3652782
286.5437017,288.3886848,20-24,2003,CZE,Male,260.9978364,268.6203174
282.269947,282.7740653,20-24,2003,CZE,Female,274.4318881,260.9452791
286.5437017,288.3886848,20-24,2006,CZE,Male,256.5921592,263.7951865
282.269947,282.7740653,20-24,2006,CZE,Female,276.2400875,258.401384
284.6395552,289.9105706,25-29,2000,CZE,Male,261.2173702,258.3370484
284.7894659,287.8727669,25-29,2000,CZE,Female,278.9490331,252.3580549
267.2374955,263.3116095,16-19,2009,DNK,Male,264.110007,262.2562095
275.1054002,265.9071812,16-19,2009,DNK,Female,276.4892625,253.9865873
279.0994312,283.5211417,20-24,2003,DNK,Male,263.6950751,268.0488221
