age,sex,iso,educ,n,mean_country,s.e.,SD,s.e
15,1,203,4,NA,NA,NA,NA,NA
15,2,203,4,NA,NA,NA,NA,NA
20,1,203,1,NA,NA,NA,NA,NA
20,2,203,1,NA,NA,NA,NA,NA
30,2,203,1,NA,NA,NA,NA,NA
35,1,203,1,NA,NA,NA,NA,NA
40,1,203,1,NA,NA,NA,NA,NA
45,1,203,1,NA,NA,NA,NA,NA
45,2,203,1,NA,NA,NA,NA,NA
50,1,203,1,NA,NA,NA,NA,NA
50,2,203,1,NA,NA,NA,NA,NA
55,1,203,1,NA,NA,NA,NA,NA
55,2,203,1,NA,NA,NA,NA,NA
15,1,208,4,NA,NA,NA,NA,NA
40,2,233,1,NA,NA,NA,NA,NA
45,1,233,1,NA,NA,NA,NA,NA
45,2,233,1,NA,NA,NA,NA,NA
30,1,246,1,NA,NA,NA,NA,NA
15,1,276,4,NA,NA,NA,NA,NA
15,1,300,4,NA,NA,NA,NA,NA
15,2,348,4,NA,NA,NA,NA,NA
15,1,380,4,NA,NA,NA,NA,NA
15,2,380,4,NA,NA,NA,NA,NA
15,2,380,1,NA,NA,NA,NA,NA
20,2,380,1,NA,NA,NA,NA,NA
15,1,392,1,NA,NA,NA,NA,NA
15,2,392,1,NA,NA,NA,NA,NA
20,1,392,1,NA,NA,NA,NA,NA
20,2,392,1,NA,NA,NA,NA,NA
25,1,392,1,NA,NA,NA,NA,NA
25,2,392,1,NA,NA,NA,NA,NA
30,1,392,1,NA,NA,NA,NA,NA
30,2,392,1,NA,NA,NA,NA,NA
35,1,392,1,NA,NA,NA,NA,NA
40,1,392,1,NA,NA,NA,NA,NA
40,2,392,1,NA,NA,NA,NA,NA
45,1,392,1,NA,NA,NA,NA,NA
45,2,392,1,NA,NA,NA,NA,NA
50,1,392,1,NA,NA,NA,NA,NA
50,2,392,1,NA,NA,NA,NA,NA
55,1,392,1,NA,NA,NA,NA,NA
55,2,392,1,NA,NA,NA,NA,NA
60,2,392,1,NA,NA,NA,NA,NA
50,1,398,1,NA,NA,NA,NA,NA
20,1,410,1,NA,NA,NA,NA,NA
20,2,410,1,NA,NA,NA,NA,NA
15,1,440,4,NA,NA,NA,NA,NA
15,2,440,4,NA,NA,NA,NA,NA
35,2,440,1,NA,NA,NA,NA,NA
40,1,440,1,NA,NA,NA,NA,NA
45,1,440,1,NA,NA,NA,NA,NA
50,2,440,1,NA,NA,NA,NA,NA
55,1,440,1,NA,NA,NA,NA,NA
60,1,440,1,NA,NA,NA,NA,NA
15,1,484,4,NA,NA,NA,NA,NA
15,2,484,4,NA,NA,NA,NA,NA
15,1,528,4,NA,NA,NA,NA,NA
15,2,528,4,NA,NA,NA,NA,NA
35,1,578,1,NA,NA,NA,NA,NA
55,1,578,1,NA,NA,NA,NA,NA
30,1,616,1,NA,NA,NA,NA,NA
35,1,616,1,NA,NA,NA,NA,NA
45,2,616,1,NA,NA,NA,NA,NA
25,1,643,1,NA,NA,NA,NA,NA
35,2,643,1,NA,NA,NA,NA,NA
45,2,643,1,NA,NA,NA,NA,NA
15,1,703,4,NA,NA,NA,NA,NA
15,2,703,4,NA,NA,NA,NA,NA
20,1,703,1,NA,NA,NA,NA,NA
30,1,703,1,NA,NA,NA,NA,NA
30,2,703,1,NA,NA,NA,NA,NA
35,2,703,1,NA,NA,NA,NA,NA
15,1,705,4,NA,NA,NA,NA,NA
15,2,705,1,NA,NA,NA,NA,NA
15,2,705,4,NA,NA,NA,NA,NA
20,2,705,1,NA,NA,NA,NA,NA
25,2,705,1,NA,NA,NA,NA,NA
15,2,724,4,NA,NA,NA,NA,NA
20,1,752,1,NA,NA,NA,NA,NA
15,1,792,4,NA,NA,NA,NA,NA
15,1,840,4,NA,NA,NA,NA,NA
15,2,840,1,NA,NA,NA,NA,NA
20,1,840,1,NA,NA,NA,NA,NA
20,2,840,1,NA,NA,NA,NA,NA
55,2,616,1,NA,NA,NA,NA,NA
