iso,age,sex,educ,Std..err.,pct_above_OECD_avg,pct_below_OECD_avg,sum
203,15,1,4,NA,NA,NA,NA
203,15,2,4,NA,NA,NA,NA
203,20,1,1,NA,NA,NA,NA
203,20,2,1,NA,NA,NA,NA
203,30,2,1,NA,NA,NA,NA
203,35,1,1,NA,NA,NA,NA
203,40,1,1,NA,NA,NA,NA
203,45,1,1,NA,NA,NA,NA
203,45,2,1,NA,NA,NA,NA
203,50,1,1,NA,NA,NA,NA
203,50,2,1,NA,NA,NA,NA
203,55,1,1,NA,NA,NA,NA
203,55,2,1,NA,NA,NA,NA
208,15,1,4,NA,NA,NA,NA
233,40,2,1,NA,NA,NA,NA
233,45,1,1,NA,NA,NA,NA
233,45,2,1,NA,NA,NA,NA
246,30,1,1,NA,NA,NA,NA
276,15,1,4,NA,NA,NA,NA
300,15,1,4,NA,NA,NA,NA
348,15,2,4,NA,NA,NA,NA
380,15,1,4,NA,NA,NA,NA
380,15,2,4,NA,NA,NA,NA
380,15,2,1,NA,NA,NA,NA
380,20,2,1,NA,NA,NA,NA
392,15,1,1,NA,NA,NA,NA
392,15,2,1,NA,NA,NA,NA
392,20,1,1,NA,NA,NA,NA
392,20,2,1,NA,NA,NA,NA
392,25,1,1,NA,NA,NA,NA
392,25,2,1,NA,NA,NA,NA
392,30,1,1,NA,NA,NA,NA
392,30,2,1,NA,NA,NA,NA
392,35,1,1,NA,NA,NA,NA
392,40,1,1,NA,NA,NA,NA
392,40,2,1,NA,NA,NA,NA
392,45,1,1,NA,NA,NA,NA
392,45,2,1,NA,NA,NA,NA
392,50,1,1,NA,NA,NA,NA
392,50,2,1,NA,NA,NA,NA
392,55,1,1,NA,NA,NA,NA
392,55,2,1,NA,NA,NA,NA
392,60,2,1,NA,NA,NA,NA
398,50,1,1,NA,NA,NA,NA
410,20,1,1,NA,NA,NA,NA
410,20,2,1,NA,NA,NA,NA
440,15,1,4,NA,NA,NA,NA
440,15,2,4,NA,NA,NA,NA
440,35,2,1,NA,NA,NA,NA
440,40,1,1,NA,NA,NA,NA
440,45,1,1,NA,NA,NA,NA
440,50,2,1,NA,NA,NA,NA
440,55,1,1,NA,NA,NA,NA
440,60,1,1,NA,NA,NA,NA
484,15,1,4,NA,NA,NA,NA
484,15,2,4,NA,NA,NA,NA
528,15,1,4,NA,NA,NA,NA
528,15,2,4,NA,NA,NA,NA
578,35,1,1,NA,NA,NA,NA
578,55,1,1,NA,NA,NA,NA
616,30,1,1,NA,NA,NA,NA
616,35,1,1,NA,NA,NA,NA
616,45,2,1,NA,NA,NA,NA
643,25,1,1,NA,NA,NA,NA
643,35,2,1,NA,NA,NA,NA
643,45,2,1,NA,NA,NA,NA
703,15,1,4,NA,NA,NA,NA
703,15,2,4,NA,NA,NA,NA
703,20,1,1,NA,NA,NA,NA
703,30,1,1,NA,NA,NA,NA
703,30,2,1,NA,NA,NA,NA
703,35,2,1,NA,NA,NA,NA
705,15,1,4,NA,NA,NA,NA
705,15,2,1,NA,NA,NA,NA
705,15,2,4,NA,NA,NA,NA
705,20,2,1,NA,NA,NA,NA
705,25,2,1,NA,NA,NA,NA
724,15,2,4,NA,NA,NA,NA
752,20,1,1,NA,NA,NA,NA
792,15,1,4,NA,NA,NA,NA
840,15,1,4,NA,NA,NA,NA
840,15,2,1,NA,NA,NA,NA
840,20,1,1,NA,NA,NA,NA
840,20,2,1,NA,NA,NA,NA
616,55,2,1,NA,NA,NA,NA
