"year","iso","country","OECD_average","literate_prop1","literate_prop2","adj_factor1","adj_factor2"
2015,4,"Afghanistan",98.89134,32.77573943,24.35955562,0.331431847,0.246326479
2010,8,"Albania",98.89134,98.34911543,91.15206399,0.994516966,0.921739598
2015,8,"Albania",98.89134,98.74568611,96.15686113,0.998527132,0.972348652
2005,24,"Angola",98.89134,61.9,45.5,0.625939541,0.460100955
2010,24,"Angola",98.89134,59.9,46.1,0.605715324,0.466168221
2015,24,"Angola",98.89134,70.68013947,56.75782362,0.714725268,0.573941294
2005,50,"Bangladesh",98.89134,55.82040212,48.91726334,0.564461985,0.494656694
2010,50,"Bangladesh",98.89134,62.74966159,50.89639035,0.634531412,0.514669842
2015,50,"Bangladesh",98.89134,66.3,54.2,0.670432821,0.548076303
2000,204,"Benin",98.89134,37.05348258,30.01718136,0.374688851,0.303537007
2005,204,"Benin",98.89134,42.44973517,33.10885858,0.429256345,0.334800384
2010,204,"Benin",98.89134,48.24442237,39.79482532,0.487852853,0.402409608
2015,204,"Benin",98.89134,44.13115131,35.8334019,0.446259008,0.362351263
2005,68,"Bolivia",98.89134,94.45961974,92.71111012,0.955185962,0.937504842
2010,68,"Bolivia",98.89134,95.60930942,93.86235905,0.966811749,0.949146397
2005,854,"Burkina Faso",98.89134,24.4855018,18.66248126,0.247600061,0.188717043
2010,854,"Burkina Faso",98.89134,30.00630198,23.51266858,0.303426994,0.237762665
2015,854,"Burkina Faso",98.89134,30.25,22.75,0.3058912945,0.2300504775
2010,108,"Burundi",98.89134,67.44402714,58.792176335,0.6820013475,0.59451289
2015,108,"Burundi",98.89134,73.28760553,67.2285699,0.741092249,0.67982262
2000,116,"Cambodia",98.89134,67,42.6,0.677511297,0.430775839
2005,116,"Cambodia",98.89134,69.4,54.8,0.701780358,0.554143568
2010,116,"Cambodia",98.89134,78.16599629,58.71509303,0.790423067,0.593733415
2015,116,"Cambodia",98.89134,80.04576562,59.50186699,0.809431499,0.601689359
2005,120,"Cameroon",98.89134,73.04930666,62.94935709,0.738682544,0.636550754
2010,120,"Cameroon",98.89134,75.71994648,66.87347548,0.765688345,0.676231867
2005,148,"Chad",98.89134,24.30228571,19.65199532,0.24574736,0.198723117
2015,148,"Chad",98.89134,38.11548357,29.8541933,0.385427921,0.301888854
2010,174,"Comoros",98.89134,70.31672971,58.34704684,0.711050429,0.590011692
2005,178,"Congo",98.89134,84.13232567,74.98841985,0.85075524,0.758291068
2010,178,"Congo",98.89134,87.17980689,80.23612957,0.881571702,0.81135648
2010,384,"Cote d'Ivoire",98.89134,49.45913744,44.83921959,0.500136184,0.453419072
2005,180,"Democratic Republic of the Congo",98.89134,72.2971145,62.1963281,0.731076295,0.628936043
2015,180,"Democratic Republic of the Congo",98.89134,75.91745761,67.26518098,0.767685599,0.680192836
2000,214,"Dominican Republic",98.89134,88.45512893,83.10615472,0.894467897,0.840378487
2005,214,"Dominican Republic",98.89134,90.85992953,84.71350416,0.918785503,0.85663218
2015,214,"Dominican Republic",98.89134,91.75824893,83.8754067,0.927869406,0.848157247
2000,818,"Egypt",98.89134,50.2,42.2,0.507627867,0.426730996
2005,818,"Egypt",98.89134,57.6,50.75,0.582457473,0.513189527
2010,818,"Egypt",98.89134,64.7,57.6,0.654253446,0.582457473
2015,818,"Egypt",98.89134,73.2,68.4,0.740206372,0.691668249
2000,231,"Ethiopia",98.89134,39.68866871,30.27573836,0.40133614,0.306151564
2005,231,"Ethiopia",98.89134,45.17567292,34.35077,0.456821324,0.347358727
2010,231,"Ethiopia",98.89134,52.39707754,38.45969606,0.529844954,0.388908635
