"iso","year","qamys_dhs_full","qamys_dhs_part"
4,1970,NA,NA
4,1975,NA,NA
4,1980,NA,NA
4,1985,NA,NA
4,1990,NA,NA
4,1995,NA,NA
4,2000,NA,NA
4,2005,NA,NA
4,2010,NA,NA
4,2015,1.05063895499,0.78085493843
8,1970,NA,NA
8,1975,NA,NA
8,1980,NA,NA
8,1985,NA,NA
8,1990,NA,NA
8,1995,NA,NA
8,2000,NA,NA
8,2005,NA,NA
8,2010,10.31314093742,9.55843963126
8,2015,10.55443178524,10.27772525164
12,1970,NA,NA
12,1975,NA,NA
12,1980,NA,NA
12,1985,NA,NA
12,1990,NA,NA
12,1995,NA,NA
12,2000,NA,NA
12,2005,NA,NA
12,2010,NA,NA
12,2015,NA,NA
24,1970,NA,NA
24,1975,NA,NA
24,1980,NA,NA
24,1985,NA,NA
24,1990,NA,NA
24,1995,NA,NA
24,2000,NA,NA
24,2005,1.40836396725,1.03522714875
24,2010,1.49611685028,1.15143550587
24,2015,2.07985052988,1.67016916554
28,2015,NA,NA
32,1970,NA,NA
32,1975,NA,NA
32,1980,NA,NA
32,1985,NA,NA
32,1990,NA,NA
32,1995,NA,NA
32,2000,NA,NA
32,2005,NA,NA
32,2010,NA,NA
32,2015,NA,NA
51,1970,NA,NA
51,1975,NA,NA
51,1980,NA,NA
51,1985,NA,NA
51,1990,NA,NA
51,1995,NA,NA
51,2000,NA,NA
51,2005,NA,NA
51,2010,NA,NA
51,2015,NA,NA
533,1970,NA,NA
533,1975,NA,NA
533,1980,NA,NA
533,1985,NA,NA
533,1990,NA,NA
533,1995,NA,NA
533,2000,NA,NA
533,2005,NA,NA
533,2010,NA,NA
533,2015,NA,NA
36,1970,NA,NA
36,1975,NA,NA
36,1980,NA,NA
36,1985,NA,NA
36,1990,NA,NA
36,1995,NA,NA
36,2000,NA,NA
36,2005,NA,NA
36,2010,NA,NA
36,2015,NA,NA
40,1970,NA,NA
40,1975,NA,NA
40,1980,NA,NA
40,1985,NA,NA
40,1990,NA,NA
40,1995,NA,NA
40,2000,NA,NA
40,2005,NA,NA
40,2010,NA,NA
40,2015,NA,NA
31,1970,NA,NA
31,1975,NA,NA
31,1980,NA,NA
31,1985,NA,NA
