"country","year","iso","cc","hlo_mean","edu_exp_","tp_","GEO","fit1","lwr1","upr1","hlo","year_1945","year_1950","year_1955","year_1960","year_1965","year_1970","year_1975","year_1980","year_1985","year_1990"
"Afghanistan",1970,4,"Afghanistan",NA,1.23514,39.24977,"Southern Asia",333.454138820221,306.846228401567,360.062049238874,333.454138820221,0,0,0,0,0,1,0,0,0,0
"Afghanistan",1975,4,"Afghanistan",NA,1.521565,36.5322,"Southern Asia",341.348491556051,315.33821678546,367.358766326642,341.348491556051,0,0,0,0,0,0,1,0,0,0
"Afghanistan",1980,4,"Afghanistan",NA,1.826693,37.87589,"Southern Asia",338.705066635622,312.80263992273,364.607493348515,338.705066635622,0,0,0,0,0,0,0,1,0,0
"Afghanistan",1985,4,"Afghanistan",NA,2.6203,36.40558,"Southern Asia",344.777277344249,319.520585829637,370.033968858861,344.777277344249,0,0,0,0,0,0,0,0,1,0
"Afghanistan",1990,4,"Afghanistan",NA,2.694158,49.26471,"Southern Asia",311.452893171206,283.405380608895,339.500405733516,311.452893171206,0,0,0,0,0,0,0,0,0,1
"Albania",1970,8,"Albania",NA,2.733934,24.05337,"Southern Europe",442.182457978296,427.57422392516,456.790692031433,442.182457978296,0,0,0,0,0,1,0,0,0,0
"Albania",1975,8,"Albania",NA,2.847354,19.13892,"Southern Europe",455.317700927152,441.689504638542,468.945897215762,455.317700927152,0,0,0,0,0,0,1,0,0,0
"Albania",1980,8,"Albania",NA,3.146412,17.94964,"Southern Europe",459.262368120556,446.084579964375,472.440156276737,459.262368120556,0,0,0,0,0,0,0,1,0,0
"Albania",1985,8,"Albania",NA,3.289963,17.73649,"Southern Europe",460.223033700656,447.203513587516,473.242553813796,460.223033700656,0,0,0,0,0,0,0,0,1,0
"Albania",1990,8,"Albania",NA,3.44698,15.68515,"Southern Europe",466.015112309135,453.216805885498,478.813418732771,466.015112309135,0,0,0,0,0,0,0,0,0,1
"Algeria",1970,12,"Algeria",NA,4.61921,40.00059,"Northern Africa",338.302415674924,310.615815704607,365.989015645241,338.302415674924,0,0,0,0,0,1,0,0,0,0
"Algeria",1975,12,"Algeria",NA,7.18201,39.35215,"Northern Africa",347.220833972977,317.880195185056,376.561472760898,347.220833972977,0,0,0,0,0,0,1,0,0,0
"Algeria",1980,12,"Algeria",NA,6.59742,33.53637,"Northern Africa",360.737975451103,333.387248221206,388.088702681,360.737975451103,0,0,0,0,0,0,0,1,0,0
"Algeria",1985,12,"Algeria",NA,5.081331,27.9779,"Northern Africa",370.957162545612,345.254721268414,396.659603822811,370.957162545612,0,0,0,0,0,0,0,0,1,0
"Algeria",1990,12,"Algeria",NA,4.923425,27.68756,"Northern Africa",371.268961490418,345.61189141069,396.926031570146,371.268961490418,0,0,0,0,0,0,0,0,0,1
