iso,year,tp_,GEO
4,1970,39.24977,"Southern Asia"
4,1975,36.5322,"Southern Asia"
4,1980,37.87589,"Southern Asia"
4,1985,36.40558,"Southern Asia"
4,1990,49.26471,"Southern Asia"
4,1995,32.64443,"Southern Asia"
4,2000,31.86219,"Southern Asia"
4,2005,42.91563,"Southern Asia"
4,2010,44.58134,"Southern Asia"
4,2015,46.18569,"Southern Asia"
8,1970,24.05337,"Southern Europe"
8,1975,19.13892,"Southern Europe"
8,1980,17.94964,"Southern Europe"
8,1985,17.73649,"Southern Europe"
8,1990,15.68515,"Southern Europe"
8,1995,22.75761,"Southern Europe"
8,2000,21.93856,"Southern Europe"
8,2005,19.79287,"Southern Europe"
8,2010,19.41964,"Southern Europe"
8,2015,18.08292,"Southern Europe"
12,1970,40.00059,"Northern Africa"
12,1975,39.35215,"Northern Africa"
12,1980,33.53637,"Northern Africa"
12,1985,27.9779,"Northern Africa"
12,1990,27.68756,"Northern Africa"
12,1995,27.5337,"Northern Africa"
12,2000,27.57514,"Northern Africa"
12,2005,24.01662,"Northern Africa"
12,2010,23.33632,"Northern Africa"
12,2015,24.15421,"Northern Africa"
16,1970,22.09527,"Oceania"
16,1975,22.55809,"Oceania"
16,1980,18.98035,"Oceania"
16,1985,17.77066,"Oceania"
16,1990,16.96922,"Oceania"
16,1995,19.00528,"Oceania"
16,2000,19.43101,"Oceania"
16,2005,23.91441,"Oceania"
16,2010,20.76926,"Oceania"
16,2015,17.60879,"Oceania"
20,1970,24.05337,"Southern Europe"
20,1975,15.38732,"Southern Europe"
20,1980,9.72676,"Southern Europe"
20,1985,17.73649,"Southern Europe"
20,1990,15.68515,"Southern Europe"
20,1995,16.87588,"Southern Europe"
20,2000,12.46921,"Southern Europe"
20,2005,10.51417,"Southern Europe"
20,2010,9.583602,"Southern Europe"
20,2015,10.25047,"Southern Europe"
24,1970,40.11174,"Middle Africa"
24,1975,50.13342,"Middle Africa"
24,1980,33.34781,"Middle Africa"
24,1985,32.09739,"Middle Africa"
24,1990,29.52888,"Middle Africa"
24,1995,41.75324,"Middle Africa"
24,2000,48.8688,"Middle Africa"
24,2005,41.0124,"Middle Africa"
24,2010,44.06479,"Middle Africa"
24,2015,50.02951,"Middle Africa"
28,1970,25.30054,"Caribbean"
28,1975,24.10168,"Caribbean"
28,1980,24.72464,"Caribbean"
28,1985,24.19762,"Caribbean"
28,1990,21.63677,"Caribbean"
28,1995,20.41527,"Caribbean"
28,2000,18.74101,"Caribbean"
