iso,year,edu_exp_
4,1970,1.23514
4,1975,1.521565
4,1980,1.826693
4,1985,2.6203
4,1990,2.694158
4,1995,3.099722
4,2000,3.762535
4,2005,3.526075
4,2010,3.339068
4,2015,3.847677
8,1970,2.733934
8,1975,2.847354
8,1980,3.146412
8,1985,3.289963
8,1990,3.44698
8,1995,3.481506
8,2000,3.274486
8,2005,3.249647
8,2010,3.5393
8,2015,3.369742
12,1970,4.61921
12,1975,7.18201
12,1980,6.59742
12,1985,5.081331
12,1990,4.923425
12,1995,4.578922
12,2000,4.170206
12,2005,4.33702
12,2010,3.742475
12,2015,3.969367
16,1970,5.643403
16,1975,6.29366
16,1980,8.249955
16,1985,5.863735
16,1990,5.162165
16,1995,6.148912
16,2000,6.751278
16,2005,14.62928
16,2010,5.500103
16,2015,5.582323
20,1970,2.733934
20,1975,2.847354
20,1980,3.146412
20,1985,3.289963
20,1990,4.003836
20,1995,3.71328
20,2000,1.60211
20,2005,2.38846
20,2010,2.909595
20,2015,3.233085
24,1970,4.364556
24,1975,5.45101
24,1980,3.841046
24,1985,4.95714
24,1990,3.631251
24,1995,2.56712
24,2000,2.60753
24,2005,2.200785
24,2010,3.42132
24,2015,3.32617
28,1970,5.809939
28,1975,6.181745
28,1980,4.281818
28,1985,3.532633
28,1990,4.105412
28,1995,2.75397
28,2000,3.39428
28,2005,2.51724
28,2010,5.831887
28,2015,4.496346
31,1970,3.685292
31,1975,3.981776
31,1980,4.347406
31,1985,4.264387
31,1990,6.05797
31,1995,3.610525
31,2000,3.449144
31,2005,2.748932
31,2010,2.471812
31,2015,2.776303
32,1970,1.774583
32,1975,1.812982
32,1980,2.09806
32,1985,1.237957
32,1990,1.06738
32,1995,4.097843
32,2000,4.090592
32,2005,4.565256
32,2010,5.290844
32,2015,5.59461
36,1970,4.750015
36,1975,5.95289
36,1980,5.501924
36,1985,5.084678
36,1990,4.987026
36,1995,5.19244
36,2000,4.89147
36,2005,4.808994
36,2010,5.177616
36,2015,5.291795
40,1970,4.410214
40,1975,5.103516
40,1980,5.267604
40,1985,5.276436
40,1990,5.152362
40,1995,5.726083
40,2000,5.470136
40,2005,5.3234
40,2010,5.553576
40,2015,5.478725
44,1970,5.809939
44,1975,6.181745
44,1980,4.281818
44,1985,3.532633
44,1990,4.105412
44,1995,4.152601
44,2000,2.23284
44,2005,4.492093
44,2010,5.831887
44,2015,4.496346
48,1970,3.685292
48,1975,3.981776
48,1980,4.347406
48,1985,4.264387
48,1990,5.658722
48,1995,4.0492
48,2000,4.691046
48,2005,2.648713
48,2010,2.529883
48,2015,2.497645
50,1970,2.268256
50,1975,1.13093
50,1980,1.055288
50,1985,1.376103
50,1990,1.567292
50,1995,2.042645
50,2000,2.064738
50,2005,2.081875
50,2010,2.091453
50,2015,1.998037
51,1970,3.685292
51,1975,3.981776
51,1980,4.347406
51,1985,4.264387
51,1990,5.658722
51,1995,2.04181
51,2000,2.401796
51,2005,3.092052
51,2010,2.81255
51,2015,2.757207
52,1970,5.809939
52,1975,6.23098
52,1980,4.281818
52,1985,3.532633
52,1990,6.60199
52,1995,4.25458
52,2000,5.669076
52,2005,5.21811
52,2010,5.65523
52,2015,4.87462
56,1970,4.173138
56,1975,5.629742
56,1980,5.32572
56,1985,4.552347
56,1990,5.36297
56,1995,2.99943
56,2000,3.794348
56,2005,6.158587
56,2010,6.516227
56,2015,6.542285
60,1970,2.8821
60,1975,2.40959
60,1980,6.591778
60,1985,2.31682
60,1990,2.516087
60,1995,2.15247
60,2000,1.721075
60,2005,2.28743
60,2010,2.17239
60,2015,1.599495
64,1970,2.268256
64,1975,2.329819
64,1980,2.519711
64,1985,2.6203
64,1990,2.694158
64,1995,3.099722
64,2000,5.883193
64,2005,5.500773
64,2010,5.04251
64,2015,6.948245
68,1970,3.004822
68,1975,3.436908
68,1980,3.955865
68,1985,2.994236
68,1990,2.437877
68,1995,3.753639
68,2000,3.716259
68,2005,3.973552
68,2010,4.424499
68,2015,4.942793
70,1970,2.733934
70,1975,2.847354
70,1980,3.146412
70,1985,3.289963
70,1990,4.003836
70,1995,4.152017
70,2000,3.91619
70,2005,4.293172
70,2010,4.382982
70,2015,4.067101
72,1970,3.807665
72,1975,5.841514
72,1980,5.524416
72,1985,5.776372
72,1990,6.29012
72,1995,7.251308
72,2000,6.975539
72,2005,9.721
72,2010,6.151031
72,2015,6.504739
76,1970,3.004822
76,1975,3.436908
