"iso","year","literate_prop","wb_il_prop","sex"
533,"1960",NA,NA,"Male"
4,"1960",NA,NA,"Male"
24,"1960",NA,NA,"Male"
8,"1960",NA,NA,"Male"
20,"1960",NA,NA,"Male"
784,"1960",NA,NA,"Male"
32,"1960",NA,NA,"Male"
51,"1960",NA,NA,"Male"
16,"1960",NA,NA,"Male"
28,"1960",NA,NA,"Male"
36,"1960",NA,NA,"Male"
40,"1960",NA,NA,"Male"
31,"1960",NA,NA,"Male"
108,"1960",NA,NA,"Male"
56,"1960",NA,NA,"Male"
204,"1960",NA,NA,"Male"
854,"1960",NA,NA,"Male"
50,"1960",NA,NA,"Male"
100,"1960",NA,NA,"Male"
48,"1960",NA,NA,"Male"
44,"1960",NA,NA,"Male"
70,"1960",NA,NA,"Male"
112,"1960",NA,NA,"Male"
84,"1960",NA,NA,"Male"
60,"1960",NA,NA,"Male"
68,"1960",NA,NA,"Male"
76,"1960",NA,NA,"Male"
52,"1960",NA,NA,"Male"
96,"1960",NA,NA,"Male"
64,"1960",NA,NA,"Male"
72,"1960",NA,NA,"Male"
140,"1960",NA,NA,"Male"
124,"1960",NA,NA,"Male"
756,"1960",NA,NA,"Male"
152,"1960",NA,NA,"Male"
156,"1960",NA,NA,"Male"
384,"1960",NA,NA,"Male"
120,"1960",NA,NA,"Male"
180,"1960",NA,NA,"Male"
178,"1960",NA,NA,"Male"
170,"1960",NA,NA,"Male"
174,"1960",NA,NA,"Male"
132,"1960",NA,NA,"Male"
188,"1960",NA,NA,"Male"
192,"1960",NA,NA,"Male"
531,"1960",NA,NA,"Male"
136,"1960",NA,NA,"Male"
196,"1960",NA,NA,"Male"
203,"1960",NA,NA,"Male"
276,"1960",NA,NA,"Male"
262,"1960",NA,NA,"Male"
212,"1960",NA,NA,"Male"
208,"1960",NA,NA,"Male"
214,"1960",NA,NA,"Male"
12,"1960",NA,NA,"Male"
218,"1960",NA,NA,"Male"
818,"1960",NA,NA,"Male"
232,"1960",NA,NA,"Male"
724,"1960",NA,NA,"Male"
233,"1960",NA,NA,"Male"
231,"1960",NA,NA,"Male"
246,"1960",NA,NA,"Male"
242,"1960",NA,NA,"Male"
250,"1960",NA,NA,"Male"
234,"1960",NA,NA,"Male"
583,"1960",NA,NA,"Male"
266,"1960",NA,NA,"Male"
826,"1960",NA,NA,"Male"
268,"1960",NA,NA,"Male"
288,"1960",NA,NA,"Male"
292,"1960",NA,NA,"Male"
324,"1960",NA,NA,"Male"
270,"1960",NA,NA,"Male"
624,"1960",NA,NA,"Male"
226,"1960",NA,NA,"Male"
300,"1960",NA,NA,"Male"
308,"1960",NA,NA,"Male"
304,"1960",NA,NA,"Male"
320,"1960",NA,NA,"Male"
316,"1960",NA,NA,"Male"
328,"1960",NA,NA,"Male"
344,"1960",NA,NA,"Male"
340,"1960",NA,NA,"Male"
191,"1960",NA,NA,"Male"
332,"1960",NA,NA,"Male"
348,"1960",NA,NA,"Male"
360,"1960",NA,NA,"Male"
833,"1960",NA,NA,"Male"
356,"1960",NA,NA,"Male"
372,"1960",NA,NA,"Male"
364,"1960",NA,NA,"Male"
368,"1960",NA,NA,"Male"
352,"1960",NA,NA,"Male"
376,"1960",NA,NA,"Male"
380,"1960",NA,NA,"Male"
388,"1960",NA,NA,"Male"
400,"1960",NA,NA,"Male"
392,"1960",NA,NA,"Male"
398,"1960",NA,NA,"Male"
404,"1960",NA,NA,"Male"
417,"1960",NA,NA,"Male"
116,"1960",NA,NA,"Male"
296,"1960",NA,NA,"Male"
659,"1960",NA,NA,"Male"
410,"1960",NA,NA,"Male"
414,"1960",NA,NA,"Male"
418,"1960",NA,NA,"Male"
422,"1960",NA,NA,"Male"
430,"1960",NA,NA,"Male"
434,"1960",NA,NA,"Male"
662,"1960",NA,NA,"Male"
438,"1960",NA,NA,"Male"
144,"1960",NA,NA,"Male"
426,"1960",NA,NA,"Male"
440,"1960",NA,NA,"Male"
442,"1960",NA,NA,"Male"
428,"1960",NA,NA,"Male"
446,"1960",NA,NA,"Male"
663,"1960",NA,NA,"Male"
504,"1960",NA,NA,"Male"
492,"1960",NA,NA,"Male"
498,"1960",NA,NA,"Male"
450,"1960",NA,NA,"Male"
462,"1960",NA,NA,"Male"
484,"1960",NA,NA,"Male"
584,"1960",NA,NA,"Male"
807,"1960",NA,NA,"Male"
466,"1960",NA,NA,"Male"
470,"1960",NA,NA,"Male"
104,"1960",NA,NA,"Male"
499,"1960",NA,NA,"Male"
496,"1960",NA,NA,"Male"
580,"1960",NA,NA,"Male"
508,"1960",NA,NA,"Male"
478,"1960",NA,NA,"Male"
480,"1960",NA,NA,"Male"
454,"1960",NA,NA,"Male"
458,"1960",NA,NA,"Male"
516,"1960",NA,NA,"Male"
540,"1960",NA,NA,"Male"
562,"1960",NA,NA,"Male"
566,"1960",NA,NA,"Male"
558,"1960",NA,NA,"Male"
528,"1960",NA,NA,"Male"
578,"1960",NA,NA,"Male"
524,"1960",NA,NA,"Male"
520,"1960",NA,NA,"Male"
554,"1960",NA,NA,"Male"
512,"1960",NA,NA,"Male"
586,"1960",NA,NA,"Male"
591,"1960",NA,NA,"Male"
604,"1960",NA,NA,"Male"
608,"1960",NA,NA,"Male"
585,"1960",NA,NA,"Male"
598,"1960",NA,NA,"Male"
616,"1960",NA,NA,"Male"
630,"1960",NA,NA,"Male"
408,"1960",NA,NA,"Male"
620,"1960",NA,NA,"Male"
600,"1960",NA,NA,"Male"
275,"1960",NA,NA,"Male"
258,"1960",NA,NA,"Male"
634,"1960",NA,NA,"Male"
642,"1960",NA,NA,"Male"
643,"1960",NA,NA,"Male"
646,"1960",NA,NA,"Male"
682,"1960",NA,NA,"Male"
729,"1960",NA,NA,"Male"
686,"1960",NA,NA,"Male"
702,"1960",NA,NA,"Male"
90,"1960",NA,NA,"Male"
694,"1960",NA,NA,"Male"
222,"1960",NA,NA,"Male"
674,"1960",NA,NA,"Male"
706,"1960",NA,NA,"Male"
688,"1960",NA,NA,"Male"
728,"1960",NA,NA,"Male"
678,"1960",NA,NA,"Male"
740,"1960",NA,NA,"Male"
703,"1960",NA,NA,"Male"
705,"1960",NA,NA,"Male"
752,"1960",NA,NA,"Male"
748,"1960",NA,NA,"Male"
534,"1960",NA,NA,"Male"
690,"1960",NA,NA,"Male"
760,"1960",NA,NA,"Male"
796,"1960",NA,NA,"Male"
148,"1960",NA,NA,"Male"
768,"1960",NA,NA,"Male"
764,"1960",NA,NA,"Male"
762,"1960",NA,NA,"Male"
795,"1960",NA,NA,"Male"
626,"1960",NA,NA,"Male"
776,"1960",NA,NA,"Male"
780,"1960",NA,NA,"Male"
788,"1960",NA,NA,"Male"
792,"1960",NA,NA,"Male"
798,"1960",NA,NA,"Male"
834,"1960",NA,NA,"Male"
800,"1960",NA,NA,"Male"
804,"1960",NA,NA,"Male"
858,"1960",NA,NA,"Male"
840,"1960",NA,NA,"Male"
860,"1960",NA,NA,"Male"
670,"1960",NA,NA,"Male"
862,"1960",NA,NA,"Male"
92,"1960",NA,NA,"Male"
850,"1960",NA,NA,"Male"
704,"1960",NA,NA,"Male"
548,"1960",NA,NA,"Male"
882,"1960",NA,NA,"Male"
887,"1960",NA,NA,"Male"
710,"1960",NA,NA,"Male"
894,"1960",NA,NA,"Male"
716,"1960",NA,NA,"Male"
533,"1961",NA,NA,"Male"
4,"1961",NA,NA,"Male"
24,"1961",NA,NA,"Male"
8,"1961",NA,NA,"Male"
20,"1961",NA,NA,"Male"
784,"1961",NA,NA,"Male"
32,"1961",NA,NA,"Male"
51,"1961",NA,NA,"Male"
16,"1961",NA,NA,"Male"
28,"1961",NA,NA,"Male"
36,"1961",NA,NA,"Male"
40,"1961",NA,NA,"Male"
31,"1961",NA,NA,"Male"
108,"1961",NA,NA,"Male"
56,"1961",NA,NA,"Male"
204,"1961",NA,NA,"Male"
854,"1961",NA,NA,"Male"
50,"1961",NA,NA,"Male"
100,"1961",NA,NA,"Male"
48,"1961",NA,NA,"Male"
44,"1961",NA,NA,"Male"
70,"1961",NA,NA,"Male"
112,"1961",NA,NA,"Male"
84,"1961",NA,NA,"Male"
60,"1961",NA,NA,"Male"
68,"1961",NA,NA,"Male"
76,"1961",NA,NA,"Male"
52,"1961",NA,NA,"Male"
96,"1961",NA,NA,"Male"
64,"1961",NA,NA,"Male"
72,"1961",NA,NA,"Male"
140,"1961",NA,NA,"Male"
124,"1961",NA,NA,"Male"
756,"1961",NA,NA,"Male"
152,"1961",NA,NA,"Male"
156,"1961",NA,NA,"Male"
