"iso","year","sex","unesco_il_prop","wb_il_prop","cc","continent"
4,1970,"Male",79.3023576961164,NA,"Afghanistan","Asia"
8,1970,"Male",33.581254458976,NA,"Albania","Europe"
12,1970,"Male",61.3413492116238,NA,"Algeria","Africa"
24,1970,"Male",NA,NA,"Angola","Africa"
28,1970,"Male",NA,NA,"Antigua & Barbuda","Americas"
32,1970,"Male",6.37319576717023,NA,"Argentina","Americas"
51,1970,"Male",NA,NA,"Armenia","Asia"
533,1970,"Male",NA,NA,"Aruba","Americas"
36,1970,"Male",NA,NA,"Australia","Oceania"
40,1970,"Male",NA,NA,"Austria","Europe"
31,1970,"Male",NA,NA,"Azerbaijan","Asia"
44,1970,"Male",8.61725517010965,NA,"Bahamas","Americas"
48,1970,"Male",38.3421217924438,NA,"Bahrain","Asia"
50,1970,"Male",64.5727147990177,NA,"Bangladesh","Asia"
52,1970,"Male",NA,0.7127685546875,"Barbados","Americas"
112,1970,"Male",0.608613088934254,NA,"Belarus","Europe"
56,1970,"Male",NA,NA,"Belgium","Europe"
84,1970,"Male",20.8469216340962,NA,"Belize","Americas"
204,1970,"Male",83.9414711562661,NA,"Benin","Africa"
64,1970,"Male",NA,NA,"Bhutan","Asia"
68,1970,"Male",29.5914528826461,NA,"Bolivia","Americas"
70,1970,"Male",NA,NA,"Bosnia & Herzegovina","Europe"
72,1970,"Male",55.0100292042638,NA,"Botswana","Africa"
76,1970,"Male",28.1227085421069,NA,"Brazil","Americas"
96,1970,"Male",27.6028357087713,NA,"Brunei","Asia"
100,1970,"Male",3.96944091821944,NA,"Bulgaria","Europe"
854,1970,"Male",88.0067747074779,NA,"Burkina Faso","Africa"
108,1970,"Male",63.2312724082097,NA,"Burundi","Africa"
116,1970,"Male",29.2311218295893,NA,"Cambodia","Asia"
120,1970,"Male",55.12835280748,NA,"Cameroon","Africa"
124,1970,"Male",NA,NA,"Canada","Americas"
132,1970,"Male",47.0597568981146,NA,"Cape Verde","Africa"
140,1970,"Male",75.4496216496226,NA,"Central African Republic","Africa"
148,1970,"Male",85.2088646489704,NA,"Chad","Africa"
152,1970,"Male",10.7294720249499,NA,"Chile","Americas"
156,1970,"Male",33.817675257636,NA,"China","Asia"
170,1970,"Male",20.3720629917425,NA,"Colombia","Americas"
174,1970,"Male",49.5057238496126,NA,"Comoros","Africa"
178,1970,"Male",52.8214869674112,NA,"Congo - Brazzaville","Africa"
178,1970,"Male",64.3763476952912,NA,"Congo - Brazzaville","Africa"
188,1970,"Male",11.2690615669418,NA,"Costa Rica","Americas"
384,1970,"Male",75.3240726821022,NA,"Côte d’Ivoire","Africa"
191,1970,"Male",2.51125577694601,NA,"Croatia","Europe"
192,1970,"Male",10.5173642425569,NA,"Cuba","Americas"
531,1970,"Male",NA,NA,"Curaçao","Americas"
196,1970,"Male",7.17106399448699,NA,"Cyprus","Asia"
203,1970,"Male",NA,NA,"Czechia","Europe"
408,1970,"Male",NA,NA,"North Korea","Asia"
180,1970,"Male",NA,NA,"Congo - Kinshasa","Africa"
208,1970,"Male",NA,NA,"Denmark","Europe"
262,1970,"Male",54.5759764895195,NA,"Djibouti","Africa"
214,1970,"Male",30.6972383476769,NA,"Dominican Republic","Americas"
218,1970,"Male",20.9415426880461,NA,"Ecuador","Americas"
818,1970,"Male",53.9860826681402,NA,"Egypt","Africa"
222,1970,"Male",36.2535551862377,NA,"El Salvador","Americas"
226,1970,"Male",33.5106901722362,NA,"Equatorial Guinea","Africa"
232,1970,"Male",60.4789396411011,NA,"Eritrea","Africa"
233,1970,"Male",NA,NA,"Estonia","Europe"
231,1970,"Male",80.567428967128,NA,"Ethiopia","Africa"
242,1970,"Male",19.939596344539,NA,"Fiji","Oceania"
246,1970,"Male",NA,NA,"Finland","Europe"
250,1970,"Male",NA,NA,"France","Europe"
254,1970,"Male",NA,NA,"French Guiana","Americas"
258,1970,"Male",NA,NA,"French Polynesia","Oceania"
266,1970,"Male",NA,NA,"Gabon","Africa"
270,1970,"Male",87.0746180263639,NA,"Gambia","Africa"
268,1970,"Male",NA,NA,"Georgia","Asia"
276,1970,"Male",NA,NA,"Germany","Europe"
288,1970,"Male",57.0342553974166,NA,"Ghana","Africa"
300,1970,"Male",5.26447014974328,NA,"Greece","Europe"
308,1970,"Male",NA,1.9528427124023,"Grenada","Americas"
312,1970,"Male",NA,NA,"Guadeloupe","Americas"
