"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","1988","1988",48.08802,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2002","2002",62.17232,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2010","2010",60.75262,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2012","2012",73.34718,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2015","2015",73.09383,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","SPM","Saint Pierre and Miquelon","1982","1982",99.28058,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","1981","1981",25.72519,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","1998","1998",42.69931,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2005","2005",49.87364,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2006","2006",54.15121,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2007","2007",52.13683,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2008","2008",55.52637,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2009","2009",54.89264,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2010","2010",55.37519,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2011","2011",54.73802,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","PAK","Pakistan","2012","2012",56.76434,,
