"country","year","iso","old_dep","youth_dep","tot_dep","cc","adj_factor","qamys_piaac","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","qamys_dhs_full","qamys_dhs_part","edu_exp_","tp_","hlo","geo_big","GEO","geo_det","qamys","adj_fact_dhs","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","qamys_pred"
"Afghanistan",1970,4,0.05,0.83,0.88,"Afghanistan",NA,NA,0.56,0.018,0.541573761058764,0.432199884916924,0.0262263540243113,0.87108177,NA,NA,0.0123514,39.24977,316.24799,3,"Southern Asia",18,NA,NA,1,0,0,0,0,0,0,0,0,0,0.163300300514874,0.152369280316209,0.175015515548191,0.163300300514874
"Afghanistan",1975,4,0.05,0.86,0.91,"Afghanistan",NA,NA,0.74,0.0259999999999999,0.553472961591635,0.42117306806083,0.0253539703475345,0.81842316,NA,NA,0.0152157,36.5322,318.108,3,"Southern Asia",18,NA,NA,0,1,0,0,0,0,0,0,0,0,0.224120977688005,0.209914724815669,0.239288657258015,0.224120977688005
"Afghanistan",1980,4,0.05,0.89,0.94,"Afghanistan",NA,NA,0.96,0.038,0.563348125524468,0.412535814994292,0.0241160594812401,0.80280991,NA,NA,0.0182669,37.87589,320.03,3,"Southern Asia",18,NA,NA,0,0,1,0,0,0,0,0,0,0,0.288275349682988,0.270219350665181,0.307537846680042,0.288275349682988
"Afghanistan",1985,4,0.04,0.95,0.99,"Afghanistan",NA,NA,1.2,0.0510000000000001,0.578981561423455,0.399100724036826,0.0219177145397194,0.75886818,NA,NA,0.0245464,36.40558,322.01199,3,"Southern Asia",18,NA,NA,0,0,0,1,0,0,0,0,0,0,0.367040508719215,0.344693274062549,0.390836564499989,0.367040508719215
"Afghanistan",1990,4,0.04,0.98,1.03,"Afghanistan",NA,NA,1.39,0.063,0.588533480361096,0.389552251088307,0.021914268550597,0.70925781,NA,NA,0.0244999,49.26471,324.05801,3,"Southern Asia",18,NA,NA,0,0,0,0,1,0,0,0,0,0,0.448400771134559,0.422652502710016,0.475717641004997,0.448400771134559
"Afghanistan",1995,4,0.05,0.98,1.02,"Afghanistan",NA,NA,1.55,0.0690000000000001,0.588272126363792,0.388725788444612,0.0230020851915954,0.65703362,NA,NA,0.0267133,32.64443,326.172,3,"Southern Asia",18,NA,NA,0,0,0,0,0,1,0,0,0,0,0.508846476461838,0.490651303221273,0.527716394326703,0.508846476461838
"Afghanistan",2000,4,0.05,1.01,1.05,"Afghanistan",NA,NA,1.72,0.0759999999999999,0.595026491198086,0.382820432907396,0.0221530758945178,0.60293983,NA,NA,0.033177,31.86219,326.40201,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,1,0,0,0,0.603582390491249,0.584330195582855,0.62346889629371,0.603582390491249
"Afghanistan",2005,4,0.04,0.97,1.02,"Afghanistan",NA,NA,2.03,0.0889999999999999,0.588478332126078,0.39003387059571,0.0214877972782123,0.5429303,NA,NA,0.0284945,42.91563,390.04001,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,0,1,0,0,0.797385269866234,0.772416861363149,0.823160783255762,0.797385269866234
"Afghanistan",2010,4,0.05,0.98,1.03,"Afghanistan",NA,NA,2.51,0.112,0.588485923173812,0.38913048067383,0.0223835961523576,0.68258881,NA,NA,0.0287031,44.58134,398.14999,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,0,0,1,0,0.84556803555175,0.809779938022525,0.882937782445972,0.84556803555175
"Afghanistan",2015,4,0.05,0.84,0.89,"Afghanistan",0.2651454776,NA,3.17,0.139,0.562305129755427,0.4127662979692,0.0249285722753731,0.56980282,1.05063895499,0.78085493843,0.0287094,46.18569,433.92001,3,"Southern Asia",18,0.840511163992,0.2651454776,0,0,0,0,0,0,0,0,0,1,1.25874867665477,1.21120491221583,1.30815868974761,0.840511163992
"Albania",1970,8,0.1,0.76,0.86,"Albania",NA,NA,5.52,0.171,0.507579280200874,0.440481726029945,0.0519389937691807,0.45361618,NA,NA,0.0213403,24.05337,400.65,4,"Southern Europe",19,NA,NA,1,0,0,0,0,0,0,0,0,0,2.94581268098396,2.81097013860241,3.08712363474641,2.94581268098396
"Albania",1975,8,0.09,0.69,0.79,"Albania",NA,NA,6.63,0.228,0.496910380292788,0.4511259486584,0.0519636710488118,0.37975117,NA,NA,0.0250327,19.13892,400.65,4,"Southern Europe",19,NA,NA,0,1,0,0,0,0,0,0,0,0,3.80337643389551,3.63888646076595,3.97530191004278,3.80337643389551
