"iso","year","hlo","geo_big","GEO","geo_det","adj_factor","qamys_piaac","wic_mys","highLS","illiterate_prop","qamys_dhs_full","qamys_dhs_part","country","old_dep","youth_dep","tot_dep","cc","samys_piaac","samys","adj_fact_dhs","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","samys_pred","plot"
4,1970,316.24799,3,"Southern Asia",18,NA,NA,0.56,0.018,0.8710818,NA,NA,"Afghanistan",0.05,0.83,0.88,"Afghanistan",NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.163067167296336,0.151016753944088,0.176079145893283,0.163067167296336,3
4,1975,318.108,3,"Southern Asia",18,NA,NA,0.74,0.0259999999999999,0.8184232,NA,NA,"Afghanistan",0.05,0.86,0.91,"Afghanistan",NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.222766268785426,0.207174574279278,0.239531374355256,0.222766268785426,3
4,1980,320.03,3,"Southern Asia",18,NA,NA,0.96,0.038,0.8028099,NA,NA,"Afghanistan",0.05,0.89,0.94,"Afghanistan",NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.285612821344787,0.265858624101377,0.306834822425858,0.285612821344787,3
4,1985,322.01199,3,"Southern Asia",18,NA,NA,1.2,0.0510000000000001,0.7588682,NA,NA,"Afghanistan",0.04,0.95,0.99,"Afghanistan",NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.362437881884482,0.338067595455322,0.38856494970477,0.362437881884482,3
4,1990,324.05801,3,"Southern Asia",18,NA,NA,1.39,0.063,0.7092578,NA,NA,"Afghanistan",0.04,0.98,1.03,"Afghanistan",NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.44072456808693,0.412769426531221,0.470572994099211,0.44072456808693,3
4,1995,326.172,3,"Southern Asia",18,NA,NA,1.55,0.0690000000000001,0.6570336,NA,NA,"Afghanistan",0.05,0.98,1.02,"Afghanistan",NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.500209088273708,0.480414766009313,0.520818987455444,0.500209088273708,3
4,2000,326.40201,3,"Southern Asia",18,NA,NA,1.72,0.0759999999999999,0.6029398,NA,NA,"Afghanistan",0.05,1.01,1.05,"Afghanistan",NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.592493148727638,0.571572710087365,0.614179307538201,0.592493148727638,3
4,2005,390.04001,3,"Southern Asia",18,NA,NA,2.03,0.0889999999999999,0.5429303,NA,NA,"Afghanistan",0.04,0.97,1.02,"Afghanistan",NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0.775435724530923,0.748477983490303,0.803364395669745,0.775435724530923,3
4,2010,398.14999,3,"Southern Asia",18,NA,NA,2.51,0.112,0.6825888,NA,NA,"Afghanistan",0.05,0.98,1.03,"Afghanistan",NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0.827408448743437,0.788608700913687,0.868117153993904,0.827408448743437,3
4,2015,433.92001,3,"Southern Asia",18,0.2651454776,NA,3.17,0.139,0.5698028,1.05063895499,0.78085493843,"Afghanistan",0.05,0.84,0.89,"Afghanistan",NA,0.840511163992,0.2651454776,0,0,0,0,0,0,0,0,0,1,1.2242133813169,1.1728765496313,1.27779722722437,0.840511163992,3
