"country","year","iso","old_dep","youth_dep","tot_dep","cc","adj_factor","qamys_piaac","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","qamys_dhs_full","qamys_dhs_part","edu_exp_","tp_","hlo","geo_big","GEO","geo_det","qamys","adj_fact_dhs","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","qamys_pred"
"Afghanistan",1970,4,0.05,0.83,0.88,"Afghanistan",NA,NA,0.56,0.018,0.541573761058764,0.432199884916924,0.0262263540243113,0.8710818,NA,NA,0.0123514,39.24977,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Afghanistan",1975,4,0.05,0.86,0.91,"Afghanistan",NA,NA,0.74,0.0259999999999999,0.553472961591635,0.42117306806083,0.0253539703475345,0.8184232,NA,NA,0.0152157,36.5322,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Afghanistan",1980,4,0.05,0.89,0.94,"Afghanistan",NA,NA,0.96,0.038,0.563348125524468,0.412535814994292,0.0241160594812401,0.8028099,NA,NA,0.0182669,37.87589,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"Afghanistan",1985,4,0.04,0.95,0.99,"Afghanistan",NA,NA,1.2,0.0510000000000001,0.578981561423455,0.399100724036826,0.0219177145397194,0.7588682,NA,NA,0.0245464,36.40558,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
"Afghanistan",1990,4,0.04,0.98,1.03,"Afghanistan",NA,NA,1.39,0.063,0.588533480361096,0.389552251088307,0.021914268550597,0.7092578,NA,NA,0.0244999,49.26471,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"Afghanistan",1995,4,0.05,0.98,1.02,"Afghanistan",NA,NA,1.55,0.0690000000000001,0.588272126363792,0.388725788444612,0.0230020851915954,0.6570336,NA,NA,0.0267133,32.64443,316.24799,3,"Southern Asia",18,NA,NA,0,0,0,0,0,1,0,0,0,0,0.491429028370236,0.46841440163385,0.515574433840084,0.491429028370236
"Afghanistan",2000,4,0.05,1.01,1.05,"Afghanistan",NA,NA,1.72,0.0759999999999999,0.595026491198086,0.382820432907396,0.0221530758945178,0.6029398,NA,NA,0.033177,31.86219,318.108,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,1,0,0,0,0.586295198020662,0.562073698576303,0.611560477020654,0.586295198020662
"Afghanistan",2005,4,0.04,0.97,1.02,"Afghanistan",NA,NA,2.03,0.0889999999999999,0.588478332126078,0.39003387059571,0.0214877972782123,0.5429303,NA,NA,0.0284945,42.91563,320.03,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,0,1,0,0,0.746508941732344,0.719795235354591,0.774214071883673,0.746508941732344
"Afghanistan",2010,4,0.05,0.98,1.03,"Afghanistan",NA,NA,2.51,0.112,0.588485923173812,0.38913048067383,0.0223835961523576,0.6825888,NA,NA,0.0287031,44.58134,322.01199,3,"Southern Asia",18,NA,NA,0,0,0,0,0,0,0,0,1,0,0.777901703791271,0.738296079461403,0.819631957415803,0.777901703791271
"Afghanistan",2015,4,0.05,0.84,0.89,"Afghanistan",0.2651454776,NA,3.17,0.139,0.562305129755427,0.4127662979692,0.0249285722753731,0.5698028,1.05063895499,0.78085493843,0.0287094,46.18569,324.05801,3,"Southern Asia",18,0.840511163992,0.2651454776,0,0,0,0,0,0,0,0,0,1,1.14355963855565,1.09878102735579,1.19016311200838,0.840511163992
"Albania",1970,8,0.1,0.76,0.86,"Albania",NA,NA,5.52,0.171,0.507579280200874,0.440481726029945,0.0519389937691807,0.4536162,NA,NA,0.0213403,24.05337,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Albania",1975,8,0.09,0.69,0.79,"Albania",NA,NA,6.63,0.228,0.496910380292788,0.4511259486584,0.0519636710488118,0.3797512,NA,NA,0.0250327,19.13892,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Albania",1980,8,0.09,0.61,0.7,"Albania",NA,NA,7.67,0.289,0.47187826346412,0.47512307921826,0.052998657317619,0.3163314,NA,NA,0.0305119,17.94964,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"Albania",1985,8,0.09,0.56,0.65,"Albania",NA,NA,8.52,0.348,0.443069974383174,0.502932452474046,0.0539975731427801,0.2610814,NA,NA,0.0269645,17.73649,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
"Albania",1990,8,0.09,0.53,0.62,"Albania",NA,NA,9.15,0.396,0.424409568794758,0.520554624409569,0.0550358067956727,0.2134594,NA,NA,0.0344698,15.68515,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"Albania",1995,8,0.11,0.54,0.64,"Albania",NA,NA,9.53,0.424,0.421926803360479,0.513631827984678,0.0644413686548428,0.1743873,NA,NA,0.0348151,22.75761,400.65,4,"Southern Europe",19,NA,NA,0,0,0,0,0,1,0,0,0,0,6.50148583302352,6.39175301133873,6.61310253415947,6.50148583302352
"Albania",2000,8,0.11,0.48,0.6,"Albania",NA,NA,9.92,0.453,0.394939141575913,0.534304932735426,0.0707559256886611,0.01287018,NA,NA,0.0209072,21.93856,400.65,4,"Southern Europe",19,NA,NA,0,0,0,0,0,0,1,0,0,0,8.38331454329649,8.14721548969842,8.62625553733181,8.38331454329649
"Albania",2005,8,0.13,0.41,0.54,"Albania",NA,NA,10.19,0.476,0.368698976286121,0.545613580406894,0.0856874433069846,0.04061363,NA,NA,0.0324965,19.79287,400.65,4,"Southern Europe",19,NA,NA,0,0,0,0,0,0,0,1,0,0,8.42500299984352,8.2261410279091,8.62867233938171,8.42500299984352
