"cc","iso","year","prop_19","prop_20_64","prop_65","adj_factor","qamys_piaac","wic_mys","highLS","illiterate_prop","qamys_dhs_full","qamys_dhs_part","qamys","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","qamys_pred","plot"
"Afghanistan",4,1970,0.541573761058764,0.432199884916924,0.0262263540243113,NA,NA,0.56,1.8,87.108177,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.119907000791157,0.108811061230769,0.132134441812289,0.119907000791157,3
"Afghanistan",4,1975,0.553472961591635,0.42117306806083,0.0253539703475345,NA,NA,0.74,2.59999999999999,81.842316,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.171379773811507,0.156986679868253,0.187092477504029,0.171379773811507,3
"Afghanistan",4,1980,0.563348125524468,0.412535814994292,0.0241160594812401,NA,NA,0.96,3.8,80.280991,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.231709114390313,0.214067568442574,0.250804519723154,0.231709114390313,3
"Afghanistan",4,1985,0.578981561423455,0.399100724036826,0.0219177145397194,NA,NA,1.2,5.10000000000001,75.886818,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.304030803679075,0.283058915108278,0.326556503441644,0.304030803679075,3
"Afghanistan",4,1990,0.588533480361096,0.389552251088307,0.021914268550597,NA,NA,1.39,6.3,70.925781,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.374349792896733,0.350228442808504,0.40013245731287,0.374349792896733,3
"Afghanistan",4,1995,0.588272126363792,0.388725788444612,0.0230020851915954,NA,NA,1.55,6.90000000000001,65.703362,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.438605071782036,0.411538054837683,0.467452296893419,0.438605071782036,3
"Afghanistan",4,2000,0.595026491198086,0.382820432907396,0.0221530758945178,NA,NA,1.72,7.59999999999999,60.293983,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.506068507941959,0.484698976110506,0.528380185132083,0.506068507941959,3
"Afghanistan",4,2005,0.588478332126078,0.39003387059571,0.0214877972782123,NA,NA,2.03,8.89999999999999,54.29303,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0.659219175872553,0.63448594693144,0.684916543762388,0.659219175872553,3
"Afghanistan",4,2010,0.588485923173812,0.38913048067383,0.0223835961523576,NA,NA,2.51,11.2,68.258881,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0.769557461617277,0.741958133170751,0.798183428760307,0.769557461617277,3
"Afghanistan",4,2015,0.562305129755427,0.4127662979692,0.0249285722753731,NA,NA,3.17,13.9,56.980282,1.05063895499,0.78085493843,0.840511163992,0,0,0,0,0,0,0,0,0,1,1.15373354333256,1.12049105309647,1.18796226469832,0.840511163992,3
"Albania",8,1970,0.507579280200874,0.440481726029945,0.0519389937691807,NA,NA,5.52,17.1,45.361618,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3.18610655653724,3.03347516947702,3.34641769669066,3.18610655653724,2
"Albania",8,1975,0.496910380292788,0.4511259486584,0.0519636710488118,NA,NA,6.63,22.8,37.975117,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,4.15350548737339,3.96203539525143,4.35422860035962,4.15350548737339,2
"Albania",8,1980,0.47187826346412,0.47512307921826,0.052998657317619,NA,NA,7.67,28.9,31.633141,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,5.14420540445786,4.914509016023,5.38463743925903,5.14420540445786,2
"Albania",8,1985,0.443069974383174,0.502932452474046,0.0539975731427801,NA,NA,8.52,34.8,26.108137,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,6.0031456970574,5.74082414861072,6.2774537814087,6.0031456970574,2
"Albania",8,1990,0.424409568794758,0.520554624409569,0.0550358067956727,NA,NA,9.15,39.6,21.345938,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,6.80342657276243,6.51911972542923,7.10013239217237,6.80342657276243,2
"Albania",8,1995,0.421926803360479,0.513631827984678,0.0644413686548428,NA,NA,9.53,42.4,17.43873,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,7.23657508108656,6.93909632172235,7.54680674200596,7.23657508108656,2
"Albania",8,2000,0.394939141575913,0.534304932735426,0.0707559256886611,NA,NA,9.92,45.3,1.2870178,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,8.56592937819757,8.37865036780481,8.75739443600776,8.56592937819757,2
"Albania",8,2005,0.368698976286121,0.545613580406894,0.0856874433069846,NA,NA,10.19,47.6,4.0613632,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,8.78540341705928,8.62380706406785,8.95002782727719,8.78540341705928,2
"Albania",8,2010,0.322633297062024,0.569266866158868,0.108099836779108,NA,NA,10.37,49.3,2.9538651,10.31314093742,9.55843963126,8.250512749936,0,0,0,0,0,0,0,0,1,0,9.29305729500204,9.13675844040015,9.45202989129352,8.250512749936,2
"Albania",8,2015,0.265795505079875,0.60883248383676,0.125372011083365,NA,NA,10.57,51.7,1.8588486,10.55443178524,10.27772525164,8.443545428192,0,0,0,0,0,0,0,0,0,1,9.90602112677009,9.72737656687465,10.0879465176852,8.443545428192,2
"Algeria",12,1970,0.57852233676976,0.386323024054983,0.0351546391752577,NA,NA,1.86,2.90000000000001,73.225815,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.608834742421345,0.574151783989678,0.645612804689865,0.608834742421345,2
"Algeria",12,1975,0.577035405644794,0.387002369951883,0.0359622244033227,NA,NA,2.73,5.10000000000001,66.041801,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1.01799507398507,0.964803442958187,1.07411927084382,1.01799507398507,2
"Algeria",12,1980,0.573785920766172,0.391778753419486,0.0344353258143419,NA,NA,3.7,8.3,58.09679,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1.54511876985768,1.46885604923988,1.625341036109,1.54511876985768,2
