"cc","year","iso","age","highLS"
"Afghanistan",1970,4,"20--64",1.8
"Afghanistan",1975,4,"20--64",2.59999999999999
"Afghanistan",1980,4,"20--64",3.8
"Afghanistan",1985,4,"20--64",5.10000000000001
"Afghanistan",1990,4,"20--64",6.3
"Afghanistan",1995,4,"20--64",6.90000000000001
"Afghanistan",2000,4,"20--64",7.59999999999999
"Afghanistan",2005,4,"20--64",8.89999999999999
"Afghanistan",2010,4,"20--64",11.2
"Afghanistan",2015,4,"20--64",13.9
"Albania",1970,8,"20--64",17.1
"Albania",1975,8,"20--64",22.8
"Albania",1980,8,"20--64",28.9
"Albania",1985,8,"20--64",34.8
"Albania",1990,8,"20--64",39.6
"Albania",1995,8,"20--64",42.4
"Albania",2000,8,"20--64",45.3
"Albania",2005,8,"20--64",47.6
"Albania",2010,8,"20--64",49.3
"Albania",2015,8,"20--64",51.7
"Algeria",1970,12,"20--64",2.90000000000001
"Algeria",1975,12,"20--64",5.10000000000001
"Algeria",1980,12,"20--64",8.3
"Algeria",1985,12,"20--64",12.3
"Algeria",1990,12,"20--64",17.1
"Algeria",1995,12,"20--64",22.2
"Algeria",2000,12,"20--64",27.5
"Algeria",2005,12,"20--64",34.2
"Algeria",2010,12,"20--64",40.8
"Algeria",2015,12,"20--64",47.3
"Angola",1970,24,"20--64",0.599999999999994
"Angola",1975,24,"20--64",0.700000000000003
"Angola",1980,24,"20--64",1.00000000000001
"Angola",1985,24,"20--64",1.40000000000002
"Angola",1990,24,"20--64",2.10000000000001
"Angola",1995,24,"20--64",2.8
"Angola",2000,24,"20--64",3.39999999999999
"Angola",2005,24,"20--64",4
"Angola",2010,24,"20--64",4.90000000000001
"Angola",2015,24,"20--64",6.30000000000001
"Antigua and Barbuda",2015,28,"20--64",52.3
"Argentina",1970,32,"20--64",16.3
"Argentina",1975,32,"20--64",19.7
"Argentina",1980,32,"20--64",23.4
"Argentina",1985,32,"20--64",27.4
"Argentina",1990,32,"20--64",31.8
"Argentina",1995,32,"20--64",36.1
"Argentina",2000,32,"20--64",40.5
"Argentina",2005,32,"20--64",44.8
"Argentina",2010,32,"20--64",48.7
"Argentina",2015,32,"20--64",53.1
"Armenia",1970,51,"20--64",55.4
"Armenia",1975,51,"20--64",65.3
"Armenia",1980,51,"20--64",73.7
"Armenia",1985,51,"20--64",79.6
"Armenia",1990,51,"20--64",84.7
"Armenia",1995,51,"20--64",88.9
"Armenia",2000,51,"20--64",91.2
"Armenia",2005,51,"20--64",92.5
"Armenia",2010,51,"20--64",92.6
"Armenia",2015,51,"20--64",94.1
"Aruba",1970,533,"20--64",8.3
"Aruba",1975,533,"20--64",11.7
"Aruba",1980,533,"20--64",14.9
"Aruba",1985,533,"20--64",18.7
"Aruba",1990,533,"20--64",22.5
"Aruba",1995,533,"20--64",26.6
"Aruba",2000,533,"20--64",30.2
"Aruba",2005,533,"20--64",33.3
"Aruba",2010,533,"20--64",35.4
"Aruba",2015,533,"20--64",40.2
"Australia",1970,36,"20--64",56.3
"Australia",1975,36,"20--64",63.7
"Australia",1980,36,"20--64",70.7
"Australia",1985,36,"20--64",76.7
"Australia",1990,36,"20--64",81.8
"Australia",1995,36,"20--64",85.8
"Australia",2000,36,"20--64",88.6
"Australia",2005,36,"20--64",91.1
"Australia",2010,36,"20--64",93
"Australia",2015,36,"20--64",94.9
"Austria",1970,40,"20--64",44.8
"Austria",1975,40,"20--64",49.7
"Austria",1980,40,"20--64",55
"Austria",1985,40,"20--64",59.8
"Austria",1990,40,"20--64",64.7
"Austria",1995,40,"20--64",69.2
"Austria",2000,40,"20--64",72.3
"Austria",2005,40,"20--64",75.5
"Austria",2010,40,"20--64",78
"Austria",2015,40,"20--64",79.5
"Azerbaijan",1970,31,"20--64",44.8
"Azerbaijan",1975,31,"20--64",54
"Azerbaijan",1980,31,"20--64",62.9
"Azerbaijan",1985,31,"20--64",69.6
"Azerbaijan",1990,31,"20--64",75.1
"Azerbaijan",1995,31,"20--64",80
"Azerbaijan",2000,31,"20--64",83.7
"Azerbaijan",2005,31,"20--64",86.3
"Azerbaijan",2010,31,"20--64",87.8
"Azerbaijan",2015,31,"20--64",89.4
"Bahamas",1970,44,"20--64",34.3
"Bahamas",1975,44,"20--64",42.8
"Bahamas",1980,44,"20--64",52.6
