iso,year,c_exp_
4,1970,2061.291
4,1975,3094.837
4,1980,2526.259
4,1985,2324.528
4,1990,2642.089
4,1995,6919.688
4,2000,6921.571
4,2005,7480.35
4,2010,573.3532
4,2015,759.1186
8,1970,8582.053
8,1975,12134.57
8,1980,16885.87
8,1985,19552.84
8,1990,153.7914
8,1995,187.0132
8,2000,239.1828
8,2005,295.9575
8,2010,412.8933
8,2015,429.7316
12,1970,1194.682
12,1975,4197.159
12,1980,3886.003
12,1985,2304.248
12,1990,2620.428
12,1995,2640.957
12,2000,2920.34
12,2005,5584.356
12,2010,1144.729
12,2015,1302.096
16,1970,22.48277
16,1975,22.48277
16,1980,22.48277
16,1985,1.61179
16,1990,1.61179
16,1995,11.99417
16,2000,16.65142
16,2005,112.4584
16,2010,29.95125
16,2015,29.95125
20,1970,8582.053
20,1975,12134.57
20,1980,16885.87
20,1985,19552.84
20,1990,14871.88
20,1995,79.48594
20,2000,46.64113
20,2005,80.80499
20,2010,84.12533
20,2015,96.5435
24,1970,135.4108
24,1975,107.6822
24,1980,366.2435
24,1985,1786.765
24,1990,249.7708
24,1995,1054.107
24,2000,1127.476
24,2005,1570.232
24,2010,3443.737
24,2015,472.4514
28,1970,1029.026
28,1975,1143.609
28,1980,811.1677
28,1985,145.4076
28,1990,465.8983
28,1995,28.24545
28,2000,35.66358
28,2005,34.15669
28,2010,2373.103
28,2015,174.4503
31,1970,3309.508
31,1975,2321.514
31,1980,4173.942
31,1985,3436.749
31,1990,762.7604
31,1995,277.9676
31,2000,402.2073
31,2005,781.0228
31,2010,973.9545
31,2015,1149.553
32,1970,4593.357
32,1975,5179.603
32,1980,6391.142
32,1985,3764.676
32,1990,3049.763
32,1995,17351.49
32,2000,16521.06
32,2005,24228.8
32,2010,32906.93
32,2015,35581.96
36,1970,3258.089
36,1975,21745.34
36,1980,22141.09
36,1985,23774.69
36,1990,27397.51
36,1995,33184.72
36,2000,39958.03
36,2005,49107.05
36,2010,60497.03
36,2015,67855.42
40,1970,6918.497
40,1975,9400.038
40,1980,10816.76
40,1985,11933.32
40,1990,13412.02
40,1995,16972.13
40,2000,18248.64
40,2005,19750.54
40,2010,21567.95
40,2015,22047.57
44,1970,1029.026
44,1975,1143.609
44,1980,811.1677
44,1985,145.4076
44,1990,465.8983
44,1995,408.9265
44,2000,243.5345
44,2005,1232.287
44,2010,2373.103
44,2015,174.4503
48,1970,3309.508
48,1975,2321.514
48,1980,4173.942
48,1985,3436.749
48,1990,4813.628
48,1995,4206.674
48,2000,5206.961
48,2005,637.0272
48,2010,774.6194
48,2015,852.3884
50,1970,2061.291
50,1975,404.3809
50,1980,423.8029
50,1985,644.0542
50,1990,895.6805
50,1995,1568.593
50,2000,1907.604
50,2005,2599.083
50,2010,3386.917
50,2015,4588.835
51,1970,3309.508
51,1975,2321.514
51,1980,4173.942
51,1985,3436.749
51,1990,4813.628
51,1995,73.03751
51,2000,120.9164
51,2005,265.6307
51,2010,266.3259
51,2015,302.7195
52,1970,1029.026
52,1975,159.2391
52,1980,811.1677
52,1985,145.4076
52,1990,230.9008
52,1995,161.0226
52,2000,221.6662
52,2005,228.3008
52,2010,247.8228
52,2015,218.5047
56,1970,15743.76
56,1975,13066.24
56,1980,13560.66
56,1985,12741.21
56,1990,17336.47
56,1995,10165.36
56,2000,15909.38
56,2005,27138.42
56,2010,30231.68
56,2015,31598.16
64,1970,2061.291
64,1975,3094.837
64,1980,2526.259
64,1985,2324.528
64,1990,2642.089
64,1995,6919.688
64,2000,43.64214
64,2005,62.55219
64,2010,84.29347
64,2015,147.7701
72,1970,23.43245
72,1975,65.89194
72,1980,113.5321
72,1985,173.5902
72,1990,314.4265
72,1995,2585.918
72,2000,2634.374
72,2005,1007.954
72,2010,5714.488
72,2015,9018.789
76,1970,1464.942
76,1975,1617.01
76,1980,2285.038
76,1985,1964.337
76,1990,1251.489
76,1995,56646.82
76,2000,56054.59
76,2005,87626.74
76,2010,122008.9
76,2015,131152.1
84,1970,241.9279
84,1975,224.6844
84,1980,407.6244
84,1985,3576.543
84,1990,3962.534
84,1995,48.06343
84,2000,60.76147
84,2005,89.11156
84,2010,105.881
84,2015,127.2246
90,1970,253.3918
90,1975,260.6519
90,1980,148.8805
90,1985,125.5214
90,1990,16.74596
90,1995,19.29948
90,2000,130.0243
90,2005,83.99402
90,2010,95.13773
90,2015,240.2892
96,1970,216.029
96,1975,160.2739
96,1980,134.8092
96,1985,423.9924
96,1990,354.9706
96,1995,525.2698
96,2000,399.2011
96,2005,6446.052
96,2010,345.131
96,2015,517.2787
100,1970,995.8151
100,1975,995.8151
100,1980,995.8151
100,1985,1547.241
100,1990,1547.241
100,1995,792.4371
100,2000,1182.811
100,2005,1912.443
100,2010,1904.577
100,2015,13179.03
104,1970,1017.434
104,1975,1066.833
104,1980,1630.338
104,1985,2104.426
104,1990,2825.494
104,1995,3461.357
104,2000,5579.15
104,2005,6446.052
104,2010,331.392
104,2015,1350.694
108,1970,209.3517
108,1975,43.8099
108,1980,59.24497
108,1985,388.6681
