"cc","year","age","iso","wic_pop"
"Afghanistan",2015,"0--19",4,18972.4
"Albania",2015,"0--19",8,777
"Algeria",2015,"0--19",12,14439.9
"Angola",2015,"0--19",24,16021.2
"Antigua and Barbuda",2015,"0--19",28,33.2
"Argentina",2015,"0--19",32,14379.2
"Armenia",2015,"0--19",51,761
"Aruba",2015,"0--19",533,27.1
"Australia",2015,"0--19",36,5963.1
"Austria",2015,"0--19",40,1682.3
"Azerbaijan",2015,"0--19",31,2922.9
"Bahamas",2015,"0--19",44,110.6
"Bahrain",2015,"0--19",48,360.5
"Bangladesh",2015,"0--19",50,63536.9
"Barbados",2015,"0--19",52,73.5
"Belarus",2015,"0--19",112,1992.3
"Belgium",2015,"0--19",56,2550
"Belize",2015,"0--19",84,155
"Benin",2015,"0--19",204,5685.5
"Bhutan",2015,"0--19",64,292
"Bolivia (Plurinational State of)",2015,"0--19",68,4561.4
"Bosnia and Herzegovina",2015,"0--19",70,745.4
"Botswana",2015,"0--19",72,917.1
"Brazil",2015,"0--19",76,63750.1
"Brunei Darussalam",2015,"0--19",96,134.5
"Bulgaria",2015,"0--19",100,1310.4
"Burkina Faso",2015,"0--19",854,10222.1
"Burundi",2015,"0--19",108,5608.1
"Cambodia",2015,"0--19",116,6472.7
"Cameroon",2015,"0--19",120,12223
"Canada",2015,"0--19",124,7861.8
"Cape Verde",2015,"0--19",132,223.7
"Central African Republic",2015,"0--19",140,2503.3
"Chad",2015,"0--19",148,8229.3
"Channel Islands",2015,"0--19",830,32.8
"Chile",2015,"0--19",152,5032.2
"China",2015,"0--19",156,327860.5
"Colombia",2015,"0--19",170,15785.1
"Comoros",2015,"0--19",174,393.5
"Congo",2015,"0--19",178,2610.6
"Costa Rica",2015,"0--19",188,1469.6
"Cote d'Ivoire",2015,"0--19",384,12410
"Croatia",2015,"0--19",191,869.8
"Cuba",2015,"0--19",192,2567.4
"Curaçao",2015,"0--19",531,40.3
"Cyprus",2015,"0--19",196,274.1
"Czech Republic",2015,"0--19",203,2060
"Democratic People's Republic of Korea",2015,"0--19",408,7281.8
"Democratic Republic of the Congo",2015,"0--19",180,43151.5
"Denmark",2015,"0--19",208,1318.5
"Djibouti",2015,"0--19",262,393.9
"Dominican Republic",2015,"0--19",214,4128.8
"Ecuador",2015,"0--19",218,6185.3
"Egypt",2015,"0--19",818,39212.4
"El Salvador",2015,"0--19",222,2460.3
"Equatorial Guinea",2015,"0--19",226,538.9
"Eritrea",2015,"0--19",232,2533
"Estonia",2015,"0--19",233,270.4
"Ethiopia",2015,"0--19",231,53322.5
"Fiji",2015,"0--19",242,333
"Finland",2015,"0--19",246,1201.4
"France",2015,"0--19",250,15574.1
"French Guiana",2015,"0--19",254,115.7
"French Polynesia",2015,"0--19",258,89.9
"Gabon",2015,"0--19",266,872.8
"Gambia",2015,"0--19",270,1116.9
"Georgia",2015,"0--19",268,975.5
"Germany",2015,"0--19",276,14821
"Ghana",2015,"0--19",288,13578.6
"Greece",2015,"0--19",300,2190.7
"Grenada",2015,"0--19",308,38.1
"Guadeloupe",2015,"0--19",312,121.8
"Guam",2015,"0--19",316,55.3
"Guatemala",2015,"0--19",320,7715.5
"Guinea",2015,"0--19",324,6447.9
"Guinea-Bissau",2015,"0--19",624,924.5
"Guyana",2015,"0--19",328,313.3
"Haiti",2015,"0--19",332,4733.5
"Honduras",2015,"0--19",340,3933.5
"Hong Kong Special Administrative Region of China",2015,"0--19",344,1169
"Hungary",2015,"0--19",348,1925.9
"Iceland",2015,"0--19",352,89
"India",2015,"0--19",356,498478.1
"Indonesia",2015,"0--19",360,94420.6
"Iran (Islamic Republic of)",2015,"0--19",364,24245.2
"Iraq",2015,"0--19",368,18489.1
"Ireland",2015,"0--19",372,1291.7
"Israel",2015,"0--19",376,2870.8
"Italy",2015,"0--19",380,10956.5
"Jamaica",2015,"0--19",388,950.5
"Japan",2015,"0--19",392,22608.3
"Jordan",2015,"0--19",400,4221.9
"Kazakhstan",2015,"0--19",398,5882.1
"Kenya",2015,"0--19",404,24699.1
