iso,age,sex,educ,n_OECD,weighted_OECD_average,n_country,mean_country,adj_factor
124,15,1,1,506,225.6939706,28,235.32,1.042650805
124,15,1,2,4961,257.4081019,675,260.58,1.012322449
124,15,1,3,2367,275.7654018,393,278.08,1.00839336
124,15,2,1,454,222.4591628,17,222.86,1.001801846
124,15,2,2,4722,259.2051287,636,269.42,1.039408446
124,15,2,3,2599,272.9901098,394,282.51,1.034872656
124,60,1,1,1396,195.1226007,158,202.47,1.037655296
124,60,1,2,1541,230.9579974,167,236.95,1.025944123
124,60,1,3,3519,254.2220849,295,261.46,1.028470835
124,60,1,4,3569,279.4827961,777,275.36,0.98524848
124,60,2,1,1851,189.7488059,173,194.28,1.023879961
124,60,2,2,2301,234.7829446,189,225.37,0.959907886
124,60,2,3,3757,255.7530047,344,249.83,0.976840919
124,60,2,4,3950,276.4556157,878,269.8,0.975925193
124,20,1,1,275,205.7776175,11,227.04,1.103326993
124,20,1,2,1565,231.0829519,169,248.92,1.07718894
124,20,1,3,6405,277.727866,579,279.19,1.005264628
124,20,1,4,2103,291.7478206,437,293.32,1.00538883
124,20,2,1,192,194.605945,13,195.73,1.005776057
124,20,2,2,1218,237.0561755,143,229.45,0.967914038
124,20,2,3,6076,273.8829346,561,276.98,1.01130799
124,20,2,4,3081,289.8873735,486,289.79,0.999664099
124,25,1,1,298,196.3601544,22,226.07,1.151302823
124,25,1,2,1051,232.0876741,105,241.32,1.039779475
124,25,1,3,3704,267.340451,251,277.55,1.038189316
124,25,1,4,3810,299.750268,578,296.17,0.988055831
124,25,2,1,323,196.5729388,26,209.2,1.06423601
124,25,2,2,1014,229.5671443,109,228.48,0.995264373
124,25,2,3,3260,262.9086568,256,272.91,1.038041133
124,25,2,4,5327,295.1491248,800,296.83,1.005695003
124,30,1,1,381,190.4162025,22,181.61,0.953752872
124,30,1,2,1077,231.7716408,83,231.39,0.998353376
124,30,1,3,3229,262.5670487,224,268.05,1.0208821
124,30,1,4,4128,297.7865421,709,297.42,0.998769111
124,30,2,1,447,196.9744142,17,221.83,1.126186875
124,30,2,2,1067,232.3697288,75,231.31,0.995439471
124,30,2,3,3070,262.1925507,222,265.01,1.010745726
124,30,2,4,5670,293.6764554,1072,290.61,0.989558389
124,35,1,1,489,204.4650994,28,216.92,1.060914555
124,35,1,2,1142,230.151796,93,224.99,0.97757221
124,35,1,3,3339,264.5658611,183,270.92,1.024017229
124,35,1,4,4266,300.8865153,841,294.14,0.977577874
124,35,2,1,588,198.4153519,31,193.32,0.97431977
124,35,2,2,1173,227.5512671,81,222.63,0.97837293
124,35,2,3,3369,262.4081155,222,252.05,0.960526695
124,35,2,4,5600,291.8705203,1139,291.63,0.999175935
124,40,1,1,549,193.7808056,39,214.27,1.105733869
124,40,1,2,1332,236.788219,119,233.94,0.98797145
124,40,1,3,3514,263.6327088,256,256.57,0.973210043
124,40,1,4,4112,297.2232884,834,288.25,0.969809605
124,40,2,1,619,197.9726431,46,176.94,0.893759851
