Area,Year,Age,ISOCode,Population
Afghanistan,2015,15+,4,18716.9
Albania,2015,15+,8,2396.2
Algeria,2015,15+,12,28448
Angola,2015,15+,24,14743.1
Antigua and Barbuda,2015,15+,28,75.4
Argentina,2015,15+,32,32471.7
Armenia,2015,15+,51,2338.4
Aruba,2015,15+,533,84.8
Australia,2015,15+,36,19316
Austria,2015,15+,40,7453.3
Azerbaijan,2015,15+,31,7413.7
Bahamas,2015,15+,44,306.8
Bahrain,2015,15+,48,1085.9
Bangladesh,2015,15+,50,113772
Barbados,2015,15+,52,229.2
Belarus,2015,15+,112,7954.2
Belgium,2015,15+,56,9368.6
Belize,2015,15+,84,242.7
Benin,2015,15+,204,6024.7
Bhutan,2015,15+,64,571.5
Bolivia (Plurinational State of),2015,15+,68,7245.1
Bosnia and Herzegovina,2015,15+,70,3024
Botswana,2015,15+,72,1506.8
Brazil,2015,15+,76,159582.2
Brunei Darussalam,2015,15+,96,318.8
Bulgaria,2015,15+,100,6173.1
Burkina Faso,2015,15+,854,9856.2
Burundi,2015,15+,108,5635.1
Cambodia,2015,15+,116,10615.4
Cameroon,2015,15+,120,13010.5
Canada,2015,15+,124,30203
Cape Verde,2015,15+,132,366.8
Central African Republic,2015,15+,140,2558.4
Chad,2015,15+,148,7343.8
Channel Islands,2015,15+,830,139.8
Chile,2015,15+,152,14059.9
China,2015,15+,156,1149985.7
Colombia,2015,15+,170,36521.6
Comoros,2015,15+,174,465.4
Congo,2015,15+,178,2875.9
Costa Rica,2015,15+,188,3734.9
Cote d'Ivoire,2015,15+,384,13237.2
Croatia,2015,15+,191,3608.3
Cuba,2015,15+,192,9595
Curaçao,2015,15+,531,128.2
Cyprus,2015,15+,196,964.7
Czech Republic,2015,15+,203,8997.7
Democratic People's Republic of Korea,2015,15+,408,19914.9
Democratic Republic of the Congo,2015,15+,180,40884
Denmark,2015,15+,208,4730.4
Djibouti,2015,15+,262,630.4
Dominican Republic,2015,15+,214,7374.1
Ecuador,2015,15+,218,11462.2
Egypt,2015,15+,818,62707.7
El Salvador,2015,15+,222,4526.4
Equatorial Guinea,2015,15+,226,735.6
Eritrea,2015,15+,232,2796.2
Estonia,2015,15+,233,1103.2
Ethiopia,2015,15+,231,58294
Fiji,2015,15+,242,635.7
Finland,2015,15+,246,4583.7
France,2015,15+,250,52682.1
French Guiana,2015,15+,254,177.5
French Polynesia,2015,15+,258,211.2
Gabon,2015,15+,266,1240
Gambia,2015,15+,270,1074.4
Georgia,2015,15+,268,3212
Germany,2015,15+,276,70988.8
Ghana,2015,15+,288,16882.9
Greece,2015,15+,300,9586.1
Grenada,2015,15+,308,78.5
Guadeloupe,2015,15+,312,362.9
Guam,2015,15+,316,120.6
Guatemala,2015,15+,320,10363.8
Guinea,2015,15+,324,6933.7
Guinea-Bissau,2015,15+,624,1032.3
Guyana,2015,15+,328,539.3
Haiti,2015,15+,332,7095.4
Honduras,2015,15+,340,6004.6
