age,sex,educ,n,weighted_mean
15,1,1,506,225.6939706
20,1,1,275,205.7776175
25,1,1,298,196.3601544
30,1,1,381,190.4162025
35,1,1,489,204.4650994
40,1,1,549,193.7808056
45,1,1,673,199.3911641
50,1,1,756,195.1508127
55,1,1,962,191.9319996
60,1,1,1396,195.1226007
15,2,1,454,222.4591628
20,2,1,192,194.605945
25,2,1,323,196.5729388
30,2,1,447,196.9744142
35,2,1,588,198.4153519
40,2,1,619,197.9726431
45,2,1,759,190.7544588
50,2,1,883,190.2751789
55,2,1,1290,192.0526432
60,2,1,1851,189.7488059
15,1,2,4961,257.4081019
20,1,2,1565,231.0829519
25,1,2,1051,232.0876741
30,1,2,1077,231.7716408
35,1,2,1142,230.151796
40,1,2,1332,236.788219
45,1,2,1420,232.6216891
50,1,2,1558,231.0716687
55,1,2,1458,231.4855416
60,1,2,1541,230.9579974
15,2,2,4722,259.2051287
20,2,2,1218,237.0561755
25,2,2,1014,229.5671443
30,2,2,1067,232.3697288
35,2,2,1173,227.5512671
40,2,2,1306,231.2318357
45,2,2,1501,230.637305
50,2,2,1788,233.0950911
55,2,2,1852,232.2918702
60,2,2,2301,234.7829446
15,1,3,2367,275.7654018
20,1,3,6405,277.727866
25,1,3,3704,267.340451
30,1,3,3229,262.5670487
35,1,3,3339,264.5658611
40,1,3,3514,263.6327088
45,1,3,3673,258.3136414
50,1,3,3383,258.7243826
55,1,3,3237,257.7719857
60,1,3,3519,254.2220849
15,2,3,2599,272.9901098
20,2,3,6076,273.8829346
25,2,3,3260,262.9086568
30,2,3,3070,262.1925507
35,2,3,3369,262.4081155
40,2,3,3596,264.0840893
45,2,3,3705,263.3588865
50,2,3,3477,259.9978404
55,2,3,3282,254.6118979
60,2,3,3757,255.7530047
20,1,4,2103,291.7478206
25,1,4,3810,299.750268
30,1,4,4128,297.7865421
35,1,4,4266,300.8865153
40,1,4,4112,297.2232884
45,1,4,3938,293.4396454
50,1,4,3588,288.6698591
55,1,4,3254,282.8529932
60,1,4,3569,279.4827961
20,2,4,3081,289.8873735
25,2,4,5327,295.1491248
30,2,4,5670,293.6764554
35,2,4,5600,291.8705203
40,2,4,5366,291.0038146
45,2,4,4861,287.3195095
50,2,4,4274,282.3465856
55,2,4,3815,280.7795411
60,2,4,3950,276.4556157
