"iso","country","illiterate_prop"
716,"Zimbabwe",0.039280734
894,"Zambia",0.13252037
890,"Yugoslavia",0.01158493
887,"Yemen",0.31531603
732,"Western Sahara",0.26249992
704,"Vietnam",0.049996185
862,"Venezuela",0.031338463
548,"Vanuatu",0.1249369
860,"Uzbekistan",0.00012235005
858,"Uruguay",0.013987694
850,"United States Virgin Islands",0.070446215
840,"United States",0.002007187
826,"United Kingdom",0.002007187
784,"United Arab Emirates",0.067728577
804,"Ukraine",0.0021072938
800,"Uganda",0.23472504
795,"Turkmenistan",0.0022787584
792,"Turkey",0.040269089
788,"Tunisia",0.14894849
780,"Trinidad and Tobago",0.0069884294
776,"Tonga",0.0058563232
768,"Togo",0.36254379
626,"Timor",0.31933167
764,"Thailand",0.066819649
834,"Tanzania",0.2211277
762,"Tajikistan",0.0026689839
158,"Taiwan",0.028321025
760,"Syria",0.14982486
756,"Switzerland",0.002007187
752,"Sweden",0.002007187
748,"Swaziland",0.1158062
740,"Suriname",0.056167297
729,"Sudan",0.2588896
736,"Sudan",0.39302818
144,"Sri Lanka",0.080025072
724,"Spain",0.017232437
728,"South Sudan",0.65477242
410,"South Korea",0.0060963875
710,"South Africa",0.092927055
706,"Somalia",0.23161285
90,"Solomon Islands",0.12915357
705,"Slovenia",0.002711004
703,"Slovak Republic",0.002007187
702,"Singapore",0.02894453
694,"Sierra Leone",0.56793671
690,"Seychelles",0.041322937
688,"Serbia",0.015035934
686,"Senegal",0.48099579
682,"Saudi Arabia",0.046713715
678,"Sao Tome and Principe",0.071833572
674,"San Marino",0.00083572388
882,"Samoa",0.0090422821
670,"Saint Vincent and the Grenadines",0.070446215
662,"Saint Lucia",0.070446215
654,"Saint Helena",0.47364422
646,"Rwanda",0.26784409
643,"Russia",0.0023176168
810,"Russia",0.0026994324
642,"Romania",0.011555023
638,"Reunion",0.055800066
634,"Qatar",0.066953659
630,"Puerto Rico",0.076100006
620,"Portugal",0.038624115
616,"Poland",0.0020068797
608,"Philippines",0.018174515
604,"Peru",0.057765274
600,"Paraguay",0.052580414
598,"Papua New Guinea",0.25334488
591,"Panama",0.045881882
275,"Palestine",0.03053477
586,"Pakistan",0.4086795
512,"Oman",0.052084694
578,"Norway",0.002007187
408,"North Korea",0.023278487
566,"Nigeria",0.3798399
562,"Niger",0.73398079
558,"Nicaragua",0.17385452
554,"New Zealand",0.002007187
540,"New Caledonia",0.12915357
530,"Netherlands Antilles",0.070446215
528,"Netherlands",0.004014374
524,"Nepal",0.32091568
516,"Namibia",0.084727325
104,"Myanmar",0.24448799
508,"Mozambique",0.41652786
