"iso","cc","wic_mys","estimate","lower","upper","qamys","adj_factor","highLS","prop_20_64","hlo_mean"
392,"Japan",13.81,15.6228776708233,15.1298296364351,16.1159257052115,15.5914928615429,1.12900020720803,93.6,0.563174999589755,590.89
276,"Germany",13.73,14.2853420860099,14.0291054015031,14.5415787705168,14.0907863581778,1.0262772292919,86,0.607434532034234,524.26
440,"Lithuania",13.48,14.0707368084273,13.8538427489081,14.2876308679466,13.6657513670724,1.01377977500537,89.8,0.609379263301501,523.24
756,"Switzerland",13.4,14.0609284964624,13.7696620867735,14.3521949061512,NA,NA,82.1,0.619870669968028,543.83
233,"Estonia",13.27,14.0171462008516,13.8024463678188,14.2318460338844,13.9256062094049,1.04940514012094,84.7,0.60620343621712,542.42
246,"Finland",13.03,13.770103600553,13.5127182452336,14.0274889558724,14.2719941110533,1.09531804382604,86.4,0.578216774287695,531.13
352,"Iceland",13.57,13.6854915230435,13.301053041358,14.0699300047289,NA,NA,69.7,0.593399939448986,511.8
578,"Norway",13.1,13.6121371130242,13.4122637615603,13.812010464488,13.9483591966053,1.06476024401567,78.9,0.594519230769231,530.48
840,"United States of America",12.89,13.582209672134,13.3668965521185,13.7975227921494,13.2748801485629,1.02985881680085,89.7,0.594872006471885,529.09
826,"United Kingdom of Great Britain and Northern Ireland",13.26,13.5347958993331,13.261868191525,13.8077236071411,13.8140656678577,1.04178474116574,74.2,0.585175262335343,515.8
616,"Poland",13.04,13.5308882557306,13.2435670398477,13.8182094716136,13.2047827657136,1.01263671516209,90.1,0.642156350293235,528.84
203,"Czech Republic",13.02,13.4263910926442,13.2167176333131,13.6360645519753,13.5888417285771,1.04368984090454,90.7,0.625725092198715,516.2
703,"Slovakia",13.25,13.2751358629893,12.8889606303612,13.6613110956173,13.8288903919852,1.04368984090454,91.2,0.653282591509937,495.32
196,"Cyprus",13.01,13.2394909100923,12.9534660944862,13.5255157256985,13.3518667530876,1.0262772292919,82.9,0.635541390300629,518
208,"Denmark",12.6,13.1954689182604,12.9621910544559,13.4287467820648,12.9978249227287,1.03157340656577,78.5,0.577734416200823,534.18
372,"Ireland",12.63,13.1769252984412,12.9865001075342,13.3673504893482,12.8237689142727,1.01534195679119,78.6,0.592881002531861,535.42
442,"Luxembourg",13.17,13.1024206122957,12.6791465518649,13.5256946727264,NA,NA,73.8,0.63644381725172,508.88
