"cc","year","iso","age","highLS"
"Afghanistan",2015,4,"15+",13.5
"Afghanistan",2015,4,"20--64",13.9
"Afghanistan",2015,4,"25+",12.1
"Albania",2015,8,"15+",45.6
"Albania",2015,8,"20--64",51.7
"Albania",2015,8,"25+",46.6
"Algeria",2015,12,"15+",42.6
"Algeria",2015,12,"20--64",47.3
"Algeria",2015,12,"25+",40.2
"Angola",2015,24,"15+",5.09999999999999
"Angola",2015,24,"20--64",6.30000000000001
"Angola",2015,24,"25+",6
"Antigua and Barbuda",2015,28,"15+",47.2
"Antigua and Barbuda",2015,28,"20--64",52.3
"Antigua and Barbuda",2015,28,"25+",45.1
"Argentina",2015,32,"15+",46
"Argentina",2015,32,"20--64",53.1
"Argentina",2015,32,"25+",47.3
"Armenia",2015,51,"15+",88.3
"Armenia",2015,51,"20--64",94.1
"Armenia",2015,51,"25+",92.1
"Aruba",2015,533,"15+",35.1
"Aruba",2015,533,"20--64",40.2
"Aruba",2015,533,"25+",35
"Australia",2015,36,"15+",88.7
"Australia",2015,36,"20--64",94.9
"Australia",2015,36,"25+",90
"Austria",2015,40,"15+",72.4
"Austria",2015,40,"20--64",79.5
"Austria",2015,40,"25+",73.3
"Azerbaijan",2015,31,"15+",83.5
"Azerbaijan",2015,31,"20--64",89.4
"Azerbaijan",2015,31,"25+",86.7
"Bahamas",2015,44,"15+",83.9
"Bahamas",2015,44,"20--64",90.7
"Bahamas",2015,44,"25+",84.2
"Bahrain",2015,48,"15+",43.9
"Bahrain",2015,48,"20--64",45.8
"Bahrain",2015,48,"25+",43.6
"Bangladesh",2015,50,"15+",19.7
"Bangladesh",2015,50,"20--64",20.5
"Bangladesh",2015,50,"25+",17.7
"Barbados",2015,52,"15+",42.2
"Barbados",2015,52,"20--64",49.7
"Barbados",2015,52,"25+",39.8
"Belarus",2015,112,"15+",86.7
"Belarus",2015,112,"20--64",95.9
"Belarus",2015,112,"25+",88.3
"Belgium",2015,56,"15+",63.1
"Belgium",2015,56,"20--64",73.7
"Belgium",2015,56,"25+",65.1
"Belize",2015,84,"15+",35.6
"Belize",2015,84,"20--64",39.6
"Belize",2015,84,"25+",35.9
"Benin",2015,204,"15+",8.8
"Benin",2015,204,"20--64",10.2
"Benin",2015,204,"25+",8.8
"Bhutan",2015,64,"15+",12.5
"Bhutan",2015,64,"20--64",14.1
"Bhutan",2015,64,"25+",11.5
"Bolivia (Plurinational State of)",2015,68,"15+",41
"Bolivia (Plurinational State of)",2015,68,"20--64",48.1
"Bolivia (Plurinational State of)",2015,68,"25+",43.7
"Bosnia and Herzegovina",2015,70,"15+",63.6
"Bosnia and Herzegovina",2015,70,"20--64",73.1
"Bosnia and Herzegovina",2015,70,"25+",61.7
"Botswana",2015,72,"15+",38.9
"Botswana",2015,72,"20--64",44.2
"Botswana",2015,72,"25+",39.5
"Brazil",2015,76,"15+",39.7
"Brazil",2015,76,"20--64",45.1
"Brazil",2015,76,"25+",39.9
"Brunei Darussalam",2015,96,"15+",36
"Brunei Darussalam",2015,96,"20--64",39.7
"Brunei Darussalam",2015,96,"25+",35.2
"Bulgaria",2015,100,"15+",72
