"cc","year","iso","0--19","20--64","65+","tot_pop","prop_19","prop_20_64","prop_65"
"Afghanistan",2015,4,18972.4,13926.9,841.1,33740.4,0.562305129755427,0.4127662979692,0.0249285722753731
"Albania",2015,8,777,1779.8,366.5,2923.3,0.265795505079875,0.60883248383676,0.125372011083365
"Algeria",2015,12,14439.9,23092.2,2340.4,39872.5,0.362151859050724,0.579151043952599,0.0586970969966769
"Angola",2015,24,16021.2,11195.6,642.5,27859.3,0.575075468515002,0.401862214772087,0.0230623167129109
"Antigua and Barbuda",2015,28,33.2,60.2,6.6,100,0.332,0.602,0.066
"Argentina",2015,32,14379.2,24288.1,4744,43411.3,0.331231729987354,0.559487967418621,0.109280302594025
"Armenia",2015,51,761,1838,318.2,2917.2,0.260866584395996,0.630056218291512,0.109077197312491
"Aruba",2015,533,27.1,64.6,12.7,104.4,0.259578544061303,0.618773946360153,0.121647509578544
"Australia",2015,36,5963.1,14271.2,3564.5,23798.8,0.250563053599341,0.599660487083382,0.149776459317276
"Austria",2015,40,1682.3,5361.4,1635.1,8678.8,0.19384016223441,0.617758215421487,0.188401622344103
"Azerbaijan",2015,31,2922.9,6142.3,551.9,9617.1,0.303927379355523,0.638685258549875,0.0573873620946023
"Bahamas",2015,44,110.6,244.1,32.1,386.8,0.28593588417787,0.631075491209928,0.0829886246122027
"Bahrain",2015,48,360.5,979.6,31.9,1372,0.262755102040816,0.71399416909621,0.0232507288629738
"Bangladesh",2015,50,63536.9,89541.8,8121.6,161200.3,0.394148770194596,0.555469189573468,0.0503820402319351
"Barbados",2015,52,73.5,170.5,40.3,284.3,0.258529722124516,0.599718607105171,0.141751670770313
"Belarus",2015,112,1992.3,6132.8,1359.8,9484.9,0.210049657877258,0.64658562557328,0.143364716549463
"Belgium",2015,56,2550,6690,2047.9,11287.9,0.225905615747836,0.592670027197264,0.1814243570549
"Belize",2015,84,155,190.8,13.5,359.3,0.431394377957139,0.531032563317562,0.0375730587252992
"Benin",2015,204,5685.5,4549.5,341.4,10576.4,0.537564766839378,0.43015581861503,0.0322794145455921
"Bhutan",2015,64,292,458.6,36.9,787.5,0.370793650793651,0.582349206349206,0.0468571428571429
