"iso","qamys_dhs_full","qamys_dhs_part"
4,0.77934915356,1.05067879555
8,10.27811499925,10.55483202886
12,NA,NA
24,1.67166738486,2.07992940252
28,NA,NA
32,NA,NA
51,NA,NA
533,NA,NA
36,NA,NA
40,NA,NA
31,NA,NA
44,NA,NA
48,NA,NA
50,3.10795318176,3.7947936667
52,NA,NA
112,NA,NA
56,NA,NA
84,NA,NA
204,1.5559994061,1.9189865033
64,NA,NA
68,9.0506785482,9.21416672744
70,NA,NA
72,NA,NA
76,NA,NA
96,NA,NA
100,NA,NA
854,0.58703018124,0.8035790937
108,2.68528430345,2.9274253904
116,3.1796737896,4.2739603896
120,5.06119624115,5.7350745746
124,NA,NA
132,NA,NA
140,NA,NA
148,0.88456788486,1.12934663341
830,NA,NA
152,NA,NA
156,NA,NA
170,NA,NA
174,4.2442661197,5.10633103906
178,6.8340281007,7.43053501872
188,NA,NA
384,2.09814302608,2.3168725008
191,NA,NA
192,NA,NA
531,NA,NA
196,NA,NA
203,NA,NA
408,NA,NA
180,4.5846735662,5.17439715214
208,NA,NA
262,NA,NA
214,7.4511111555,8.15628137247
218,NA,NA
818,5.97624029856,6.39562557888
222,NA,NA
226,NA,NA
232,NA,NA
233,NA,NA
231,1.27658612604,1.78145498778
242,NA,NA
246,NA,NA
250,NA,NA
254,NA,NA
258,NA,NA
266,7.4887081974,7.97870443884
270,2.20741862052,2.52795005148
268,NA,NA
276,NA,NA
288,3.4723669599,4.23122860882
300,NA,NA
308,NA,NA
312,NA,NA
316,NA,NA
320,4.9334662754,5.5271393704
324,1.14146470053,1.64928144996
624,NA,NA
328,8.99645340978,9.44426855546
332,3.92517063817,4.64914207491
340,5.41178850114,5.47453159062
344,NA,NA
348,NA,NA
352,NA,NA
356,5.0458021602,5.43208106116
360,8.58471725616,8.78627945214
364,NA,NA
368,NA,NA
372,NA,NA
376,NA,NA
380,NA,NA
388,NA,NA
392,NA,NA
400,9.20481262952,9.77116647546
398,NA,NA
404,6.6399029406,7.34324701068
296,NA,NA
414,NA,NA
417,NA,NA
418,NA,NA
428,NA,NA
422,NA,NA
426,6.33551333989,6.98805900634
430,1.82709478429,2.59536105476
434,NA,NA
440,NA,NA
442,NA,NA
446,NA,NA
450,2.41470138112,3.22111197184
454,3.7188892972,4.33558952904
458,NA,NA
462,6.768926705,7.2854543196
466,0.59039812125,0.84294333225
470,NA,NA
474,NA,NA
478,NA,NA
480,NA,NA
175,NA,NA
484,NA,NA
583,NA,NA
496,NA,NA
499,NA,NA
504,2.60999383032,2.89617736524
508,1.11999898116,1.49629493445
104,5.13372856536,5.65411134012
516,7.28760663639,7.84156308726
524,3.96527467618,4.4600684738
528,NA,NA
540,NA,NA
554,NA,NA
558,5.58785991462,5.81411682012
562,0.37519115205,0.54049975005
566,2.72812331475,4.27826990025
578,NA,NA
275,NA,NA
512,NA,NA
586,2.67423781636,3.10400805156
591,NA,NA
598,3.87309835184,5.14504740118
600,NA,NA
604,9.46682996644,9.77687898138
608,8.84009814006,9.24018878862
616,NA,NA
620,NA,NA
630,NA,NA
634,NA,NA
410,NA,NA
498,11.13967890546,11.14524842284
638,NA,NA
642,NA,NA
643,NA,NA
646,3.3570238692,3.82737611352
662,NA,NA
670,NA,NA
882,NA,NA
678,3.51605096856,4.23232937244
682,NA,NA
686,1.9813426779,2.31504685554
688,NA,NA
690,NA,NA
694,1.5349752183,1.7306519471
702,NA,NA
703,NA,NA
705,NA,NA
90,NA,NA
706,NA,NA
710,8.66473670619,9.73491754774
728,NA,NA
724,NA,NA
144,NA,NA
729,NA,NA
740,NA,NA
748,8.0023803565,8.6915543225
752,NA,NA
756,NA,NA
760,NA,NA
158,NA,NA
762,9.52618018239,11.2668839487
764,NA,NA
807,NA,NA
626,4.33909490784,5.31159022464
768,2.282895153,2.75009230125
776,NA,NA
780,NA,NA
788,NA,NA
792,NA,NA
795,NA,NA
800,4.03208549484,4.95718228876
804,NA,NA
784,NA,NA
826,NA,NA
834,5.0305402345,5.51972194128
840,NA,NA
850,NA,NA
858,NA,NA
860,NA,NA
548,NA,NA
862,NA,NA
704,NA,NA
732,NA,NA
900,NA,NA
887,0.9795566872,1.27318301586
894,4.58588371092,5.94671650766
716,9.44912835808,10.451886454
