iso,country,age,sex,educ,weighted_OECD_avg,n_OECD,mean_country,n_country,mys,adj_factor,qamys
124,Canada,0,0,0,262.4534505,182648,273.58,24462,13.29,1.042394373,13.85342122
152,Chile,0,0,0,262.4534505,182648,218.59,4789,11.32,0.832871504,9.428105423
196,Cyprus,0,0,0,262.4534505,182648,269.35,4750,13.01,1.026277229,13.35186675
203,Czech Republic,0,0,0,262.4534505,182648,273.92,5377,13.02,1.043689841,13.58884173
208,Denmark,0,0,0,262.4534505,182648,270.74,6812,12.6,1.031573407,12.99782492
218,Ecuador,0,0,0,262.4534505,182648,194.8,4996,9.4,0.742226858,6.976932467
233,Estonia,0,0,0,262.4534505,182648,275.42,7087,13.27,1.04940514,13.92560621
246,Finland,0,0,0,262.4534505,182648,287.47,5042,13.03,1.095318044,14.27199411
250,France,0,0,0,262.4534505,182648,261.34,6457,12.14,0.995757531,12.08849643
276,Germany,0,0,0,262.4534505,182648,269.35,4954,13.73,1.026277229,14.09078636
300,Greece,0,0,0,262.4534505,182648,253.42,4693,11.78,0.965580752,11.37454125
348,Hungary,0,0,0,262.4534505,182648,263.74,5779,12.41,1.00490201,12.47083395
372,Ireland,0,0,0,262.4534505,182648,266.48,5646,12.63,1.015341957,12.82376891
376,Israel,0,0,0,262.4534505,182648,254.13,4903,11.86,0.968285993,11.48387188
380,Italy,0,0,0,262.4534505,182648,249.2,4398,11.94,0.94950171,11.33705042
392,Japan,0,0,0,262.4534505,182648,296.31,4902,13.81,1.129000207,15.59149286
398,Kazakhstan,0,0,0,262.4534505,182648,249.27,5711,11.31,0.949768424,10.74188087
40,Austria,0,0,0,262.4534505,182648,269.41,4700,12.16,1.026505841,12.48231103
410,Republic of Korea,0,0,0,262.4534505,182648,270.85,6097,12.9,1.031992529,13.31270362
440,Lithuania,0,0,0,262.4534505,182648,266.07,4824,13.48,1.013779775,13.66575137
484,Mexico,0,0,0,262.4534505,182648,220.3,5651,9.32,0.839386945,7.823086327
528,Netherlands,0,0,0,262.4534505,182648,283.69,4741,12.42,1.08091549,13.42497038
554,New Zealand,0,0,0,262.4534505,182648,281.16,5560,13.52,1.071275685,14.48364726
56,Belgium,0,0,0,262.4534505,182648,275.3,5002,11.95,1.048947916,12.5349276
578,Norway,0,0,0,262.4534505,182648,279.45,4630,13.1,1.064760244,13.9483592
604,Peru,0,0,0,262.4534505,182648,193.22,6603,10.22,0.736206743,7.524032914
616,Poland,0,0,0,262.4534505,182648,265.77,8302,13.04,1.012636715,13.20478277
643,Russian Federation,0,0,0,262.4534505,182648,275.36,3453,10.87,1.049176528,11.40454886
702,Singapore,0,0,0,262.4534505,182648,254.99,4960,12.64,0.971562765,12.28055335
703,Slovakia,0,0,0,262.4534505,182648,273.92,5230,13.25,1.043689841,13.82889039
705,Slovenia,0,0,0,262.4534505,182648,255.31,4960,12.2,0.972782029,11.86794075
724,Spain,0,0,0,262.4534505,182648,251.32,5585,11.47,0.957579333,10.98343495
752,Sweden,0,0,0,262.4534505,182648,279.93,4080,12.77,1.06658914,13.62034331
