cc;iso;sex_ratio
Afghanistan;4;1.06
Albania;8;1.02
Algeria;12;1.02
Angola;24;0.96
Antigua and Barbuda;28;0.92
Argentina;32;0.96
Armenia;51;0.89
Aruba;533;0.91
Australia;36;0.99
Austria;40;0.96
Azerbaijan;31;0.99
Bahamas;44;0.96
Bahrain;48;1.61
Bangladesh;50;1.02
Barbados;52;0.92
Belarus;112;0.87
Belgium;56;0.97
Belize;84;0.99
Benin;204;0.99
Bhutan;64;1.13
Bolivia (Plurinational State of);68;1
Bosnia and Herzegovina;70;0.96
Botswana;72;0.98
Brazil;76;0.97
Brunei Darussalam;96;1.06
Bulgaria;100;0.95
Burkina Faso;854;0.99
Burundi;108;0.97
Cambodia;116;0.95
Cameroon;120;1
Canada;124;0.98
Cape Verde;132;0.99
Central African Republic;140;0.97
Chad;148;1
Channel Islands;830;0.98
Chile;152;0.98
China;156;1.06
Colombia;170;0.97
Comoros;174;1.02
Congo;178;1
Costa Rica;188;1
Cote d'Ivoire;384;1.03
Croatia;191;0.93
Cuba;192;1
Curaçao;531;0.84
Cyprus;196;1
Czech Republic;203;0.97
Democratic People's Republic of Korea;408;0.96
Democratic Republic of the Congo;180;0.99
Denmark;208;0.99
Djibouti;262;1.01
Dominican Republic;214;0.99
Ecuador;218;1
Egypt;818;1.02
El Salvador;222;0.89
Equatorial Guinea;226;1.23
Eritrea;232;1
Estonia;233;0.88
Ethiopia;231;1
Fiji;242;1.03
Finland;246;0.97
France;250;0.97
French Guiana;254;1
French Polynesia;258;1.04
Gabon;266;1.06
Gambia;270;0.98
Georgia;268;0.91
Germany;276;0.97
Ghana;288;0.99
Greece;300;0.97
Grenada;308;1.01
Guadeloupe;312;0.87
Guam;316;1.03
Guatemala;320;0.97
Guinea;324;1
Guinea-Bissau;624;0.97
Guyana;328;1.01
Haiti;332;0.98
Honduras;340;0.99
Hong Kong Special Administrative Region of China;344;0.86
Hungary;348;0.91
Iceland;352;1.01
India;356;1.08
Indonesia;360;1.01
Iran (Islamic Republic of);364;1.01
Iraq;368;1.02
Ireland;372;0.98
Israel;376;0.98
Italy;380;0.95
Jamaica;388;0.99
Japan;392;0.96
Jordan;400;1.03
Kazakhstan;398;0.94
Kenya;404;0.99
Kiribati;296;0.97
Kuwait;414;1.35
Kyrgyzstan;417;0.98
Lao People's Democratic Republic;418;0.99
Latvia;428;0.85
Lebanon;422;1.01
Lesotho;426;0.94
Liberia;430;1.02
Libyan Arab Jamahiriya;434;1.02
Lithuania;440;0.85
Luxembourg;442;1.01
Macao Special Administrative Region of China;446;0.92
Madagascar;450;0.99
Malawi;454;0.98
Malaysia;458;1.07
Maldives;462;1.3
Mali;466;1
Malta;470;1.01
Martinique;474;0.84
Mauritania;478;1.01
Mauritius;480;0.98
Mayotte;175;0.97
Mexico;484;0.99
Micronesia (Federated States of);583;1.05
Mongolia;496;0.98
Montenegro;499;0.97
Morocco;504;0.98
Mozambique;508;0.95
Myanmar;104;0.95
Namibia;516;0.95
Nepal;524;0.94
Netherlands;528;0.99
New Caledonia;540;1.02
New Zealand;554;0.97
Nicaragua;558;0.97
Niger;562;1
Nigeria;566;1.03
Norway;578;1.01
Occupied Palestinian Territory;275;1.03
Oman;512;1.84
Pakistan;586;1.06
Panama;591;1.01
Papua New Guinea;598;1.04
Paraguay;600;1.03
Peru;604;1
Philippines;608;1.02
Poland;616;0.93
Portugal;620;0.9
Puerto Rico;630;0.93
Qatar;634;3.07
Republic of Korea;410;1
Republic of Moldova;498;0.92
Reunion;638;0.94
Romania;642;0.94
Russian Federation;643;0.87
Rwanda;646;0.96
Saint Lucia;662;0.96
Saint Vincent and the Grenadines;670;1.02
Samoa;882;1.07
Sao Tome and Principe;678;0.99
Saudi Arabia;682;1.31
Senegal;686;0.96
Serbia;688;0.96
Seychelles;690;0.98
Sierra Leone;694;0.98
Singapore;702;0.98
Slovakia;703;0.95
Slovenia;705;0.98
Solomon Islands;90;1.03
Somalia;706;0.99
South Africa;710;0.96
South Sudan;728;1
Spain;724;0.96
Sri Lanka;144;0.93
Sudan;729;1
Suriname;740;1.01
Swaziland;748;0.94
Sweden;752;1
Switzerland;756;0.98
Syrian Arab Republic;760;1.02
Taiwan Province of China;158;1
Tajikistan;762;1.01
Thailand;764;0.95
The former Yugoslav Republic of Macedonia;807;1
Timor-Leste;626;1.03
Togo;768;0.99
Tonga;776;1.01
Trinidad and Tobago;780;0.97
Tunisia;788;0.98
Turkey;792;0.97
Turkmenistan;795;0.97
Uganda;800;0.99
Ukraine;804;0.86
United Arab Emirates;784;2.72
United Kingdom of Great Britain and Northern Ireland;826;0.97
United Republic of Tanzania;834;0.98
United States of America;840;0.98
United States Virgin Islands;850;0.91
Uruguay;858;0.93
Uzbekistan;860;0.99
Vanuatu;548;1.03
Venezuela (Bolivarian Republic of);862;0.99
Viet Nam;704;0.98
Western Sahara;732;1.11
World;900;1.02
Yemen;887;1.02
Zambia;894;0.98
Zimbabwe;716;0.95
