"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","sex_ratio","qamys","adj_fact_dhs","fit2","lwr2","upr2","plot","qamys_pred"
"Afghanistan",2015,4,3.17,0.1966811744,NA,0.139,0.562305129755427,0.4127662979692,0.0249285722753731,"Afghanistan",0.56980282,NA,0.77934915356,1.05067879555,0.89,0.84,0.05,1.06,0.623479322848,0.1966811744,0.854832127894751,0.80135552837123,0.911877364053763,3,0.623479322848
"Albania",2015,8,10.57,0.77790842,NA,0.517,0.265795505079875,0.60883248383676,0.125372011083365,"Albania",0.018588486,436.73,10.27811499925,10.55483202886,0.44,0.26,0.18,1.02,8.2224919994,0.77790842,9.55735258208037,9.22495114023475,9.90173140102658,2,8.2224919994
"Algeria",2015,12,9.7,NA,NA,0.473,0.362151859050724,0.579151043952599,0.0586970969966769,"Algeria",0.18592163,375.14,NA,NA,0.53,0.44,0.09,1.02,NA,NA,5.75275936651775,5.57623858247022,5.93486807273538,2,5.75275936651775
"Angola",2015,24,2.91,0.4595649168,NA,0.0630000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,"Angola",0.2908198,NA,1.67166738486,2.07992940252,0.98,0.93,0.05,0.96,1.337333907888,0.4595649168,1.34853624900363,1.29982806607429,1.39906966339719,3,1.337333907888
"Antigua and Barbuda",2015,28,10.8,NA,NA,0.523,0.332,0.602,0.066,"Antigua and Barbuda",0.010500031,NA,NA,NA,0.45,0.36,0.1,0.92,NA,NA,9.10052696925605,8.68644652736853,9.53434650834673,2,9.10052696925605
"Argentina",2015,32,10.31,NA,NA,0.531,0.331231729987354,0.559487967418621,0.109280302594025,"Argentina",0.0089705402,429.38,NA,NA,0.57,0.39,0.17,0.96,NA,NA,9.39611548032461,9.06058847212859,9.74406755048822,2,9.39611548032461
"Armenia",2015,51,11.03,0.972575934936637,10.7275125623511,0.941,0.260866584395996,0.630056218291512,0.109077197312491,"Armenia",0.0026393127,469.07,NA,NA,0.44,0.29,0.16,0.89,10.7275125623511,0.972575934936637,10.0675073893766,9.69601729251325,10.4532306386677,1,10.7275125623511
"Aruba",2015,533,9.46,NA,NA,0.402,0.259578544061303,0.618773946360153,0.121647509578544,"Aruba",0.021925812,NA,NA,NA,0.45,0.27,0.18,0.91,NA,NA,8.49847116895981,8.20509636747682,8.80233564299393,2,8.49847116895981
"Australia",2015,36,13.68,NA,NA,0.949,0.250563053599341,0.599660487083382,0.149776459317276,"Australia",0.002007187,509.22,NA,NA,0.51,0.28,0.23,0.99,NA,NA,13.4810298235503,12.9365072672058,14.048472385136,1,13.4810298235503
"Austria",2015,40,12.16,1.02650584126056,12.4823110297284,0.795,0.19384016223441,0.617758215421487,0.188401622344103,"Austria",0.002007187,519.54,NA,NA,0.49,0.21,0.28,0.96,12.4823110297284,1.02650584126056,12.6464584442363,12.0004205727037,13.3272755077918,1,12.4823110297284
"Azerbaijan",2015,31,11,NA,NA,0.894,0.303927379355523,0.638685258549875,0.0573873620946023,"Azerbaijan",0.0021021526,453.14,NA,NA,0.4,0.32,0.08,0.99,NA,NA,9.22050038350813,8.74575716801064,9.72101393727722,1,9.22050038350813
"Bahamas",2015,44,12.94,NA,NA,0.907,0.28593588417787,0.631075491209928,0.0829886246122027,"Bahamas",0.030730619,NA,NA,NA,0.41,0.29,0.12,0.96,NA,NA,10.7123446453926,10.2967423341433,11.1447217068988,1,10.7123446453926
"Bahrain",2015,48,9.39,NA,NA,0.458,0.262755102040816,0.71399416909621,0.0232507288629738,"Bahrain",0.026884129,452.36,NA,NA,0.3,0.27,0.03,1.61,NA,NA,7.1078931828147,6.66646345249572,7.57855283514524,2,7.1078931828147
"Bangladesh",2015,50,5.66,0.4392866688,NA,0.205,0.394148770194596,0.555469189573468,0.0503820402319351,"Bangladesh",0.28824696,NA,3.10795318176,3.7947936667,0.53,0.45,0.08,1.02,2.486362545408,0.4392866688,2.72266166453107,2.63417863415237,2.81411687248478,3,2.486362545408
