iso,literate_prop1,literate_prop2,weighted_OECD_avg,adj_factor1,adj_factor2
4,24.31165921,32.77573943,98.88759,0.245851468,0.331444415
8,96.15686113,98.74568611,98.88759,0.972385525,0.998564998
24,56.80658385,70.68013947,98.88759,0.574456146,0.714752372
50,54.3,66.3,98.88759,0.549108336,0.670458245
204,35.78349567,44.13115131,98.88759,0.361860327,0.446275931
68,93.91393388,95.61036109,98.88759,0.94970394,0.966859048
854,22.5,30.8,98.88759,0.227531078,0.311464765
108,67.22564388,73.28760553,98.88759,0.679818811,0.741120352
116,59.55118906,80.04576562,98.88759,0.602210945,0.809462195
120,66.82102786,75.71798436,98.88759,0.675727135,0.76569754
148,29.8541933,38.11548357,98.88759,0.301900302,0.385442537
174,58.45476995,70.32768391,98.88759,0.591123415,0.711188167
178,80.16614106,87.16342828,98.88759,0.81067949,0.881439504
180,67.26518098,75.91745761,98.88759,0.68021863,0.767714711
384,44.71558344,49.37714178,98.88759,0.452185997,0.49932597
214,83.82507674,91.75824893,98.88759,0.84768045,0.927904593
818,68.4,73.2,98.88759,0.691694479,0.740234442
748,83.29853763,90.47230108,98.88759,0.842355827,0.914900455
231,39.69764955,55.39741836,98.88759,0.401442178,0.560205971
266,84.53656458,90.06790564,98.88759,0.854875365,0.910811009
270,49.8370565,57.07371879,98.88759,0.503976854,0.577157546
288,45.3,55.2,98.88759,0.458095905,0.558209579
320,78.68686941,88.15572451,98.88759,0.795720367,0.891474092
324,26.68479745,38.55637538,98.88759,0.269849811,0.389901052
328,88.43316062,92.83508512,98.88759,0.894279663,0.938794091
332,67.97734936,80.51531621,98.88759,0.687420427,0.814210521
340,90.55139124,91.60122429,98.88759,0.915700254,0.926316682
356,71.89729323,77.40135514,98.88759,0.72706083,0.782720614
360,93.7,95.9,98.88759,0.947540536,0.969788019
400,91.2980679,96.91545676,98.88759,0.923251016,0.980056818
404,79.3,87.7,98.88759,0.801920645,0.886865581
426,82.32636602,90.80582312,98.88759,0.832524749,0.918273194
430,37.1,52.7,98.88759,0.375173467,0.532928348
450,53.3,71.1,98.88759,0.538995844,0.718998208
454,59.7,69.6,98.88759,0.603715795,0.703829469
462,90.45443899,97.3568946,98.88759,0.914719825,0.984520854
466,25.94802101,37.04739319,98.88759,0.262399165,0.374641481
498,99.6,99.64979716,98.88759,1.007204241,1.007707814
504,45.6,50.6,98.88759,0.461129652,0.511692114
508,37.8,50.5,98.88759,0.382252212,0.510680865
104,79.8210763,87.9121767,98.88759,0.807190026,0.889011217
516,85.4868158,91.98496748,98.88759,0.864484773,0.930197282
524,69.77161149,78.47783316,98.88759,0.705564889,0.79360649
558,81.5,84.8,98.88759,0.824168129,0.857539354
562,19.02653789,27.40959881,98.88759,0.192405719,0.277179359
566,39.9670429,62.67671108,98.88759,0.404166417,0.633817763
586,52.05687651,60.42281012,98.88759,0.526424767,0.611025207
598,55.18751613,73.31143197,98.88759,0.558083336,0.741361297
604,91.6,94.6,98.88759,0.926304302,0.956641779
608,92.8,97,98.88759,0.938439293,0.980911761
646,72.8,83,98.88759,0.736189445,0.839336867
678,74.29354839,89.4283871,98.88759,0.751292942,0.904343883
686,45.99300528,53.73929674,98.88759,0.465103915,0.543438229
694,35.3,39.8,98.88759,0.356970981,0.402477197
710,85.08787793,95.59707398,98.88759,0.860450517,0.966724682
762,79.9,94.5,98.88759,0.807988141,0.95563053
834,68.9,75.6,98.88759,0.696750725,0.764504424
626,63.85158307,78.16225543,98.88759,0.645698647,0.790415212
768,43,51.8,98.88759,0.434837172,0.523827105
800,59.68910439,73.38380383,98.88759,0.603605613,0.742093157
887,40.7,52.9,98.88759,0.41157844,0.534950847
894,57.11423028,74.06252696,98.88759,0.577567218,0.748956739
716,85.2556141,94.30308967,98.88759,0.862146748,0.953639275
