Area,Year,Age,ISOCode,Population
Afghanistan,1970,0--19,4,6023.6
Afghanistan,1975,0--19,4,6965.9
Afghanistan,1980,0--19,4,7451.8
Afghanistan,1985,0--19,4,6773.1
Afghanistan,1990,0--19,4,7151.8
Afghanistan,1995,0--19,4,9958.8
Afghanistan,2000,0--19,4,11837.1
Afghanistan,2005,0--19,4,14542.3
Afghanistan,2010,0--19,4,16726.3
Afghanistan,2015,0--19,4,18972.4
Albania,1970,0--19,8,1091.6
Albania,1975,0--19,8,1198.2
Albania,1980,0--19,8,1265.2
Albania,1985,0--19,8,1314.5
Albania,1990,0--19,8,1392.7
Albania,1995,0--19,8,1310.8
Albania,2000,0--19,8,1233
Albania,2005,0--19,8,1138.1
Albania,2010,0--19,8,948.8
Albania,2015,0--19,8,777
Algeria,1970,0--19,12,8417.5
Algeria,1975,0--19,12,9641.8
Algeria,1980,0--19,12,11095.7
Algeria,1985,0--19,12,12703.9
Algeria,1990,0--19,12,14118.8
Algeria,1995,0--19,12,14857.1
Algeria,2000,0--19,12,14464.4
Algeria,2005,0--19,12,13575.3
Algeria,2010,0--19,12,13470.6
Algeria,2015,0--19,12,14439.9
Angola,1970,0--19,24,3796.4
Angola,1975,0--19,24,4324.5
Angola,1980,0--19,24,5080.4
Angola,1985,0--19,24,6093
Angola,1990,0--19,24,7026.6
Angola,1995,0--19,24,8212.6
Angola,2000,0--19,24,9392.6
Angola,2005,0--19,24,11116.1
Angola,2010,0--19,24,13285
Angola,2015,0--19,24,16021.2
Antigua and Barbuda,1970,0--19,28,35.6
Antigua and Barbuda,1975,0--19,28,36.1
Antigua and Barbuda,1980,0--19,28,33.9
Antigua and Barbuda,1985,0--19,28,29.9
Antigua and Barbuda,1990,0--19,28,26.9
Antigua and Barbuda,1995,0--19,28,28.2
Antigua and Barbuda,2000,0--19,28,31.4
Antigua and Barbuda,2005,0--19,28,33
Antigua and Barbuda,2010,0--19,28,33.5
Antigua and Barbuda,2015,0--19,28,33.2
Argentina,1970,0--19,32,9171.3
Argentina,1975,0--19,32,9880.4
Argentina,1980,0--19,32,10836.4
Argentina,1985,0--19,32,11843.3
Argentina,1990,0--19,32,12825.5
Argentina,1995,0--19,32,13521.6
Argentina,2000,0--19,32,13626.4
Argentina,2005,0--19,32,13909.7
Argentina,2010,0--19,32,14130.5
Argentina,2015,0--19,32,14379.2
Armenia,1970,0--19,51,1251.9
Armenia,1975,0--19,51,1312.6
Armenia,1980,0--19,51,1300
Armenia,1985,0--19,51,1298.2
Armenia,1990,0--19,51,1341.3
Armenia,1995,0--19,51,1202.5
Armenia,2000,0--19,51,1090.1
Armenia,2005,0--19,51,950.6
Armenia,2010,0--19,51,814.7
Armenia,2015,0--19,51,761
Aruba,1970,0--19,533,28.6
Aruba,1975,0--19,533,25.8
Aruba,1980,0--19,533,22.9
Aruba,1985,0--19,533,21.1
Aruba,1990,0--19,533,19.6
Aruba,1995,0--19,533,23.8
Aruba,2000,0--19,533,27.2
Aruba,2005,0--19,533,28.6
Aruba,2010,0--19,533,28.5
Aruba,2015,0--19,533,27.1
Australia,1970,0--19,36,4856.9
Australia,1975,0--19,36,5041.4
Australia,1980,0--19,36,5010.8
Australia,1985,0--19,36,5026.1
Australia,1990,0--19,36,5162.5
Australia,1995,0--19,36,5175.7
Australia,2000,0--19,36,5289.3
Australia,2005,0--19,36,5400.2
Australia,2010,0--19,36,5694.8
Australia,2015,0--19,36,5963.1
Austria,1970,0--19,40,2333.2
Austria,1975,0--19,40,2361.2
Austria,1980,0--19,40,2205.9
Austria,1985,0--19,40,2002.2
Austria,1990,0--19,40,1820.5
Austria,1995,0--19,40,1874.7
Austria,2000,0--19,40,1838.5
Austria,2005,0--19,40,1808.3
Austria,2010,0--19,40,1740.9
Austria,2015,0--19,40,1682.3
Azerbaijan,1970,0--19,31,2745.1
Azerbaijan,1975,0--19,31,2972
