Area,Year,Age,Education,ISOCode,Distribution
Afghanistan,1970,20--64,Under 15,4,0
Afghanistan,1975,20--64,Under 15,4,0
Afghanistan,1980,20--64,Under 15,4,0
Afghanistan,1985,20--64,Under 15,4,0
Afghanistan,1990,20--64,Under 15,4,0
Afghanistan,1995,20--64,Under 15,4,0
Afghanistan,2000,20--64,Under 15,4,0
Afghanistan,2005,20--64,Under 15,4,0
Afghanistan,2010,20--64,Under 15,4,0
Afghanistan,2015,20--64,Under 15,4,0
Albania,1970,20--64,Under 15,8,0
Albania,1975,20--64,Under 15,8,0
Albania,1980,20--64,Under 15,8,0
Albania,1985,20--64,Under 15,8,0
Albania,1990,20--64,Under 15,8,0
Albania,1995,20--64,Under 15,8,0
Albania,2000,20--64,Under 15,8,0
Albania,2005,20--64,Under 15,8,0
Albania,2010,20--64,Under 15,8,0
Albania,2015,20--64,Under 15,8,0
Algeria,1970,20--64,Under 15,12,0
Algeria,1975,20--64,Under 15,12,0
Algeria,1980,20--64,Under 15,12,0
Algeria,1985,20--64,Under 15,12,0
Algeria,1990,20--64,Under 15,12,0
Algeria,1995,20--64,Under 15,12,0
Algeria,2000,20--64,Under 15,12,0
Algeria,2005,20--64,Under 15,12,0
Algeria,2010,20--64,Under 15,12,0
Algeria,2015,20--64,Under 15,12,0
Angola,1970,20--64,Under 15,24,0
Angola,1975,20--64,Under 15,24,0
Angola,1980,20--64,Under 15,24,0
Angola,1985,20--64,Under 15,24,0
Angola,1990,20--64,Under 15,24,0
Angola,1995,20--64,Under 15,24,0
Angola,2000,20--64,Under 15,24,0
Angola,2005,20--64,Under 15,24,0
Angola,2010,20--64,Under 15,24,0
Angola,2015,20--64,Under 15,24,0
Antigua and Barbuda,2015,20--64,Under 15,28,0
Argentina,1970,20--64,Under 15,32,0
Argentina,1975,20--64,Under 15,32,0
Argentina,1980,20--64,Under 15,32,0
Argentina,1985,20--64,Under 15,32,0
Argentina,1990,20--64,Under 15,32,0
Argentina,1995,20--64,Under 15,32,0
Argentina,2000,20--64,Under 15,32,0
Argentina,2005,20--64,Under 15,32,0
Argentina,2010,20--64,Under 15,32,0
Argentina,2015,20--64,Under 15,32,0
Armenia,1970,20--64,Under 15,51,0
Armenia,1975,20--64,Under 15,51,0
Armenia,1980,20--64,Under 15,51,0
Armenia,1985,20--64,Under 15,51,0
Armenia,1990,20--64,Under 15,51,0
Armenia,1995,20--64,Under 15,51,0
Armenia,2000,20--64,Under 15,51,0
Armenia,2005,20--64,Under 15,51,0
Armenia,2010,20--64,Under 15,51,0
Armenia,2015,20--64,Under 15,51,0
Aruba,1970,20--64,Under 15,533,0
Aruba,1975,20--64,Under 15,533,0
Aruba,1980,20--64,Under 15,533,0
Aruba,1985,20--64,Under 15,533,0
Aruba,1990,20--64,Under 15,533,0
Aruba,1995,20--64,Under 15,533,0
Aruba,2000,20--64,Under 15,533,0
Aruba,2005,20--64,Under 15,533,0
Aruba,2010,20--64,Under 15,533,0
Aruba,2015,20--64,Under 15,533,0
Australia,1970,20--64,Under 15,36,0
Australia,1975,20--64,Under 15,36,0
Australia,1980,20--64,Under 15,36,0
Australia,1985,20--64,Under 15,36,0
Australia,1990,20--64,Under 15,36,0
Australia,1995,20--64,Under 15,36,0
Australia,2000,20--64,Under 15,36,0
Australia,2005,20--64,Under 15,36,0
Australia,2010,20--64,Under 15,36,0
Australia,2015,20--64,Under 15,36,0
Austria,1970,20--64,Under 15,40,0
Austria,1975,20--64,Under 15,40,0
Austria,1980,20--64,Under 15,40,0
Austria,1985,20--64,Under 15,40,0
Austria,1990,20--64,Under 15,40,0
Austria,1995,20--64,Under 15,40,0
Austria,2000,20--64,Under 15,40,0
Austria,2005,20--64,Under 15,40,0
Austria,2010,20--64,Under 15,40,0
Austria,2015,20--64,Under 15,40,0
Azerbaijan,1970,20--64,Under 15,31,0
Azerbaijan,1975,20--64,Under 15,31,0
Azerbaijan,1980,20--64,Under 15,31,0
Azerbaijan,1985,20--64,Under 15,31,0
Azerbaijan,1990,20--64,Under 15,31,0
Azerbaijan,1995,20--64,Under 15,31,0
Azerbaijan,2000,20--64,Under 15,31,0
Azerbaijan,2005,20--64,Under 15,31,0
Azerbaijan,2010,20--64,Under 15,31,0
Azerbaijan,2015,20--64,Under 15,31,0
Bahamas,1970,20--64,Under 15,44,0
Bahamas,1975,20--64,Under 15,44,0
Bahamas,1980,20--64,Under 15,44,0
Bahamas,1985,20--64,Under 15,44,0
Bahamas,1990,20--64,Under 15,44,0
Bahamas,1995,20--64,Under 15,44,0
Bahamas,2000,20--64,Under 15,44,0
Bahamas,2005,20--64,Under 15,44,0
Bahamas,2010,20--64,Under 15,44,0
Bahamas,2015,20--64,Under 15,44,0
Bahrain,1970,20--64,Under 15,48,0
Bahrain,1975,20--64,Under 15,48,0
Bahrain,1980,20--64,Under 15,48,0
Bahrain,1985,20--64,Under 15,48,0
Bahrain,1990,20--64,Under 15,48,0
Bahrain,1995,20--64,Under 15,48,0
Bahrain,2000,20--64,Under 15,48,0
Bahrain,2005,20--64,Under 15,48,0
Bahrain,2010,20--64,Under 15,48,0
Bahrain,2015,20--64,Under 15,48,0
Bangladesh,1970,20--64,Under 15,50,0
Bangladesh,1975,20--64,Under 15,50,0
Bangladesh,1980,20--64,Under 15,50,0
Bangladesh,1985,20--64,Under 15,50,0
Bangladesh,1990,20--64,Under 15,50,0
Bangladesh,1995,20--64,Under 15,50,0
Bangladesh,2000,20--64,Under 15,50,0
Bangladesh,2005,20--64,Under 15,50,0
Bangladesh,2010,20--64,Under 15,50,0
Bangladesh,2015,20--64,Under 15,50,0
Barbados,2015,20--64,Under 15,52,0
Belarus,1970,20--64,Under 15,112,0
Belarus,1975,20--64,Under 15,112,0
Belarus,1980,20--64,Under 15,112,0
Belarus,1985,20--64,Under 15,112,0
Belarus,1990,20--64,Under 15,112,0
Belarus,1995,20--64,Under 15,112,0
Belarus,2000,20--64,Under 15,112,0
Belarus,2005,20--64,Under 15,112,0
Belarus,2010,20--64,Under 15,112,0
Belarus,2015,20--64,Under 15,112,0
Belgium,1970,20--64,Under 15,56,0
Belgium,1975,20--64,Under 15,56,0
Belgium,1980,20--64,Under 15,56,0
Belgium,1985,20--64,Under 15,56,0
Belgium,1990,20--64,Under 15,56,0
Belgium,1995,20--64,Under 15,56,0
Belgium,2000,20--64,Under 15,56,0
Belgium,2005,20--64,Under 15,56,0
Belgium,2010,20--64,Under 15,56,0
Belgium,2015,20--64,Under 15,56,0
Belize,1970,20--64,Under 15,84,0
Belize,1975,20--64,Under 15,84,0
Belize,1980,20--64,Under 15,84,0
Belize,1985,20--64,Under 15,84,0
Belize,1990,20--64,Under 15,84,0
Belize,1995,20--64,Under 15,84,0
Belize,2000,20--64,Under 15,84,0
Belize,2005,20--64,Under 15,84,0
Belize,2010,20--64,Under 15,84,0
Belize,2015,20--64,Under 15,84,0
Benin,1970,20--64,Under 15,204,0
Benin,1975,20--64,Under 15,204,0
Benin,1980,20--64,Under 15,204,0
Benin,1985,20--64,Under 15,204,0
Benin,1990,20--64,Under 15,204,0
Benin,1995,20--64,Under 15,204,0
Benin,2000,20--64,Under 15,204,0
Benin,2005,20--64,Under 15,204,0
Benin,2010,20--64,Under 15,204,0
Benin,2015,20--64,Under 15,204,0
Bhutan,1970,20--64,Under 15,64,0
Bhutan,1975,20--64,Under 15,64,0
Bhutan,1980,20--64,Under 15,64,0
Bhutan,1985,20--64,Under 15,64,0
Bhutan,1990,20--64,Under 15,64,0
Bhutan,1995,20--64,Under 15,64,0
Bhutan,2000,20--64,Under 15,64,0
Bhutan,2005,20--64,Under 15,64,0
Bhutan,2010,20--64,Under 15,64,0
Bhutan,2015,20--64,Under 15,64,0
Bolivia (Plurinational State of),1970,20--64,Under 15,68,0
Bolivia (Plurinational State of),1975,20--64,Under 15,68,0
Bolivia (Plurinational State of),1980,20--64,Under 15,68,0
Bolivia (Plurinational State of),1985,20--64,Under 15,68,0
Bolivia (Plurinational State of),1990,20--64,Under 15,68,0
Bolivia (Plurinational State of),1995,20--64,Under 15,68,0
Bolivia (Plurinational State of),2000,20--64,Under 15,68,0
Bolivia (Plurinational State of),2005,20--64,Under 15,68,0
Bolivia (Plurinational State of),2010,20--64,Under 15,68,0
