"year","iso","wic_mys","adj_factor","qamys_piaac","country","old_dep","youth_dep","tot_dep","highLS","illiterate_prop","qamys_dhs_full","qamys_dhs_part","qamys","year_1970","year_1975","year_1980","year_1985","year_1990","year_1995","year_2000","year_2005","year_2010","year_2015","fit1","lwr1","upr1","qamys_pred","plot"
1970,4,0.56,NA,NA,"Afghanistan",0.05,0.83,0.88,1.8,87.108177,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.116630892499997,0.104594194452068,0.130052773546427,0.116630892499997,3
1975,4,0.74,NA,NA,"Afghanistan",0.05,0.86,0.91,2.59999999999999,81.842316,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.167554557874257,0.151992233579903,0.18471029211949,0.167554557874257,3
1980,4,0.96,NA,NA,"Afghanistan",0.05,0.89,0.94,3.8,80.280991,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.227331742371223,0.208516984140311,0.247844180667608,0.227331742371223,3
1985,4,1.2,NA,NA,"Afghanistan",0.04,0.95,0.99,5.10000000000001,75.886818,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.301491542907394,0.278920302293922,0.325889330024083,0.301491542907394,3
1990,4,1.39,NA,NA,"Afghanistan",0.04,0.98,1.03,6.3,70.925781,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.37420446943186,0.347996762853488,0.402385883692068,0.37420446943186,3
1995,4,1.55,NA,NA,"Afghanistan",0.05,0.98,1.02,6.90000000000001,65.703362,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.429841770355743,0.40724552045151,0.453691786069771,0.429841770355743,3
2000,4,1.72,NA,NA,"Afghanistan",0.05,1.01,1.05,7.59999999999999,60.293983,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.515476342197376,0.490168224821977,0.542091155463395,0.515476342197376,3
2005,4,2.03,NA,NA,"Afghanistan",0.04,0.97,1.02,8.89999999999999,54.29303,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0.669481767374411,0.640631916159583,0.699630826284208,0.669481767374411,3
2010,4,2.51,NA,NA,"Afghanistan",0.05,0.98,1.03,11.2,68.258881,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0.77428180551188,0.744880276489927,0.804843856480933,0.77428180551188,3
2015,4,3.17,NA,NA,"Afghanistan",0.05,0.84,0.89,13.9,56.980282,1.05063895499,0.78085493843,0.840511163992,0,0,0,0,0,0,0,0,0,1,1.15621879505886,1.1219040572098,1.19158308899615,0.840511163992,3
1970,8,5.52,NA,NA,"Albania",0.1,0.76,0.86,17.1,45.361618,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3.17463683225727,3.01928244092017,3.33798484041558,3.17463683225727,2
1975,8,6.63,NA,NA,"Albania",0.09,0.69,0.79,22.8,37.975117,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,4.13073635572289,3.93613811123919,4.33495531870932,4.13073635572289,2
1980,8,7.67,NA,NA,"Albania",0.09,0.61,0.7,28.9,31.633141,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,5.09885340942468,4.86443252434504,5.34457122402003,5.09885340942468,2
1985,8,8.52,NA,NA,"Albania",0.09,0.56,0.65,34.8,26.108137,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,5.94479551437374,5.67596890618954,6.22635435320653,5.94479551437374,2
1990,8,9.15,NA,NA,"Albania",0.09,0.53,0.62,39.6,21.345938,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,6.72406757875833,6.43144977602728,7.02999889266602,6.72406757875833,2
1995,8,9.53,NA,NA,"Albania",0.11,0.54,0.64,42.4,17.43873,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,7.04871656753038,6.89196291396286,7.20903549099466,7.04871656753038,2
2000,8,9.92,NA,NA,"Albania",0.11,0.48,0.6,45.3,1.2870178,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,8.63170874338883,8.44298571500449,8.82465022986901,8.63170874338883,2
2005,8,10.19,NA,NA,"Albania",0.13,0.41,0.54,47.6,4.0613632,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,8.79758256923519,8.63027325542155,8.96813539639543,8.79758256923519,2
2010,8,10.37,NA,NA,"Albania",0.16,0.34,0.5,49.3,2.9538651,10.31314093742,9.55843963126,8.250512749936,0,0,0,0,0,0,0,0,1,0,9.21485651171343,9.04639400459591,9.38645613802892,8.250512749936,2
2015,8,10.57,NA,NA,"Albania",0.18,0.26,0.44,51.7,1.8588486,10.55443178524,10.27772525164,8.443545428192,0,0,0,0,0,0,0,0,0,1,9.63912416342804,9.46118327481704,9.82041166936162,8.443545428192,2
1970,12,1.86,NA,NA,"Algeria",0.07,0.94,1.02,2.90000000000001,73.225815,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.606583633547535,0.570229565662492,0.645255396500274,0.606583633547535,2
1975,12,2.73,NA,NA,"Algeria",0.07,0.94,1.01,5.10000000000001,66.041801,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1.01401683988988,0.960027842587541,1.0710420114576,1.01401683988988,2
1980,12,3.7,NA,NA,"Algeria",0.07,0.92,0.99,8.3,58.09679,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1.54530497890721,1.4679722904942,1.62671154850716,1.54530497890721,2
1985,12,4.79,NA,NA,"Algeria",0.07,0.89,0.95,12.3,50.369122,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,2.22459986736411,2.1135519863259,2.34148230178111,2.22459986736411,2
1990,12,5.87,NA,NA,"Algeria",0.06,0.81,0.88,17.1,42.782051,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,3.03720378822973,2.8906874690456,3.19114637954363,3.03720378822973,2
1995,12,6.89,NA,NA,"Algeria",0.06,0.7,0.77,22.2,35.962315,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,3.78119351862033,3.66928340747609,3.89651679565708,3.78119351862033,2
2000,12,7.65,NA,NA,"Algeria",0.07,0.56,0.63,27.5,30.126503,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,4.59865066213298,4.47164887923935,4.72925949318575,4.59865066213298,2
2005,12,8.44,NA,NA,"Algeria",0.07,0.44,0.52,34.2,26.107635,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,5.44312113903324,5.29601875504507,5.594309443479,5.44312113903324,2
2010,12,9.13,NA,NA,"Algeria",0.08,0.4,0.49,40.8,21.009813,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,6.37251644900426,6.21532095963371,6.53368766578115,6.37251644900426,2
2015,12,9.7,NA,NA,"Algeria",0.09,0.44,0.53,47.3,18.592163,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,7.11459195488629,6.94692389166022,7.28630678469054,7.11459195488629,2
1970,24,0.66,NA,NA,"Angola",0.05,0.97,1.02,0.599999999999994,71.674934,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0.165108777801594,0.148698119274174,0.183330553474396,0.165108777801594,3
1975,24,0.82,NA,NA,"Angola",0.05,0.99,1.04,0.700000000000003,66.826813,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.218459481946163,0.198445591113357,0.240491839523532,0.218459481946163,3
1980,24,1.05,NA,NA,"Angola",0.05,1.02,1.08,1.00000000000001,56.009636,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0.317170495133542,0.290322963106153,0.346500744918597,0.317170495133542,3
1985,24,1.32,NA,NA,"Angola",0.05,1.05,1.1,1.40000000000002,52.062386,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.423187697149975,0.391329944982641,0.457638954839102,0.423187697149975,3
1990,24,1.63,NA,NA,"Angola",0.05,1.06,1.11,2.10000000000001,42.994389,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0.590904938787861,0.549278368008527,0.635686142073712,0.590904938787861,3
1995,24,1.89,NA,NA,"Angola",0.05,1.05,1.1,2.8,42.035908,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0.682843798507268,0.647813514655431,0.71976833241561,0.682843798507268,3
2000,24,2.09,NA,NA,"Angola",0.05,1.04,1.09,3.39999999999999,32.594582,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0.846032882357134,0.801105854070107,0.893479475144219,0.846032882357134,3
2005,24,2.25,NA,NA,"Angola",0.05,1.04,1.09,4,31.799746,1.40836396725,1.03522714875,1.1266911738,0,0,0,0,0,0,0,1,0,0,0.935864956178601,0.889284157197049,0.984885662377885,1.1266911738,3
2010,24,2.47,NA,NA,"Angola",0.05,1.05,1.1,4.90000000000001,33.969887,1.49611685028,1.15143550587,1.196893480224,0,0,0,0,0,0,0,0,1,0,1.03279277739776,0.988343463255434,1.07924113499125,1.196893480224,3
2015,24,2.91,NA,NA,"Angola",0.05,0.93,0.98,6.30000000000001,29.08198,2.07985052988,1.67016916554,1.663880423904,0,0,0,0,0,0,0,0,0,1,1.33022363233237,1.27881228112456,1.383701844386,1.663880423904,3
2015,28,10.8,NA,NA,"Antigua and Barbuda",0.1,0.36,0.45,52.3,1.0500031,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,9.66781204583665,9.44553049596049,9.8953245446189,9.66781204583665,2
1970,32,6.75,NA,NA,"Argentina",0.11,0.46,0.57,16.3,6.7430353,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,5.85420632984804,5.61549942094946,6.10306033058735,5.85420632984804,2
1975,32,7.16,NA,NA,"Argentina",0.12,0.46,0.58,19.7,6.0528488,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,6.15753334325965,5.90589617530241,6.4198922141419,6.15753334325965,2
1980,32,7.59,NA,NA,"Argentina",0.13,0.49,0.63,23.4,6.0871429,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,6.42832132331272,6.16588268005942,6.70193015014659,6.42832132331272,2
1985,32,8.02,NA,NA,"Argentina",0.14,0.51,0.65,27.4,4.6564274,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,6.78951080426589,6.51039064941502,7.08059768508442,6.78951080426589,2
1990,32,8.46,NA,NA,"Argentina",0.15,0.51,0.66,31.8,3.8718033,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,7.26399227964626,6.9628034678033,7.57820956497678,7.26399227964626,2
1995,32,8.9,NA,NA,"Argentina",0.16,0.48,0.63,36.1,3.456527,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,7.45033043618677,7.28491220985789,7.61950480793149,7.45033043618677,2
2000,32,9.31,NA,NA,"Argentina",0.16,0.45,0.61,40.5,2.8066864,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,7.97330854302837,7.80836381375143,8.14173758276588,7.97330854302837,2
2005,32,9.68,NA,NA,"Argentina",0.16,0.43,0.59,44.8,1.2028885,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,8.54177335733748,8.37231941350096,8.71465701254352,8.54177335733748,2
2010,32,9.98,NA,NA,"Argentina",0.16,0.41,0.57,48.7,0.9431259,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,8.93837105551081,8.77110250670474,9.10882948465386,8.93837105551081,2
2015,32,10.31,NA,NA,"Argentina",0.17,0.39,0.57,53.1,0.89705402,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,9.40199446799542,9.2359817400711,9.57099120201768,9.40199446799542,2
1970,51,7.7,0.967914059714751,7.45293825980359,"Armenia",0.1,0.71,0.81,55.4,47.610863,NA,NA,7.45293825980359,1,0,0,0,0,0,0,0,0,0,4.94509166776486,4.64637678256986,5.26301088933046,7.45293825980359,1
1975,51,8.68,0.971289166326865,8.43078996371719,"Armenia",0.1,0.57,0.67,65.3,42.94355,NA,NA,8.43078996371719,0,1,0,0,0,0,0,0,0,0,5.8456358002474,5.49754777753459,6.21576369900299,8.43078996371719,1
1980,51,9.47,0.967793289324062,9.16500244989887,"Armenia",0.09,0.48,0.57,73.7,37.220085,NA,NA,9.16500244989887,0,0,1,0,0,0,0,0,0,0,6.65529328500132,6.26941685924637,7.06492002426968,9.16500244989887,1
1985,51,9.97,0.96872162658253,9.65815461702783,"Armenia",0.08,0.46,0.55,79.6,1.2480392,NA,NA,9.65815461702783,0,0,0,1,0,0,0,0,0,0,9.5603674814908,9.0823883873642,10.0635011940589,9.65815461702783,1
1990,51,10.37,0.965757938646873,10.0149098237681,"Armenia",0.09,0.47,0.56,84.7,26.760311,NA,NA,10.0149098237681,0,0,0,0,1,0,0,0,0,0,7.89453639909133,7.47421606426064,8.33849388628064,10.0149098237681,1
1995,51,10.69,0.966061136613238,10.3271935503955,"Armenia",0.13,0.47,0.6,88.9,21.130911,NA,NA,10.3271935503955,0,0,0,0,0,1,0,0,0,0,8.38056904624815,8.10516884840669,8.665326886156,10.3271935503955,1
2000,51,10.85,0.963678305714507,10.4559096170024,"Armenia",0.16,0.4,0.56,91.2,0.59983826,NA,NA,10.4559096170024,0,0,0,0,0,0,1,0,0,0,10.46918877384,10.1574365646724,10.79050928691,10.4559096170024,1
2005,51,10.95,0.962229021676015,10.5364077873524,"Armenia",0.17,0.32,0.49,92.5,12.786404,NA,NA,10.5364077873524,0,0,0,0,0,0,0,1,0,0,9.51957392409204,9.24830570795008,9.79879888900645,10.5364077873524,1
2010,51,11,0.958536818423746,10.5439050026612,"Armenia",0.15,0.27,0.43,92.6,0.25559235,NA,NA,10.5439050026612,0,0,0,0,0,0,0,0,1,0,10.659983856472,10.3247287611067,11.0061250469172,10.5439050026612,1
2015,51,11.03,0.972575934936637,10.7275125623511,"Armenia",0.16,0.29,0.44,94.1,0.26393127,NA,NA,10.7275125623511,0,0,0,0,0,0,0,0,0,1,10.7578791014451,10.4203888939983,11.1062997685207,10.7275125623511,1
1970,533,4.97,NA,NA,"Aruba",0.07,0.64,0.7,8.3,17.808514,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3.50536114378477,3.36191043454391,3.65493280906605,3.50536114378477,2
1975,533,5.66,NA,NA,"Aruba",0.09,0.5,0.6,11.7,21.10346,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,3.90248273803326,3.74697535802141,4.0644440022924,3.90248273803326,2
1980,533,6.28,NA,NA,"Aruba",0.1,0.4,0.5,14.9,13.758053,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,4.61569095274698,4.42694657615748,4.81248251018254,4.61569095274698,2
1985,533,6.94,NA,NA,"Aruba",0.11,0.36,0.47,18.7,16.747963,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,4.95126728469598,4.74677591797608,5.16456815070247,4.95126728469598,2
1990,533,7.45,NA,NA,"Aruba",0.11,0.36,0.48,22.5,10.757634,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,5.6543387076993,5.41846983159837,5.90047508153339,5.6543387076993,2
1995,533,8.01,NA,NA,"Aruba",0.1,0.34,0.44,26.6,13.912856,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,5.72015912459005,5.59342621517247,5.84976348161624,5.72015912459005,2
2000,533,8.47,NA,NA,"Aruba",0.11,0.33,0.44,30.2,2.7087479,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,6.86000575430156,6.68969325556784,7.03465422870961,6.86000575430156,2
2005,533,8.86,NA,NA,"Aruba",0.12,0.31,0.43,33.3,9.9192209,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,6.84605976065565,6.70039924022031,6.99488680691324,6.84605976065565,2
2010,533,9.17,NA,NA,"Aruba",0.15,0.3,0.45,35.4,3.1773605,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,7.71842687587774,7.54356897583805,7.89733793501285,7.71842687587774,2
2015,533,9.46,NA,NA,"Aruba",0.18,0.27,0.45,40.2,2.1925812,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,8.24495554500562,8.06035370005087,8.43378522442383,8.24495554500562,2
1970,36,10.03,NA,NA,"Australia",0.13,0.46,0.59,56.3,1.6087557,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,10.6757935124941,10.233823245246,11.1368512422134,10.6757935124941,1
1975,36,10.53,NA,NA,"Australia",0.14,0.43,0.57,63.7,1.1971706,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,11.1073677706808,10.6456027175498,11.5891624050342,11.1073677706808,1
1980,36,11.03,NA,NA,"Australia",0.15,0.39,0.53,70.7,0.79552633,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,11.5131615211709,11.0333453678354,12.0138438337106,11.5131615211709,1
1985,36,11.47,NA,NA,"Australia",0.16,0.36,0.51,76.7,0.53177327,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,11.8178705214116,11.3319853345333,12.3245891640223,11.8178705214116,1
1990,36,11.87,NA,NA,"Australia",0.17,0.33,0.5,81.8,0.37593016,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,12.2815774079296,11.7761501846483,12.8086973469141,12.2815774079296,1
1995,36,12.21,NA,NA,"Australia",0.18,0.32,0.5,85.8,0.29987678,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,12.2028586973074,11.9357155673271,12.4759809788092,12.2028586973074,1
2000,36,12.59,NA,NA,"Australia",0.18,0.31,0.5,88.6,0.25392306,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,12.7299843870253,12.4376856673344,13.0291524346457,12.7299843870253,1
2005,36,12.93,NA,NA,"Australia",0.19,0.29,0.49,91.1,0.2239619,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,13.2599781019765,12.9508602810785,13.5764741066495,13.2599781019765,1
2010,36,13.24,NA,NA,"Australia",0.2,0.28,0.48,93,0.2075292,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,13.7493769607766,13.4256433118614,14.0809168259756,13.7493769607766,1
2015,36,13.68,NA,NA,"Australia",0.23,0.28,0.51,94.9,0.2007187,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,14.534903919282,14.1905140278487,14.8876518164288,14.534903919282,1
1970,40,8.63,0.942263426747725,8.13173337283287,"Austria",0.23,0.4,0.63,44.8,1.6087557,NA,NA,8.13173337283287,1,0,0,0,0,0,0,0,0,0,9.07547352146408,8.70090301892509,9.46616913895575,8.13173337283287,1
1975,40,9.09,0.950261577910756,8.63787774320877,"Austria",0.24,0.38,0.61,49.7,1.1971706,NA,NA,8.63787774320877,0,1,0,0,0,0,0,0,0,0,9.4538078351067,9.06031836430073,9.86438654686532,8.63787774320877,1
1980,40,9.58,0.95792193658513,9.17689215248554,"Austria",0.24,0.32,0.55,55,0.79552633,NA,NA,9.17689215248554,0,0,1,0,0,0,0,0,0,0,9.81561705355829,9.41026893527414,10.238425575804,9.17689215248554,1
1985,40,10.02,0.968484419860774,9.70421388700496,"Austria",0.21,0.27,0.48,59.8,0.53177327,NA,NA,9.70421388700496,0,0,0,1,0,0,0,0,0,0,9.97261479885971,9.57496643965511,10.3867774945452,9.70421388700496,1
1990,40,10.48,0.980392022069499,10.2745083912884,"Austria",0.22,0.25,0.47,64.7,0.37593016,NA,NA,10.2745083912884,0,0,0,0,1,0,0,0,0,0,10.5008185077784,10.080247240837,10.9389369822784,10.2745083912884,1
