"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Afghanistan",2015,4,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,0.562305129755427,0.4127662979692,0.0249285722753731,56.980282,NA,0.77934915356,1.05067879555,0.623479322848
"Albania",2015,8,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,0.265795505079875,0.60883248383676,0.125372011083365,1.8588486,436.73,10.27811499925,10.55483202886,8.2224919994
"Algeria",2015,12,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.362151859050724,0.579151043952599,0.0586970969966769,18.592163,375.14,NA,NA,NA
"Angola",2015,24,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,33.969887,NA,1.67166738486,2.07992940252,1.337333907888
"Antigua and Barbuda",2015,28,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,0.332,0.602,0.066,1.0500031,NA,NA,NA,NA
"Argentina",2015,32,10.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,0.331231729987354,0.559487967418621,0.109280302594025,0.89705402,429.38,NA,NA,NA
"Armenia",2015,51,11.03,"Armenia",0,0,0,262.45345050269,182648,255.25591,NA,11.03,0.972575934936637,10.7275125623511,94.1,0.260866584395996,0.630056218291512,0.109077197312491,0.26393127,469.07,NA,NA,10.7275125623511
"Aruba",2015,533,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,0.259578544061303,0.618773946360153,0.121647509578544,2.1925812,NA,NA,NA,NA
"Australia",2015,36,13.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,0.250563053599341,0.599660487083382,0.149776459317276,0.200718699596004,509.22,NA,NA,NA
"Austria",2015,40,12.16,"Austria",0,0,0,262.45345050269,182648,269.41,4700,12.16,1.02650584126056,12.4823110297284,79.5,0.19384016223441,0.617758215421487,0.188401622344103,0.200718699596004,519.54,NA,NA,12.4823110297284
