Area,Year,Age,Population
Afghanistan,1970,0--19,6023.6
Afghanistan,1975,0--19,6965.9
Afghanistan,1980,0--19,7451.8
Afghanistan,1985,0--19,6773.1
Afghanistan,1990,0--19,7151.8
Afghanistan,1995,0--19,9958.8
Afghanistan,2000,0--19,11837.1
Afghanistan,2005,0--19,14542.3
Afghanistan,2010,0--19,16726.3
Afghanistan,2015,0--19,18972.4
Albania,1970,0--19,1091.6
Albania,1975,0--19,1198.2
Albania,1980,0--19,1265.2
Albania,1985,0--19,1314.5
Albania,1990,0--19,1392.7
Albania,1995,0--19,1310.8
Albania,2000,0--19,1233
Albania,2005,0--19,1138.1
Albania,2010,0--19,948.8
Albania,2015,0--19,777
Algeria,1970,0--19,8417.5
Algeria,1975,0--19,9641.8
Algeria,1980,0--19,11095.7
Algeria,1985,0--19,12703.9
Algeria,1990,0--19,14118.8
Algeria,1995,0--19,14857.1
Algeria,2000,0--19,14464.4
Algeria,2005,0--19,13575.3
Algeria,2010,0--19,13470.6
Algeria,2015,0--19,14439.9
Angola,1970,0--19,3796.4
Angola,1975,0--19,4324.5
Angola,1980,0--19,5080.4
Angola,1985,0--19,6093
Angola,1990,0--19,7026.6
Angola,1995,0--19,8212.6
Angola,2000,0--19,9392.6
Angola,2005,0--19,11116.1
Angola,2010,0--19,13285
Angola,2015,0--19,16021.2
Antigua and Barbuda,1970,0--19,35.6
Antigua and Barbuda,1975,0--19,36.1
Antigua and Barbuda,1980,0--19,33.9
Antigua and Barbuda,1985,0--19,29.9
Antigua and Barbuda,1990,0--19,26.9
Antigua and Barbuda,1995,0--19,28.2
Antigua and Barbuda,2000,0--19,31.4
Antigua and Barbuda,2005,0--19,33
Antigua and Barbuda,2010,0--19,33.5
Antigua and Barbuda,2015,0--19,33.2
Argentina,1970,0--19,9171.3
Argentina,1975,0--19,9880.4
Argentina,1980,0--19,10836.4
Argentina,1985,0--19,11843.3
Argentina,1990,0--19,12825.5
Argentina,1995,0--19,13521.6
Argentina,2000,0--19,13626.4
Argentina,2005,0--19,13909.7
Argentina,2010,0--19,14130.5
Argentina,2015,0--19,14379.2
Armenia,1970,0--19,1251.9
Armenia,1975,0--19,1312.6
Armenia,1980,0--19,1300
Armenia,1985,0--19,1298.2
Armenia,1990,0--19,1341.3
Armenia,1995,0--19,1202.5
Armenia,2000,0--19,1090.1
Armenia,2005,0--19,950.6
Armenia,2010,0--19,814.7
Armenia,2015,0--19,761
Aruba,1970,0--19,28.6
Aruba,1975,0--19,25.8
Aruba,1980,0--19,22.9
Aruba,1985,0--19,21.1
Aruba,1990,0--19,19.6
Aruba,1995,0--19,23.8
Aruba,2000,0--19,27.2
Aruba,2005,0--19,28.6
Aruba,2010,0--19,28.5
Aruba,2015,0--19,27.1
Australia,1970,0--19,4856.9
Australia,1975,0--19,5041.4
Australia,1980,0--19,5010.8
Australia,1985,0--19,5026.1
Australia,1990,0--19,5162.5
Australia,1995,0--19,5175.7
Australia,2000,0--19,5289.3
Australia,2005,0--19,5400.2
Australia,2010,0--19,5694.8
Australia,2015,0--19,5963.1
Austria,1970,0--19,2333.2
Austria,1975,0--19,2361.2
Austria,1980,0--19,2205.9
Austria,1985,0--19,2002.2
Austria,1990,0--19,1820.5
Austria,1995,0--19,1874.7
Austria,2000,0--19,1838.5
Austria,2005,0--19,1808.3
Austria,2010,0--19,1740.9
Austria,2015,0--19,1682.3
Azerbaijan,1970,0--19,2745.1
Azerbaijan,1975,0--19,2972
Azerbaijan,1980,0--19,2952.6
Azerbaijan,1985,0--19,2887.8
Azerbaijan,1990,0--19,3106.1
Azerbaijan,1995,0--19,3301.5
Azerbaijan,2000,0--19,3333
Azerbaijan,2005,0--19,3184.8
Azerbaijan,2010,0--19,2974.8
Azerbaijan,2015,0--19,2922.9
Bahamas,1970,0--19,87.7
Bahamas,1975,0--19,95.6
Bahamas,1980,0--19,104.4
Bahamas,1985,0--19,107.6
Bahamas,1990,0--19,110.1
Bahamas,1995,0--19,113.4
Bahamas,2000,0--19,115.2
Bahamas,2005,0--19,114.5
Bahamas,2010,0--19,113.9
Bahamas,2015,0--19,110.6
Bahrain,1970,0--19,117.5
Bahrain,1975,0--19,137.6
Bahrain,1980,0--19,160.1
Bahrain,1985,0--19,170.9
Bahrain,1990,0--19,199.5
Bahrain,1995,0--19,212
Bahrain,2000,0--19,249.4
Bahrain,2005,0--19,288.7
Bahrain,2010,0--19,326.1
Bahrain,2015,0--19,360.5
Bangladesh,1970,0--19,35189
Bangladesh,1975,0--19,38774.6
Bangladesh,1980,0--19,45492.7
Bangladesh,1985,0--19,51318.9
Bangladesh,1990,0--19,56388.1
Bangladesh,1995,0--19,60524.2
Bangladesh,2000,0--19,63393.4
