"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","fit1","lwr1","upr1"
"Afghanistan",2015,4,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,0.562305129755427,0.4127662979692,0.0249285722753731,56.980282,NA,0.77934915356,1.05067879555,0.715205887064339,0.364360026015697,1.06605174811298
"Albania",2015,8,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,0.265795505079875,0.60883248383676,0.125372011083365,1.8588486,436.73,10.27811499925,10.55483202886,10.4108464036274,9.48574612291411,11.3359466843408
"Angola",2015,24,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,33.969887,NA,1.67166738486,2.07992940252,1.19063700971241,0.752802298937405,1.62847172048742
"Bangladesh",2015,50,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,0.394148770194596,0.555469189573468,0.0503820402319351,28.824696,NA,3.10795318176,3.7947936667,4.10648060148874,3.85037098114726,4.36259022183022
"Benin",2015,204,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,0.537564766839378,0.43015581861503,0.0322794145455921,57.6376,279.03,1.5559994061,1.9189865033,1.67355063982751,1.31958482251695,2.02751645713808
"Bolivia (Plurinational State of)",2015,68,9.53,"Bolivia (Plurinational State of)",0,0,0,262.45345050269,182648,195.7627,NA,9.53,0.745894937273814,7.10837875221945,48.1,0.425317258291607,0.510028252538533,0.0646544891698602,7.5449219,NA,9.0506785482,9.21416672744,8.33081433899816,8.00810194147665,8.65352673651966
"Burkina Faso",2015,854,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.564448174755244,0.411471073832545,0.024080751412211,58.775551,296.88,0.58703018124,0.8035790937,0.116070039387322,-0.237488020612207,0.46962809938685
"Burundi",2015,108,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0.549835287658339,0.425144123298953,0.0250205890427076,31.624672,332.33,2.68528430345,2.9274253904,2.11117409373677,1.77527859305326,2.44706959442028
"Cambodia",2015,116,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0.417071536270732,0.541741304431872,0.0411871592973955,19.473511,NA,3.1796737896,4.2739603896,3.89277672776366,3.55613024230653,4.2294232132208
"Cameroon",2015,120,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,0.535209170760756,0.433176575677167,0.0316142535620769,22.928963,336.64,5.06119624115,5.7350745746,5.41826299568657,5.12172628447014,5.71479970690299
