"cc","iso","year","wic_mys","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","adj_factor","qamys_piaac","qamys_dhs_full","HLO_reg_est","HLO_reg_low","HLO_reg_high","Illit_reg_est","Illit_reg_low","Illit_reg_high"
"Afghanistan",4,2015,3.17,13.9,0.562305129755427,0.4127662979692,0.0249285722753731,56.980282,NA,NA,NA,0.77934915356,NA,NA,NA,0.835121219824127,0.786112487509586,0.887185311112403
"Albania",8,2015,10.57,51.7,0.265795505079875,0.60883248383676,0.125372011083365,1.8588486,436.73,NA,NA,10.27811499925,9.24223864121393,8.65800306488635,9.86589799760821,9.90156595523428,9.4583397382465,10.3655621471713
"Algeria",12,2015,9.7,47.3,0.362151859050724,0.579151043952599,0.0586970969966769,18.592163,375.14,NA,NA,NA,7.32583843834654,6.87185178060484,7.80981757729821,6.50354343366834,6.16062885956518,6.86554541066703
"Angola",24,2015,2.91,6.30000000000001,0.575075468515002,0.401862214772087,0.0230623167129109,33.969887,NA,NA,NA,1.67166738486,NA,NA,NA,1.02238353860004,0.939366352451408,1.1127374290899
"Antigua and Barbuda",28,2015,10.8,52.3,0.332,0.602,0.066,1.0500031,NA,NA,NA,NA,NA,NA,NA,9.58875519623501,9.12514076964974,10.0759241456451
"Argentina",32,2015,10.31,53.1,0.331231729987354,0.559487967418621,0.109280302594025,0.89705402,429.38,NA,NA,NA,8.3899296917982,8.06950729508922,8.72307535754435,9.32478692502892,8.98615115573279,9.67618390680183
"Armenia",51,2015,11.03,94.1,0.260866584395996,0.630056218291512,0.109077197312491,0.26393127,469.07,0.972575934936637,10.7275125623511,NA,9.66748789084827,8.91175381740833,10.4873096850063,9.88973810601875,9.22808373059842,10.5988331555046
"Aruba",533,2015,9.46,40.2,0.259578544061303,0.618773946360153,0.121647509578544,2.1925812,NA,NA,NA,NA,NA,NA,NA,8.66290038161359,8.14564801294009,9.21299851191015
"Australia",36,2015,13.68,94.9,0.250563053599341,0.599660487083382,0.149776459317276,0.2007187,509.22,NA,NA,NA,14.1938576580674,13.3612453788736,15.0783545623696,13.625601288383,12.9608358742196,14.3244627330923
"Austria",40,2015,12.16,79.5,0.19384016223441,0.617758215421487,0.188401622344103,0.2007187,519.54,1.02650584126056,12.4823110297284,NA,12.3019242641888,11.6673819717217,12.9709767768497,12.575043498327,11.979324518513,13.2003869450601
"Azerbaijan",31,2015,11,89.4,0.303927379355523,0.638685258549875,0.0573873620946023,0.21021526,453.14,NA,NA,NA,9.53690035641045,8.59035685705265,10.5877404072486,9.39721709372252,8.59013027849007,10.2801338563718
"Bahamas",44,2015,12.94,90.7,0.28593588417787,0.631075491209928,0.0829886246122027,3.090846419,NA,NA,NA,NA,NA,NA,NA,11.4923176972538,10.6847264086983,12.3609497335462
"Bahrain",48,2015,9.39,45.8,0.262755102040816,0.71399416909621,0.0232507288629738,2.6884129,452.36,NA,NA,NA,8.29242236745651,7.18009434622642,9.57707035652434,7.8284467598216,6.98106986204661,8.77868004222992
"Bangladesh",50,2015,5.66,20.5,0.394148770194596,0.555469189573468,0.0503820402319351,28.824696,NA,NA,NA,3.10795318176,NA,NA,NA,2.83894188251586,2.69027565470674,2.99582349422155
"Barbados",52,2015,10.24,49.7,0.258529722124516,0.599718607105171,0.141751670770313,0.40000153,NA,NA,NA,NA,NA,NA,NA,9.86173105258266,9.36036113429036,10.3899558957397
"Belarus",112,2015,11.56,95.9,0.210049657877258,0.64658562557328,0.143364716549463,0.24343872,NA,NA,NA,NA,NA,NA,NA,10.9890170690147,10.3480100385333,11.6697312520401
"Belgium",56,2015,11.95,73.7,0.225905615747836,0.592670027197264,0.1814243570549,0.401437399,529.11,1.04894791618363,12.5349275983944,NA,11.8871335655882,11.2674415342081,12.5409077098055,12.1525877562006,11.5778005985189,12.7559105821058
